obsID	articleID	author	year	location	ecosystemName	studyType	ecosystemID	multimeas	aggregation?	Potential reasons to exclude	nh_I	nh_C	no_I	no_C	toti_I	toti_C	Units_npool	ammon_I	ammon_C	nitrif_I	nitrif_C	nminz_I	nminz_C	Units_nflux	soilN_I	soilN_C	Units_soilN	SOM_I	SOM_C	Units_SOM	soilcn_I	soilcn_C	Units_soilcn	microbialcn_I	microbialcn_C	soilmoi_I	soilmoi_C	Units_soilmoi	pH_I	pH_C	plantcov_inv	plantcov_nat	Units_plantcov	biom_inv	biom_nat	Units_biom	litterbiom_inv	litterbiom_nat	Units_litterbiom	percN_inv	percN_nat	Units_percN	cn_inv	cn_nat	Units_cn	litterpercN_inv	litterpercN_nat	Units_litterpercN	littercn_inv	littercn_nat	Units_littercn	NOTES
11	9	Booth et al.	2003	UT USA	semi-arid desert	fs	g	"Invader=Bromus, Native=Artemisia"	NA	NA	2.25	1.65	0.30	0.54	2.55	2.19	mg/kg	1.3400	0.6500	0.4900	0.3400	1.5200	0.7300	mg/kg*day	0.12	0.09	%	NA	NA	NA	NA	NA	NA	NA	NA	10.24	10.40	%	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	plant cover calculated from species cover
12	9	Booth et al.	2003	UT USA	semi-arid desert	fs	g	"Invader=Bromus, Native=Elymus"	NA	NA	2.53	2.16	5.43	1.95	7.96	4.10	mg/kg	NA	NA	5.0150	3.4200	NA	NA	mg/kg*day	0.12	0.08	%	NA	NA	NA	NA	NA	NA	NA	NA	10.24	8.62	%	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	plant cover calculated from species cover
13	10	Castro-Diez et al.	2009	Madrid Spain	vegetation strips alongside roads and ag fields	fs	g	"Invader=A, Native=U"	NA	NA	19.64	22.42	29.05	27.67	48.29	50.61	ug/g	-1.2567	-1.4400	-1.4133	-1.7367	-2.6767	-3.1900	umolN/g*day	NA	NA	NA	4.83	5.20	%	NA	NA	NA	NA	NA	21.80	24.73	%	8.14	8.09	50.85	54.75	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	% plant cover is really % canopy cover since these are trees
14	10	Castro-Diez et al.	2009	Madrid Spain	vegetation strips alongside roads and ag fields	fs	g	"Invader=R, Native=F"	NA	NA	18.19	21.50	24.78	18.03	43.33	40.48	ug/g	-1.1200	-1.3333	-1.1000	-0.9800	-2.1700	-2.3367	umolN/g*day	NA	NA	NA	4.30	4.33	%	NA	NA	NA	NA	NA	18.70	23.00	%	7.92	7.83	42.25	47.85	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	% plant cover is really % canopy cover since these are trees
15	11	DeMeester and Richter (Ecol App)	2010	NC USA	forested riparian wetland	fe	w	NA	NA	NA	0.68	0.54	0.62	0.40	1.30	0.94	g/m2	-0.2700	-0.0500	1.0700	1.1800	NA	NA	g/m2*season	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	90.89	76.22	%	638.84	614.12	g/m2	NA	NA	NA	1.05	1.40	%	52.19	44.65	g/g	5.64	10.36	mg/g	80.77	47.98	? Methods: Litterbag decomposition study	biomass %N was calculated with aboveground biomass (g/m2) and N in aboveground biomass (g/m2); root:shoot ratio was calculated from aboveground biomass (g/m2) and root biomass (g/m2); litter N (mg/g) was calculated from total N in litterbag litter at time 1 (mg) and initial litter biomass (3g)
16	12	Ehrenfeld et al.	2001	NJ USA	deciduous hardwood forest	fs	f	site=MNHP	NA	NA	3.20	6.46	2.17	0.09	5.38	6.55	mg/kg	7.8882	14.5656	9.0907	5.1789	NA	NA	mg/kg*day	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.49	4.82	NA	NA	NA	137.70	NA	g/m2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Calculated invaded area root biomass (g/m2) by adding native species 'with exotics' to invaded species value
17	12	Ehrenfeld et al.	2001	NJ USA	deciduous hardwood forest	fs	f	site=WOR	NA	NA	4.70	4.72	3.41	0.29	8.10	5.01	mg/kg	11.8163	13.0727	11.5148	7.8030	NA	NA	mg/kg*day	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.49	4.43	NA	NA	NA	41.90	NA	g/m2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Calculated invaded area root biomass (g/m2) by adding native species 'with exotics' to invaded species value
18	12	Ehrenfeld et al.	2001	NJ USA	deciduous hardwood forest	fs	f	site=MNHP	NA	NA	3.45	6.43	3.01	0.11	6.46	6.53	mg/kg	11.3150	14.3550	9.1350	3.9050	NA	NA	mg/kg*day	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.76	4.82	NA	NA	NA	1129.00	NA	g/m2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Calculated invaded area root biomass (g/m2) by adding native species 'with exotics' to invaded species value
19	12	Ehrenfeld et al.	2001	NJ USA	deciduous hardwood forest	fs	f	site=WOR	NA	NA	11.37	4.77	1.02	0.29	12.39	5.06	mg/kg	27.4150	12.9450	9.6650	3.0100	NA	NA	mg/kg*day	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.09	4.43	NA	NA	NA	1228.00	NA	g/m2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Calculated invaded area root biomass (g/m2) by adding native species 'with exotics' to invaded species value
20	12	Ehrenfeld et al.	2001	NJ USA	deciduous hardwood forest	fs	f	site=ALL	NA	NA	3.06	1.96	0.21	0.10	3.26	2.06	mg/kg	11.1100	8.2550	1.4850	0.6550	NA	NA	mg/kg*day	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.96	4.55	NA	NA	NA	1546.00	NA	g/m2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Calculated invaded area root biomass (g/m2) by adding native species 'with exotics' to invaded species value
21	12	Ehrenfeld et al.	2001	NJ USA	greenhouse	ge	f	"greenhouse, site=ALL"	NA	NA	2.22	0.54	1.39	4.08	3.61	4.62	mg/kg	-0.3500	0.4500	12.7200	1.7900	NA	NA	mg/kg*10days	NA	NA	NA	6.10	2.73	%	NA	NA	NA	NA	NA	NA	NA	NA	5.89	5.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22	12	Ehrenfeld et al.	2001	NJ USA	greenhouse	ge	f	"greenhouse, site=WOR"	NA	NA	1.72	0.98	0.48	0.64	2.20	1.62	mg/kg	-0.4600	-0.4700	10.0900	3.5200	NA	NA	mg/kg*10days	NA	NA	NA	4.45	1.65	%	NA	NA	NA	NA	NA	NA	NA	NA	5.97	4.83	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23	13	Evans et al.	2001	UT USA	grassland	fs	g	Native=Hilaria jamesii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5583	1.9083	ug/bag*day	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	204.35	64.31	g/m2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24	13	Evans et al.	2001	UT USA	grassland	fs	g	Native=Stipa comata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.7767	1.3750	ug/bag*day	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	321.12	169.80	g/m2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25	14	Fickbohm and Zhu	2006	NY USA	freshwater wetland	fs	w	NA	NA	NA	15.52	11.11	1.19	3.53	16.71	14.64	mg/m2	NA	NA	510.0333	389.3233	911.3567	637.8867	mg/m2*month	NA	NA	NA	35.20	27.50	kg/m2	NA	NA	NA	NA	NA	4.36	4.43	g/g	NA	NA	NA	NA	NA	1.47	1.93	kg/m2	1.88	0.59	kg/m2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26	15	Funk	2005	HI USA	montane rainforest	fs	f	NA	NA	NA	NA	NA	NA	NA	2.40	2.10	ug/g	NA	NA	0.0050	0.0210	0.0120	0.0080	ug/g*day	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	67.00	71.00	%	3.70	3.50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
27	16	Haubensak et al.	2004	WA USA	prairie	fs	g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.6000	1.0900	3.7000	1.2100	mg/kg*day	454.67	427.10	g/m2	NA	NA	NA	20.65	21.52	? Table 1	NA	NA	34.10	32.90	%	NA	NA	NA	NA	NA	58.20	5578.80	g/m2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
28	17	Hawkes et al.	2005	CA USA	grassland	fe	g	Native=Lupinus	NA	NA	1.30	1.17	0.32	5.74	1.62	6.91	ug/g	NA	NA	2.1700	1.6500	2.4600	1.5200	ug/g solid*time?	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.94	18.77	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
29	17	Hawkes et al.	2005	CA USA	grassland	fe	g	Native=Nassella	NA	NA	1.30	0.96	0.32	0.63	1.62	1.59	ug/g	NA	NA	2.1700	2.7900	2.4600	0.3100	ug/g solid*time?	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.94	19.53	%	5.80	5.90	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
30	18	Hellmann et al.	2011	Portugal	coastal dune	fs	g	NA	NA	NA	4.92	0.72	1.55	0.68	6.47	1.40	ug/g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.59	0.33	%	NA	NA	NA	NA	NA	NA	NA	NA	5.75	5.63	100	43.9	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31	19	Heneghan et al.	2006	IL USA	upland forest and dry mesic woodland	fs	f	site 1=Morton	NA	NA	NA	NA	NA	NA	5.31	4.55	ug/g	0.0100	0.0500	0.0500	0.2100	0.0700	0.2600	ug/g*day	NA	NA	NA	NA	NA	NA	13.09	14.03	? Fig1c	NA	NA	0.50	0.27	gH2O/gdrysoil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
32	19	Heneghan et al.	2006	IL USA	upland forest and dry mesic woodland	fs	f	site 2=McDonalds	NA	NA	NA	NA	NA	NA	0.93	1.12	ug/g	0.0100	0.2400	0.4300	0.3500	0.4400	0.6000	ug/g*day	NA	NA	NA	NA	NA	NA	13.02	14.16	? Fig1c	NA	NA	0.28	0.29	gH2O/gdrysoil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
33	20	Hibbard et al.	2001	TX USA	subtropical thorn woodland	fs	f	NA	NA	NA	NA	NA	11.70	3.32	NA	NA	ug/g	NA	NA	9.4027	3.2433	10.6350	3.2900	ug/g*month	220.00	91.00	g/m2	NA	NA	NA	11.50	12.00	g/g	NA	NA	14.79	9.69	%	6.20	6.70	NA	NA	NA	NA	NA	NA	33.59	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
34	21	Hook et al.	2004	MT USA	grassland	fs	g	site=LL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.7100	12.4400	mg/kg*week	0.14	0.13	%	NA	NA	NA	14.00	14.54	g/g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
35	21	Hook et al.	2004	MT USA	grassland	fs	g	site=GO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.6500	9.1500	mg/kg*week	0.19	0.22	%	NA	NA	NA	14.79	15.00	g/g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
36	21	Hook et al.	2004	MT USA	grassland	fs	g	site=CC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.4300	2.2100	mg/kg*week	0.24	0.24	%	NA	NA	NA	14.04	14.33	g/g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
37	21	Hook et al.	2004	MT USA	grassland	fs	g	site=RC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.3600	6.2300	mg/kg*week	0.20	0.26	%	NA	NA	NA	16.50	15.69	g/g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
38	21	Hook et al.	2004	MT USA	grassland	fs	g	site=BC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.3100	4.5700	mg/kg*week	0.22	0.24	%	NA	NA	NA	16.27	17.00	g/g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
39	21	Hook et al.	2004	MT USA	grassland	fs	g	site=BE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.0000	28.4800	mg/kg*week	0.32	0.32	%	NA	NA	NA	11.84	12.53	g/g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
40	21	Hook et al.	2004	MT USA	grassland	fs	g	site=HY	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.7600	6.7200	mg/kg*week	0.37	0.36	%	NA	NA	NA	13.30	13.08	g/g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
41	21	Hook et al.	2004	MT USA	grassland	fs	g	site=B2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.9900	17.4300	mg/kg*week	0.31	0.34	%	NA	NA	NA	22.00	22.74	g/g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
42	21	Hook et al.	2004	MT USA	grassland	fs	g	site=HE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.8200	6.6300	mg/kg*week	0.39	0.40	%	NA	NA	NA	24.51	25.85	g/g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
43	22	Hoopes and Hall	2002	CA USA	grassland	fs	g	Invader=Bromus diandrus	NA	NA	3.80	2.50	5.60	3.50	9.40	6.00	mg/kg	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.70	1.70	%	NA	NA	NA	NA	NA	NA	NA	NA	5.40	7.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
44	22	Hoopes and Hall	2002	CA USA	grassland	fs	g	Invader=Hordeum marinum gussoneanum	NA	NA	4.60	2.50	3.20	3.50	7.80	6.00	mg/kg	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.70	2.20	%	NA	NA	NA	NA	NA	NA	NA	NA	5.40	5.50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
45	23	Kourtev et al.	1999	NJ USA	deciduous hardwood forest	fs	f	site=MOR	NA	NA	3.04	12.05	1.02	0.08	4.06	12.13	ug/g	3.1100	61.7200	25.1800	12.5000	28.5700	74.1600	ug/g*2weeks	3.57	8.57	mg/g	NA	NA	NA	NA	NA	NA	NA	NA	43.78	83.98	%	6.44	4.23	NA	NA	NA	NA	NA	NA	354.00	573.00	g/m2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
46	23	Kourtev et al.	1999	NJ USA	deciduous hardwood forest	fs	f	site=WOR	NA	NA	5.95	7.05	1.16	0.15	7.11	7.20	ug/g	3.4500	20.9300	67.5400	27.5600	71.2600	48.1800	ug/g*2weeks	4.42	3.63	mg/g	NA	NA	NA	NA	NA	NA	NA	NA	43.02	55.18	%	4.87	4.29	NA	NA	NA	NA	NA	NA	338.00	427.00	g/m2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
47	23	Kourtev et al.	1999	NJ USA	deciduous hardwood forest	fs	f	site=ALL	NA	NA	3.46	8.23	0.79	0.01	4.25	8.24	ug/g	3.1800	20.2400	20.6000	0.4000	24.4800	20.9400	ug/g*2weeks	2.23	10.05	mg/g	NA	NA	NA	NA	NA	NA	NA	NA	39.44	74.82	%	5.66	4.00	NA	NA	NA	NA	NA	NA	280.00	532.00	g/m2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
48	23	Kourtev et al.	1999	NJ USA	deciduous hardwood forest	fs	f	site=MOR	NA	NA	3.79	12.00	1.41	0.08	5.20	12.08	ug/g	1.7679	61.2560	25.9302	12.5047	28.4931	74.0369	ug/g*2weeks	3.69	8.57	mg/g	NA	NA	NA	NA	NA	NA	NA	NA	49.75	83.98	%	6.46	4.23	NA	NA	NA	NA	NA	NA	271.00	573.00	g/m2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
49	23	Kourtev et al.	1999	NJ USA	deciduous hardwood forest	fs	f	site=WOR	NA	NA	4.33	7.12	1.17	0.16	5.50	7.27	ug/g	0.4246	20.3536	18.5251	27.0651	19.7959	47.7291	ug/g*2weeks	3.86	3.63	mg/g	NA	NA	NA	NA	NA	NA	NA	NA	45.60	55.18	%	5.09	4.29	NA	NA	NA	NA	NA	NA	185.00	427.00	g/m2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
50	24	Kourtev et al.	2003	NJ USA	deciduous hardwood forest	ge	f	Invader=Berberis	NA	NA	10.79	5.49	9.86	4.95	20.65	10.44	ug/g	0.7400	2.5800	0.9600	1.1800	1.7000	3.7600	ug/g*2weeks	NA	NA	NA	8.67	8.16	%	NA	NA	NA	NA	NA	NA	NA	NA	4.72	4.61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
51	24	Kourtev et al.	2003	NJ USA	deciduous hardwood forest	ge	f	Invader=Microstegium	NA	NA	4.73	5.49	1.30	4.95	6.03	10.44	ug/g	-0.2000	2.5800	6.8000	1.1800	6.6000	3.7600	ug/g*2weeks	NA	NA	NA	9.39	8.16	%	NA	NA	NA	NA	NA	NA	NA	NA	5.00	4.61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52	25	Lee et al.	2012	IN USA	early successional deciduous hardwood forest	fe	f	site=Bayles Rd	NA	NA	7.97	10.29	11.74	13.36	19.71	23.65	ug/g	NA	NA	0.0485	0.0266	0.0323	0.0104	ug/g*hr	NA	NA	NA	4.86	4.72	%	NA	NA	NA	NA	NA	25.58	25.88	%	4.53	4.46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
53	25	Lee et al.	2012	IN USA	deciduous hardwood forest	fs	f	site=BONWR	NA	NA	3.14	3.64	14.50	4.93	17.64	8.58	ug/g	NA	NA	0.0187	0.0076	0.0116	0.0063	ug/g*hr	NA	NA	NA	5.54	5.80	%	NA	NA	NA	NA	NA	21.90	19.77	%	5.13	4.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
54	26	Li et al.	2006	Guangdong Province China	subtropical evergreen broadleaf forest	fs	f	NA	NA	NA	13.42	17.45	13.17	17.92	26.59	35.37	mg/kg	NA	NA	NA	NA	NA	NA	NA	0.90	0.77	g/kg	9.91	17.13	%	NA	NA	NA	NA	NA	NA	NA	NA	5.37	4.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
55	27	Lindsay and French	2005	New South Wales Australia	foredune shrublands	fs	g	site1=SMB	NA	NA	1.73	1.11	1.10	1.46	2.83	2.57	mg/kg	NA	NA	NA	NA	NA	NA	NA	0.04	0.02	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.13	6.88	NA	NA	NA	NA	NA	NA	3750.00	9600.00	kg/ha	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	litter biomass values were reported as an average across sites
56	27	Lindsay and French	2005	New South Wales Australia	foredune shrublands	fs	g	site2=CI	NA	NA	2.37	1.48	1.18	0.74	3.55	2.22	mg/kg	NA	NA	NA	NA	NA	NA	NA	0.04	0.02	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.28	6.78	NA	NA	NA	NA	NA	NA	3750.00	9600.00	kg/ha	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	litter biomass values were reported as an average across sites
