"Genus"	"DataID.56"	"DataID.12"	"DataID.15"	"DataID.368"	"DataID.272"	"DataID.65"	"DataID.455"	"DataID.248"	"DataID.249"	"DataID.878"	"DataID.489"	"DataID.465"	"DataID.1092"	"DataID.1093"	"DataID.1099"	"DataID.986"	"DataID.1370"	"DataID.1446"	"DataID.1470"	"DataID.487"	"DataID.488"	"DataID.101"	"DataID.1487"
"18"	"Acer"	0.1464711884	19.1842757840205	1.90333629771647	5.40193419610753	0.884244024793467	1.13564357832955	25.4138241639524	22.5	NA	NA	29.9	66.1909090909091	NA	NA	NA	0.358607	NA	NA	NA	NA	NA	11.9146477286667	NA
"19"	"Aceras"	NA	30.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"20"	"Achillea"	NA	19.1993529624452	3.0376531744759	NA	1.94963164492174	1.9425400331875	27.0613807674	NA	0.95685	NA	NA	NA	NA	NA	4.801272153	3.43169042855714	NA	48.431274057375	NA	NA	NA	1.806900371	NA
"21"	"Achnatherum"	NA	10.6678601735	2.17910317460179	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"22"	"Achyrocline"	NA	14.286648284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"23"	"Acicarpha"	NA	18.246931497	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"24"	"Acinos"	NA	18.5721428571429	1.61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"25"	"Acioa"	NA	NA	1.39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"26"	"Acmena"	NA	9.585435355	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"27"	"Acomastylis"	NA	11.9	2.35861856363636	NA	NA	2.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"28"	"Aconitum"	NA	22.0045761526667	3.178814259575	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"29"	"Aconogonon"	NA	14.0131087975	4.2818010453	NA	NA	2.19957	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"30"	"Acorus"	NA	26.0134341507407	2.514	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"31"	"Acosmium"	NA	18.559088953	2.45325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"32"	"Acrocarpus"	NA	NA	3.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"33"	"Acronychia"	NA	10.881048824	2.1	NA	NA	2.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.11627	NA
"34"	"Acropogon"	NA	5.68	0.93	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"35"	"Acroporium"	NA	8.928571428	0.69	NA	NA	0.0899	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"36"	"Acrotome"	NA	NA	2.44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"37"	"Acrotriche"	NA	7.01215488766667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"38"	"Actaea"	NA	38.885	1.88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"39"	"Actinidia"	NA	NA	2.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"40"	"Actinobole"	NA	18.04494301	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"41"	"Actinodaphne"	NA	8.308727856	1.14	NA	NA	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.808162	NA
"42"	"Actinomeris"	NA	35.629	3.54316	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"43"	"Actinostemon"	NA	32.4542884615	2.44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"44"	"Actinotus"	NA	7.77141713975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"45"	"Adelia"	NA	26.9577470586818	2.862484016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"46"	"Adelobotrys"	NA	12.599399876	1.73	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"47"	"Adenanthera"	NA	NA	2.99333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"48"	"Adenanthos"	NA	4.299891258	0.809333333333333	NA	NA	1.8313022415	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"49"	"Adenocalymma"	NA	7.152915493	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"50"	"Adenocarpus"	NA	10.017028949	3.88958	NA	NA	3.882967714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01553187	NA
"51"	"Adenophora"	NA	NA	2.848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"52"	"Adenostoma"	NA	4.4054946096	1.02681161379167	NA	NA	2.5059860215	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.264749	NA	NA	NA	NA	NA	0.5733421265	NA
"53"	"Adenostyles"	NA	24.769	2.6103225	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.875912	NA	NA	NA	NA	NA	NA	NA
"54"	"Adesmia"	NA	11.979463108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"55"	"Adiantum"	NA	33.623662131	1.0375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"56"	"Adina"	NA	8.176614881	2.09	NA	NA	2.55607	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	59.29059972	NA
"57"	"Adinandra"	NA	7.47333333333333	1.135	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"58"	"Adonis"	NA	22.8684769836842	1.545	NA	NA	1.944525233	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5250204	NA
"59"	"Adoxa"	NA	38.45	3.725	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"60"	"Aechmea"	NA	7.142857142	0.57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"61"	"Aegiceras"	NA	7.19399999966667	1.33471428571429	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"62"	"Aegilops"	NA	25.8555576862234	2.52320416666667	NA	NA	1.19143254975	17.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.084152569	NA
"63"	"Aegiphila"	NA	24.2821634495306	2.57938632471429	NA	NA	1.51083068133333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.348704	39.38466729
"64"	"Aegle"	NA	8.72600349	1.93	NA	NA	2.21178	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"65"	"Aegopodium"	NA	28.9668133379091	2.98555936523	NA	NA	1.04693316366667	12.542927137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30.885521569	NA
"66"	"Aeluropus"	NA	NA	1.45571428571429	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"67"	"Aeschynanthus"	NA	13.901518218	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"68"	"Aesculus"	0.184913023	14.2923422453077	2.17189999999	4.58670336696774	NA	1.43132113366667	NA	35.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.7433474595	NA
"69"	"Aetheopappus"	NA	18.665520413	2.861710809	NA	NA	1.533153507	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"70"	"Aethusa"	NA	33.31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"71"	"Aextoxicon"	NA	7.645	1.01	NA	NA	1.288108108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"72"	"Afzelia"	NA	NA	2.99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"73"	"Agapanthus"	NA	15.69	2.54	NA	NA	1.618865519	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"74"	"Agapetes"	NA	5.681818181	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"75"	"Agastache"	NA	10.8	2.1	NA	NA	2.61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"76"	"Agathis"	NA	5.586592178	0.735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"77"	"Agave"	NA	1.61350035285714	1.87333333333333	NA	NA	4.3866171	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.2	NA	NA	NA	NA	NA	NA	NA
"78"	"Ageratina"	NA	23.7259104145	1.85971428571429	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"79"	"Aglaia"	NA	13.743513957	2.365	NA	NA	0.73486	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"80"	"Agonis"	NA	5.05050505	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"81"	"Agoseris"	NA	18.45	1.9925916753	NA	NA	0.863299171	NA	NA	NA	NA	NA	NA	NA	NA	8.852539062	NA	NA	NA	NA	NA	NA	NA	NA
"82"	"Agrimonia"	NA	19.340625	1.6675	13.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"83"	"Agropyron"	NA	22.10561187625	2.2671033316	NA	1.65554	1.2464321072	14.7698117271	NA	NA	NA	NA	NA	NA	NA	16.132093667	NA	NA	NA	NA	NA	NA	0.538363636	NA
"84"	"Agrostemma"	NA	17.818	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"85"	"Agrostis"	NA	28.8458028426071	2.2670079737686	NA	0.912156657894737	1.43179934308333	15.6967900701429	31.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"86"	"Ailanthus"	NA	14.8232166666667	2.89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"87"	"Aira"	NA	20.6714583333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"88"	"Ajania"	NA	9.082652134	1.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"89"	"Ajuga"	NA	27.6238301275	2.03267493758	NA	NA	0.990386449333333	18.921318011	NA	NA	NA	NA	NA	NA	NA	NA	0.8707	NA	NA	NA	NA	NA	NA	NA
"90"	"Alangium"	NA	27.777777777	2.865	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"91"	"Alberta"	NA	6.944444444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"92"	"Albizia"	NA	18.583025143875	2.54578947368421	NA	NA	3.7322830765	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.219230769	NA
"93"	"Albizzia"	NA	NA	2.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"94"	"Alcea"	NA	14.292	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"95"	"Alchemilla"	NA	18.954326791597	2.31104482096923	NA	NA	1.2502873885	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"96"	"Alchornea"	NA	16.5868854122258	1.9806841066	NA	NA	2.450461921	20.749583333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.8632361345
"97"	"Alchorneopsis"	NA	NA	2.63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.395	NA	NA	NA	NA	NA	NA	32.572297297
"98"	"Alder"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"99"	"Aldina"	NA	9.05999999990909	2.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"100"	"Alectryon"	NA	8.45249420322222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"101"	"Aleurites"	NA	17.92337880925	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"102"	"Aleuropus"	NA	NA	1.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"103"	"Alexa"	NA	NA	2.145	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"104"	"Alhagi"	NA	NA	2.78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"105"	"Alibertia"	NA	16.4786017343529	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"106"	"Alisma"	NA	28.9375469294762	1.653467	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"107"	"Alkanna"	NA	31.44654088	1.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"108"	"Allagoptera"	NA	NA	1.130169671	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"109"	"Allamanda"	NA	NA	1.64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"110"	"Allenrolfea"	NA	6.69667555266667	1.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"111"	"Alliaria"	NA	47.6961758690952	4.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"112"	"Allionia"	NA	21.889174244	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"113"	"Allium"	NA	19.0777264566533	3.85912510089286	NA	NA	2.4118993135	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6345679465	NA
"114"	"Allocasuarina"	NA	4.61942839061111	1.1196	NA	NA	2.8767020846	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.107897326	NA
"115"	"Allophylus"	NA	24.3133669593103	1.8195945452	NA	NA	1.47412744333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.747939	21.932929921
"116"	"Alloteropsis"	NA	NA	0.946875	NA	0.27625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"117"	"Alloxylon"	NA	7.646150271	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"118"	"Alnus"	0.151487390333333	17.6791669858477	2.82693861072174	4.9119288066129	NA	1.52566897659459	17.732057551	21.3	2.387725	NA	NA	28.925	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.74731001466667	NA
"119"	"Alocasia"	NA	33.2533495505	3.9	NA	NA	1.97668525	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"120"	"Aloe"	NA	3.6110710205	0.915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"121"	"Alopecurus"	NA	26.46789629675	1.69193832145714	NA	NA	1.01092850233333	18.5303292483333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"122"	"Aloysia"	NA	7.907311072	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"123"	"Alphitonia"	NA	11.748241004	0.86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"124"	"Alphonsea"	NA	NA	1.686	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"125"	"Alpine"	NA	NA	NA	NA	NA	2.35555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"126"	"Alpinia"	NA	12.413017865	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"127"	"Alseis"	NA	21.7034143525849	3.0550530615	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"128"	"Alseodaphne"	NA	6.779813218	1.331	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"129"	"Alsophila"	NA	35.714285714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"130"	"Alstonia"	NA	9.345794392	2.22493109	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"131"	"Alternanthera"	NA	18.198933435	3.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"132"	"Althaea"	NA	23.778041958	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"133"	"Altingia"	NA	NA	0.9685	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"134"	"Alyssum"	NA	18.1755839604737	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"135"	"Alyxia"	NA	7.936507936	1.095	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.88	NA	NA	NA	NA	NA	NA	NA
"136"	"Amaioua"	NA	14.4494007858696	1.63875	NA	NA	1.726266278	29.73875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"137"	"Amanoa"	NA	11.36363636	1.2499999996	NA	NA	1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"138"	"Amaranthus"	NA	21.7034152476591	3.06333333333333	NA	NA	1.52498792559375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"139"	"Amblygonocarpus"	NA	NA	1.18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"140"	"Amblyopyrum"	NA	28.375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"141"	"Ambrosia"	NA	18.7917989299714	2.40732285762055	NA	1.505595	1.51618088170213	19.3052123809524	NA	NA	NA	NA	NA	NA	NA	12.898947	NA	NA	NA	NA	NA	NA	NA	NA
"142"	"Amburana"	NA	36.4648593354	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"143"	"Amelanchier"	NA	13.4507635546857	1.99831	NA	NA	1.5121801832	22.23840425	21.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"144"	"Amesiodendron"	NA	NA	1.46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"145"	"Ammi"	NA	34.4433333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"146"	"Ammocalamagrostis"	NA	10.574	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"147"	"Ammophila"	NA	6.62890909090909	1.567504	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"148"	"Ammopiptanthus"	NA	NA	3.77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"149"	"Amomyrtus"	NA	7.09	1.01	NA	NA	1.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"150"	"Amoora"	NA	NA	1.81	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"151"	"Amorpha"	NA	15.4113029205	2.45034283786207	NA	3.344982	1.665904195	20.3394902652174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"152"	"Ampelocalamus"	NA	NA	1.89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"153"	"Ampelocera"	NA	20.333278975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.448831168
