obsID	litterbiom_inv	litterbiom_nat	rootbiom_inv	rootbiom_nat	biom_inv	biom_nat	plantdens_inv	plantdens_nat	plantcov_inv	plantcov_nat	littercn_inv	littercn_nat	rootcn_inv	rootcn_nat	cn_inv	cn_nat	litterperclig_inv	litterperclig_nat	litterpercN_inv	litterpercN_nat	percN_inv	percN_nat	rs_inv	rs_nat												
42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
45	354.00	573.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
46	338.00	427.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
47	280.00	532.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
48	271.00	573.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
49	185.00	427.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
55	375	960	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
56	375	960	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
57	375	960	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
58	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
60	2050	600	NA	NA	NA	NA	NA	NA	NA	NA	31.00	50.00	NA	NA	NA	NA	NA	NA	1.71	1.13	NA	NA	NA	NA												
61	1800	10590	587.80	261.90	4980	3460	NA	NA	NA	NA	33.21	20.89	NA	NA	NA	NA	NA	NA	1.355	1.915	NA	NA	0.11	0.08												
62	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.00	NA	NA	NA	NA	NA	NA	NA	2.35	NA	NA	NA	NA	NA												
64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
68	NA	NA	NA	NA	NA	NA	NA	NA	44.93	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
69	NA	NA	NA	NA	NA	NA	NA	NA	41.5	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
70	NA	NA	NA	NA	NA	NA	NA	NA	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
71	NA	NA	NA	NA	NA	NA	NA	NA	56.99	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
72	NA	NA	NA	NA	NA	NA	NA	NA	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
73	NA	NA	NA	NA	NA	980.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.625	3.525	NA	NA												
74	NA	NA	NA	NA	NA	980.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.625	3.525	NA	NA												
75	NA	NA	NA	NA	510.00	980.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.67	3.525	NA	NA												
76	NA	NA	NA	NA	510.00	980.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.67	3.525	NA	NA												
77	890	490	NA	NA	700	480	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.74	0.74	1.19	1.80	NA	NA												
78	NA	NA	6271.00	NA	962.50	528.50	NA	NA	NA	NA	NA	NA	77.07	61.68	125.90	101.90	NA	NA	NA	NA	0.39	0.41	NA	NA												
79	NA	NA	7009.00	NA	680.50	581.50	NA	NA	NA	NA	NA	NA	53.40	51.63	89.43	78.32	NA	NA	NA	NA	0.60	0.55	NA	NA												
80	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
81	NA	NA	NA	NA	NA	NA	220	53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
82	NA	NA	NA	NA	NA	NA	207	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
83	NA	NA	NA	NA	NA	NA	226	52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
84	NA	NA	NA	NA	NA	NA	250	68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
85	NA	NA	NA	NA	NA	NA	197	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
86	352.78	233.71	NA	NA	67.64	13.89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.63	0.74	0.45	0.36	NA	NA												
87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
89	NA	NA	1300	1380	980	560	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.689	0.962	0.48	0.59												
90	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.92	0.78	NA	NA												
91	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.78	0.72	NA	NA												
92	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
93	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.90	29.40	NA	NA	NA	NA	10.30	20.00	2.20	1.60	NA	NA	NA	NA												
94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
98	27.35	13.20	80.35	121.85	31.10	37.95	NA	NA	NA	NA	50.70	45.60	NA	NA	84.45	61.40	NA	NA	0.67	0.90	0.62	0.73	2.58	3.21												
99	40.10	30.50	67.40	61.85	37.00	63.20	NA	NA	NA	NA	49.55	31.85	NA	NA	94.95	64.55	NA	NA	0.62	0.66	0.49	0.72	1.82	0.98												
100	27.35	13.20	80.55	163.85	42.10	28.00	NA	NA	NA	NA	32.10	35.55	NA	NA	60.85	81.40	NA	NA	1.09	0.70	0.78	0.62	1.91	5.85												
101	NA	NA	634.00	1649.00	633.00	980.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.00	1.68												
102	NA	NA	634.00	715.00	633.00	510.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.00	1.40												
103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
104	NA	NA	419.07	98.26	322.79	127.81	NA	NA	NA	NA	NA	NA	15.04	15.38	21.10	27.60	NA	NA	NA	NA	NA	NA	1.35	0.81												
105	NA	NA	419.07	208.09	322.79	154.76	NA	NA	NA	NA	NA	NA	15.04	16.36	21.10	31.39	NA	NA	NA	NA	NA	NA	1.35	1.90												
106	NA	NA	419.07	153.17	322.79	51.58	NA	NA	NA	NA	NA	NA	15.04	16.71	21.10	28.12	NA	NA	NA	NA	NA	NA	1.35	3.96												
107	NA	NA	419.07	75.14	322.79	95.48	NA	NA	NA	NA	NA	NA	15.04	18.27	21.10	35.87	NA	NA	NA	NA	NA	NA	1.35	1.22												
108	NA	NA	419.07	115.50	322.79	138.29	NA	NA	NA	NA	NA	NA	15.04	16.36	21.10	21.56	NA	NA	NA	NA	NA	NA	1.35	0.88												
109	NA	NA	419.07	826.58	322.79	144.31	NA	NA	NA	NA	NA	NA	15.04	15.56	21.10	21.90	NA	NA	NA	NA	NA	NA	1.35	5.36												
110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.12	1.87	1.01	1.62	NA	NA												
114	492.00	342.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.05	0.51	NA	NA	NA	NA												
115	435.00	379.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.11	0.45	NA	NA	NA	NA												
116	13.50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.23	NA	1.4	NA	NA	NA												
117	13.50	4.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.23	0.43	1.4	0.56	NA	NA												
118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
																																				
																																				
