"obsNsubID"	"obsID"	"GenusSpecies"	"Genus"	"Species"	"status"	"subObsID"	"sppdens_inv"	"sppdens_nat"	"spperc_inv"	"spperc_nat"	"MeasID_3"	"MeasID_4"	"MeasID_5"	"MeasID_6"	"MeasID_7"	"MeasID_8"	"MeasID_9"	"MeasID_10"	"MeasID_11"	"MeasID_12"	"MeasID_13"	"MeasID_14"	"MeasID_15"	"MeasID_16"	"MeasID_17"	"MeasID_18"
"12"	12	2	"Agrostis perrenans"	"Agrostis"	"perrenans"	"N"	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"13"	13	2	"Acer negundo"	"Acer"	"negundo"	"N"	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"14"	14	3	"Fallopia japonica"	"Fallopia"	"japonica"	"I"	1	NA	NA	NA	0	16.8	NA	NA	NA	66.58	24.63	NA	24.83	NA	2.58	0.91	NA	1.42	0.65	NA	NA
"15"	15	3	"Populus deltoides"	"Populus"	"deltoides"	"N"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"16"	16	3	"Carya ovata"	"Carya"	"ovata"	"N"	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	NA	13.48	NA	NA	1.37	NA	NA	NA	NA	NA
"17"	17	3	"Acer saccharum"	"Acer"	"saccharum"	"N"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"18"	18	3	"Acer saccharinum"	"Acer"	"saccharinum"	"N"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"19"	19	4	"Typha x glauca"	"Typha"	"glauca"	"I"	1	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"20"	20	4	"Schoenoplectus americanus"	"Schoenoplectus"	"americanus"	"N"	2	NA	NA	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21"	21	4	"Schoenoplectus acutus"	"Schoenoplectus"	"acutus"	"N"	3	NA	NA	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"22"	22	4	"Juncus nodosus"	"Juncus"	"nodosus"	"N"	4	NA	NA	0	32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"23"	23	4	"Juncus articulatus"	"Juncus"	"articulatus"	"N"	5	NA	NA	0	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"24"	24	4	"Eleocharis smallii"	"Eleocharis"	"smallii"	"N"	6	NA	NA	0	51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"25"	25	4	"Eleocharis intermedia"	"Eleocharis"	"intermedia"	"N"	7	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"26"	26	4	"Carex hystericina"	"Carex"	"hystericina"	"N"	8	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"27"	27	5	"Rosa multiflora"	"Rosa"	"multiflora"	"I"	1	NA	NA	9	0	NA	25.1	NA	NA	NA	NA	NA	NA	NA	NA	1.83	NA	NA	NA	NA	NA
"28"	28	5	"Lonicera morrowii"	"Lonicera"	"morrowii"	"I"	2	NA	NA	9	0	NA	38.1	NA	NA	NA	NA	NA	NA	NA	NA	1.24	NA	NA	NA	NA	NA
"29"	29	5	"Ampelopsis berevipedunculata"	"Ampelopsis"	"berevipedunculata"	"I"	3	NA	NA	9	0	NA	35.6	NA	NA	NA	NA	NA	NA	NA	NA	1.26	NA	NA	NA	NA	NA
"30"	30	5	"Acer platanoides"	"Acer"	"platanoides"	"I"	4	NA	NA	9	0	NA	23.1	NA	NA	NA	NA	NA	NA	NA	NA	2.07	NA	NA	NA	NA	NA
"31"	31	5	"Vitis novae-angliae"	"Vitis"	"novae-angliae"	"N"	5	NA	NA	NA	NA	NA	33.8	NA	NA	NA	NA	NA	NA	NA	NA	1.43	NA	NA	NA	NA	NA
"32"	32	5	"Viburnum acerifolium"	"Viburnum"	"acerifolium"	"N"	6	NA	NA	NA	NA	NA	44.7	NA	NA	NA	NA	NA	NA	NA	2.05	1.1	NA	NA	NA	NA	NA
"33"	33	5	"Cornus florida"	"Cornus"	"florida"	"N"	7	NA	NA	NA	NA	NA	64.1	NA	NA	NA	NA	NA	NA	NA	NA	0.73	NA	NA	NA	NA	NA
"34"	34	5	"Acer rubrum"	"Acer"	"rubrum"	"N"	8	NA	NA	NA	NA	NA	47.8	NA	NA	NA	NA	NA	NA	NA	NA	1.1	NA	NA	NA	NA	NA
"35"	35	6	"Melinis minutiflora"	"Melinis"	"minutiflora"	"I"	1	NA	NA	100	0	35.4	46.4	77.2	NA	NA	NA	NA	NA	NA	1.22	0.93	0.65	NA	NA	NA	NA
"36"	36	6	"Wikstroemia oahuensis"	"Wikstroemia"	"oahuensis"	"N"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"37"	37	6	"Styphelia tameiameiae"	"Styphelia"	"tameiameiae"	"N"	3	NA	NA	NA	43	59.4	79.2	86.3	NA	NA	NA	NA	NA	NA	0.86	0.63	0.6	NA	NA	NA	NA
"38"	38	6	"Pteridium aquilinum"	"Pteridium"	"aquilinum"	"N"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"39"	39	6	"Metrosideros polymorpha"	"Metrosideros"	"polymorpha"	"N"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"40"	40	6	"Dodonaea viscosa"	"Dodonaea"	"viscosa"	"N"	6	NA	NA	NA	43	39.9	63.5	94.4	NA	NA	NA	NA	NA	NA	1.21	0.76	0.55	NA	NA	NA	NA
"41"	41	6	"Cladonia skottsbergii"	"Cladonia"	"skottsbergii"	"N"	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"42"	42	7	"Melinis minutiflora"	"Melinis"	"minutiflora"	"I"	1	NA	NA	100	0	35.4	46.4	77.2	NA	NA	NA	NA	NA	NA	1.22	0.93	0.65	NA	NA	NA	NA
"43"	43	7	"Wikstroemia oahuensis"	"Wikstroemia"	"oahuensis"	"N"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"44"	44	7	"Styphelia tameiameiae"	"Styphelia"	"tameiameiae"	"N"	3	NA	NA	NA	43	59.4	79.2	86.3	NA	NA	NA	NA	NA	NA	0.86	0.63	0.6	NA	NA	NA	NA
"45"	45	7	"Pteridium aquilinum"	"Pteridium"	"aquilinum"	"N"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"46"	46	7	"Metrosideros polymorpha"	"Metrosideros"	"polymorpha"	"N"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"47"	47	7	"Dodonaea viscosa"	"Dodonaea"	"viscosa"	"N"	6	NA	NA	NA	43	39.9	63.5	94.4	NA	NA	NA	NA	NA	NA	1.21	0.76	0.55	NA	NA	NA	NA
"48"	48	7	"Cladonia skottsbergii"	"Cladonia"	"skottsbergii"	"N"	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"49"	49	8	"Bromus tectorum"	"Bromus"	"tectorum"	"I"	1	NA	NA	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"50"	50	8	"Stipa spp"	"Stipa"	"spp"	"N"	2	NA	NA	20	28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"51"	51	9	"Bromus tectorum"	"Bromus"	"tectorum"	"I"	1	NA	NA	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"52"	52	9	"Hilaria jamesii"	"Hilaria"	"jamesii"	"N"	2	NA	NA	14	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"53"	53	10	"Bromus tectorum"	"Bromus"	"tectorum"	"I"	1	NA	NA	27	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"54"	54	10	"Hilaria jamesii"	"Hilaria"	"jamesii"	"N"	2	NA	NA	3	46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"55"	55	11	"Bromus tectorum"	"Bromus"	"tectorum"	"I"	1	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	15.07	NA	NA	NA	NA	NA	NA	NA	NA
"56"	56	11	"Artemisia tridentata"	"Artemisia"	"tridentata"	"N"	2	NA	NA	0	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"57"	57	12	"Bromus tectorum"	"Bromus"	"tectorum"	"I"	1	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	15.07	NA	NA	NA	NA	NA	NA	NA	NA
"58"	58	12	"Elymus elymoides"	"Elymus"	"elymoides"	"N"	2	NA	NA	0	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"59"	59	13	"Ailanthus altissima"	"Ailanthus"	"altissima"	"I"	1	NA	NA	NA	NA	NA	47.24	NA	NA	NA	5.37	NA	10.02	NA	NA	0.05	NA	NA	NA	NA	NA
"60"	60	13	"Ulmus minor"	"Ulmus"	"minor"	"N"	2	NA	NA	NA	NA	NA	41.99	NA	NA	NA	4.91	NA	10.3	NA	NA	0.05	NA	NA	NA	NA	NA
"61"	61	14	"Robinia pseudoacacia"	"Robinia"	"pseudoacacia"	"I"	1	NA	NA	NA	NA	NA	29.41	NA	NA	NA	14.34	NA	21.07	NA	NA	0.07	NA	NA	NA	NA	NA
"62"	62	14	"Fraxinus angustifolia"	"Fraxinus"	"angustifolia"	"N"	2	NA	NA	NA	NA	NA	52.64	NA	NA	NA	6.03	NA	12.24	NA	NA	0.05	NA	NA	NA	NA	NA
"63"	63	15	"Microstegium vimineum"	"Microstegium"	"vimineum"	"I"	1	NA	NA	75	0	NA	80.77	NA	NA	NA	NA	NA	NA	NA	NA	1.04	NA	NA	NA	NA	NA
"64"	64	15	"Polygonum spp"	"Polygonum"	"spp"	"N"	2	NA	NA	NA	NA	NA	45.11	NA	NA	NA	NA	NA	NA	NA	NA	0.56	NA	NA	NA	NA	NA
"65"	65	15	"Juncus spp"	"Juncus"	"spp"	"N"	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"66"	66	15	"Carex spp"	"Carex"	"spp"	"N"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"67"	67	16	"Microstegium vimineum"	"Microstegium"	"vimineum"	"I"	1	NA	NA	70	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.84	NA	NA	1.84	NA	NA	NA
"68"	69	16	"Quercus spp"	"Quercus"	"spp"	"N"	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"69"	70	16	"Fagus grandifolia"	"Fagus"	"grandifolia"	"N"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"70"	71	16	"Betula lenta"	"Betula"	"lenta"	"N"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"71"	72	16	"Acer spp"	"Acer"	"spp"	"N"	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"72"	73	17	"Microstegium vimineum"	"Microstegium"	"vimineum"	"I"	1	NA	NA	10	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.48	NA	NA	1.48	NA	NA	NA
"73"	74	17	"Vaccinium spp"	"Vaccinium"	"spp"	"N"	2	2	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.74	NA	NA	0.74	NA	NA	NA
"74"	75	17	"Quercus spp"	"Quercus"	"spp"	"N"	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"75"	76	17	"Fagus grandifolia"	"Fagus"	"grandifolia"	"N"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"76"	77	17	"Betula lenta"	"Betula"	"lenta"	"N"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"77"	78	17	"Acer spp"	"Acer"	"spp"	"N"	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"78"	79	18	"Berberis thunbergii"	"Berberis"	"thunbergii"	"I"	1	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.92	NA	NA	0.92	NA	NA	NA
"79"	81	18	"Quercus spp"	"Quercus"	"spp"	"N"	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"80"	82	18	"Fagus grandifolia"	"Fagus"	"grandifolia"	"N"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"81"	83	18	"Betula lenta"	"Betula"	"lenta"	"N"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"82"	84	18	"Acer spp"	"Acer"	"spp"	"N"	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"83"	85	19	"Berberis thunbergii"	"Berberis"	"thunbergii"	"I"	1	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.92	NA	NA	0.92	NA	NA	NA
"84"	86	19	"Vaccinium spp"	"Vaccinium"	"spp"	"N"	2	2	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.74	NA	NA	0.74	NA	NA	NA
"85"	87	19	"Quercus spp"	"Quercus"	"spp"	"N"	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"86"	88	19	"Fagus grandifolia"	"Fagus"	"grandifolia"	"N"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"87"	89	19	"Betula lenta"	"Betula"	"lenta"	"N"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"88"	90	19	"Acer spp"	"Acer"	"spp"	"N"	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"89"	91	20	"Berberis thunbergii"	"Berberis"	"thunbergii"	"I"	1	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.92	NA	NA	0.92	NA	NA	NA
"90"	92	20	"Vaccinium spp"	"Vaccinium"	"spp"	"N"	2	3	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.68	NA	NA	0.68	NA	NA	NA
"91"	93	20	"Quercus spp"	"Quercus"	"spp"	"N"	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"92"	94	20	"Fagus grandifolia"	"Fagus"	"grandifolia"	"N"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"93"	95	20	"Betula lenta"	"Betula"	"lenta"	"N"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"94"	96	20	"Acer spp"	"Acer"	"spp"	"N"	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"95"	97	21	"Microstegium vimineum"	"Microstegium"	"vimineum"	"I"	1	NA	NA	50	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"96"	98	21	"Berberis thunbergii"	"Berberis"	"thunbergii"	"I"	2	NA	NA	50	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.92	NA	NA	NA	NA	NA	NA
"97"	99	21	"Vaccinium spp"	"Vaccinium"	"spp"	"N"	3	NA	NA	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.68	NA	NA	NA	NA	NA	NA
"98"	100	22	"Microstegium vimineum"	"Microstegium"	"vimineum"	"I"	1	NA	NA	50	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.48	NA	NA	NA	NA	NA	NA
"99"	101	22	"Berberis thunbergii"	"Berberis"	"thunbergii"	"I"	2	NA	NA	50	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.92	NA	NA	NA	NA	NA	NA
"100"	102	22	"Vaccinium spp"	"Vaccinium"	"spp"	"N"	3	NA	NA	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.74	NA	NA	NA	NA	NA	NA
"101"	103	23	"Bromus tectorum"	"Bromus"	"tectorum"	"I"	1	NA	NA	NA	NA	NA	156.94	NA	NA	NA	NA	NA	15.07	NA	NA	NA	NA	NA	NA	NA	NA
"102"	104	23	"Hilaria jamesii"	"Hilaria"	"jamesii"	"N"	2	NA	NA	NA	NA	NA	48.15	NA	NA	NA	NA	NA	8.19	NA	NA	NA	NA	NA	NA	NA	NA
"103"	105	24	"Bromus tectorum"	"Bromus"	"tectorum"	"I"	1	NA	NA	NA	NA	NA	156.94	NA	NA	NA	NA	NA	15.07	NA	NA	NA	NA	NA	NA	NA	NA
"104"	106	24	"Stipa spp"	"Stipa"	"spp"	"N"	2	NA	NA	NA	NA	NA	73.09	NA	NA	NA	NA	NA	3.35	NA	NA	NA	NA	NA	NA	NA	NA
"105"	107	25	"Lythrum salicaria"	"Lythrum"	"salicaria"	"I"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.501	0.26	NA	NA	NA
"106"	108	25	"Typha latifolia"	"Typha"	"latifolia"	"N"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.063	2.19	NA	NA	NA
"107"	109	26	"Hedychium gardnerianum"	"Hedychium"	"gardnerianum"	"I"	1	NA	NA	NA	NA	NA	63.3	NA	NA	NA	14.6	22	22	NA	1.71	0.69	NA	NA	NA	16.9	16.9
"108"	110	26	"Metrosideros polymorpha"	"Metrosideros"	"polymorpha"	"N"	2	NA	NA	NA	NA	NA	108.9	NA	NA	NA	31.9	71.1	71.1	NA	0.71	0.45	NA	NA	NA	3.5	3.5
"109"	111	26	"Cibotium spp"	"Cibotium"	"spp"	"N"	3	NA	NA	NA	NA	NA	40.5	NA	NA	NA	38.5	36.3	36.3	NA	1.31	1.07	NA	NA	NA	9.6	9.6
"110"	112	27	"Cytisus scoparius"	"Cytisus"	"scoparius"	"I"	1	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"111"	113	27	"Pseudotsuga menzeii"	"Pseudotsuga"	"menzeii"	"N"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"112"	114	27	"Festuca idahoensis"	"Festuca"	"idahoensis"	"N"	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"113"	115	27	"Cammassia quamash"	"Cammassia"	"quamash"	"N"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"114"	116	27	"Aster curtis"	"Aster"	"curtis"	"N"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"115"	117	28	"Bromus hordeaceous"	"Bromus"	"hordeaceous"	"I"	1	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"116"	118	28	"Avena barbata"	"Avena"	"barbata"	"I"	2	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"117"	119	28	"Lupinus bicolor"	"Lupinus"	"bicolor"	"N"	3	NA	NA	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"118"	120	29	"Bromus hordeaceous"	"Bromus"	"hordeaceous"	"I"	1	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"119"	121	29	"Avena barbata"	"Avena"	"barbata"	"I"	2	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"120"	122	29	"Nassella pulchra"	"Nassella"	"pulchra"	"N"	3	NA	NA	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"121"	123	30	"Acacia longifolia"	"Acacia"	"longifolia"	"I"	1	NA	NA	100	0	NA	39.1	NA	NA	NA	NA	NA	NA	NA	2.16	1.3	NA	NA	NA	NA	NA
"122"	124	30	"Stauracanthus spectabilis"	"Stauracanthus"	"spectabilis"	"N"	2	NA	NA	0	25	NA	65.5	NA	NA	NA	NA	NA	NA	NA	1.5	0.9	NA	NA	NA	NA	NA
"123"	125	30	"Corema album"	"Corema"	"album"	"N"	3	NA	NA	1	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8	NA	NA	NA	NA	NA	NA
"124"	126	31	"Rhamnus cathartica"	"Rhamnus"	"cathartica"	"I"	1	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"125"	127	31	"Tilia americana"	"Tilia"	"americana"	"N"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"126"	128	31	"Quercus rubra"	"Quercus"	"rubra"	"N"	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"127"	129	31	"Quercus alba"	"Quercus"	"alba"	"N"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"128"	130	31	"Prunus spp"	"Prunus"	"spp"	"N"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"129"	131	31	"Hammamelis virginiana"	"Hammamelis"	"virginiana"	"N"	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"130"	132	31	"Fraxinus spp"	"Fraxinus"	"spp"	"N"	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"131"	133	32	"Rhamnus cathartica"	"Rhamnus"	"cathartica"	"I"	1	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"132"	134	32	"Tilia americana"	"Tilia"	"americana"	"N"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"133"	135	32	"Quercus rubra"	"Quercus"	"rubra"	"N"	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"134"	136	32	"Quercus alba"	"Quercus"	"alba"	"N"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"135"	137	32	"Prunus spp"	"Prunus"	"spp"	"N"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
