"GenusSpecies"	"DataID.56"	"DataID.12"	"DataID.15"	"DataID.368"	"DataID.272"	"DataID.65"	"DataID.455"	"DataID.248"	"DataID.249"	"DataID.878"	"DataID.489"	"DataID.465"	"DataID.1092"	"DataID.1093"	"DataID.1099"	"DataID.986"	"DataID.1370"	"DataID.1446"	"DataID.1470"	"DataID.487"	"DataID.488"	"DataID.101"	"DataID.1487"
"14"	"Abies grandis"	NA	4.7	14.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"15"	"Abies lasiocarpa"	NA	3.6469723621	13.6273684210526	NA	NA	2.620865139	NA	NA	NA	NA	81.5	94.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.262086513	NA
"16"	"Abies nephrolepis"	NA	NA	14.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"17"	"Abies sachalinensis"	NA	NA	10.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"18"	"Abronia villosa"	NA	14	50	NA	NA	3.57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"19"	"Abrus precatorius"	NA	48.8684142593333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"20"	"Abuta grandifolia"	NA	NA	24.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21"	"Abuta panamensis"	NA	15.7210341293333	27.7	NA	NA	1.946591707	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"22"	"Abuta racemosa"	NA	13.9548244971429	21.6971218	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"23"	"Abuta rufescens"	NA	5.6652703015	17.66944444475	NA	NA	2.93	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"24"	"Abutilon fraseri"	NA	11.3951703365	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"25"	"Abutilon indicum"	NA	NA	32.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"26"	"Abutilon otocarpum"	NA	12.9781432675	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"27"	"Abutilon theophrasti"	NA	NA	NA	NA	NA	1.735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"28"	"Abutilon theophrastii"	NA	25	39.3	NA	NA	1.57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"29"	"Acacia albida"	NA	NA	27.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"30"	"Acacia aneura"	NA	8.72045300529167	22.4331733942414	NA	30.585	2.58655954458333	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.6319999998	NA	26.7900891501429	41.189495604	NA	NA	NA	NA
"31"	"Acacia aroma"	NA	11.56731521	27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"32"	"Acacia ataxacantha"	NA	NA	28.275	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"33"	"Acacia auriculiformis"	NA	9.614981465	21.9416627466667	NA	NA	2.59904956766667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.442105263	NA
"34"	"Acacia binervata"	NA	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"35"	"Acacia brachybotrya"	NA	5.465035742	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"36"	"Acacia brachystachya"	NA	4.33327663875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"37"	"Acacia brownii"	NA	3.99525	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"38"	"Acacia burkittii"	NA	10.4805526035	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"39"	"Acacia cana"	NA	2.540003872	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"40"	"Acacia catechu"	NA	NA	17.45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"41"	"Acacia caven"	NA	11.35475	30.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"42"	"Acacia celsa"	NA	6.896551724	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"43"	"Acacia cheelii"	NA	3.070968371	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"44"	"Acacia clivicola"	NA	1.975106382	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"45"	"Acacia cognata"	NA	23.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"46"	"Acacia colei"	NA	17.5960370565	44.018078872	NA	32.44	2.5147049135	NA	NA	NA	NA	NA	NA	NA	NA	NA	29.43	NA	NA	38.264753835	NA	NA	NA	NA
"47"	"Acacia colletioides"	NA	2.74784476916667	18.8275625981667	NA	NA	4.91418714533333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.157107121	NA
"48"	"Acacia collinsii"	NA	NA	36.18611817	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"49"	"Acacia confusa"	NA	7.911392405	29.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"50"	"Acacia coriacea"	NA	12.4860782125	28.72734226825	NA	36.67	3.248802362	NA	NA	NA	NA	NA	NA	NA	NA	NA	31.89	NA	NA	38.413332639	NA	NA	NA	NA
"51"	"Acacia cultriformis"	NA	2.482144482	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"52"	"Acacia dealbata"	NA	19.5478607255833	38.912	NA	31.42	1.8429792508	NA	NA	NA	NA	NA	NA	NA	NA	NA	27.78	NA	NA	38.3882951605	NA	NA	NA	NA
"53"	"Acacia deanei"	NA	5.206056701	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"54"	"Acacia decora"	NA	5.86858543733333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"55"	"Acacia decurrens"	NA	9.359501923	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"56"	"Acacia dimidiata"	NA	5.01	21.56	NA	NA	4.303393213	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"57"	"Acacia doratoxylon"	NA	4.26704483966667	20.2406503433333	NA	NA	4.3819023335	NA	3.387492009	20.055400585	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.542310098	NA
"58"	"Acacia elata"	NA	22.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"59"	"Acacia erioloba"	NA	NA	27.5666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"60"	"Acacia erubescens"	NA	NA	39.008375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.40309	NA	NA	NA	NA	NA	NA	NA
"61"	"Acacia excelsa"	NA	4.27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"62"	"Acacia exuvialis"	NA	NA	23.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"63"	"Acacia falcata"	NA	7.812985652	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"64"	"Acacia farnesiana"	NA	37.948	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"65"	"Acacia fleckii"	NA	NA	37.8064766666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"66"	"Acacia floribunda"	NA	7.8157530546	22.5946089768333	NA	NA	2.89770152166667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.457905862	NA
"67"	"Acacia furcatispina"	NA	5.282273855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"68"	"Acacia genistifolia"	NA	5.555555555	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"69"	"Acacia gerrardii"	NA	NA	33.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"70"	"Acacia haematoxylon"	NA	NA	24.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"71"	"Acacia hakeoides"	NA	3.4986267415	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"72"	"Acacia havilandii"	NA	NA	17.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"73"	"Acacia havilandiorum"	NA	3.389102572	14.8301974887273	NA	NA	4.580500113	NA	2.649581641	14.561738913	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.441722091	NA
"74"	"Acacia hayesii"	NA	8.767516441	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"75"	"Acacia hebeclada"	NA	NA	30.2666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"76"	"Acacia holosericea"	NA	3.58	19.48	NA	NA	5.441340782	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"77"	"Acacia homalophylla"	NA	3.221234981	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"78"	"Acacia implexa"	NA	17.15059527075	54.077389833	NA	33.97	2.3144177535	NA	NA	NA	NA	NA	NA	NA	NA	NA	29.14	NA	NA	41.644946278	NA	NA	NA	NA
"79"	"Acacia irrorata"	NA	19.3162263083333	51.54	NA	29.36	2.301023656	NA	NA	NA	NA	NA	NA	NA	NA	NA	29.82	NA	NA	39.934999806	NA	NA	NA	NA
"80"	"Acacia jonesii"	NA	24.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"81"	"Acacia karroo"	NA	10	30.157042	NA	NA	4.039	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4039	NA
"82"	"Acacia koa"	NA	10.548523206	27.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"83"	"Acacia lebbeck"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.7	NA	NA	NA	NA	NA	NA	NA
"84"	"Acacia ligulata"	NA	14.260272727	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"85"	"Acacia lineata"	NA	4.641241379	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"86"	"Acacia longifolia"	NA	8.653068161	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"87"	"Acacia longissima"	NA	5.1890894015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"88"	"Acacia luederitzii"	NA	NA	26.49392875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"89"	"Acacia mangium"	NA	NA	23.5666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"90"	"Acacia mearnsii"	NA	19.342868196	44.12	NA	32.08	2.292636493	NA	NA	NA	NA	NA	NA	NA	NA	NA	28.56	NA	NA	41.360296522	NA	NA	NA	NA
"91"	"Acacia melanoxylon"	NA	16.5462308386667	44.9688520211111	NA	33.8519999998	2.55657986231579	NA	NA	NA	NA	NA	NA	NA	NA	NA	25.2775	NA	52.461266827875	42.7244760845	NA	NA	NA	NA
"92"	"Acacia mellifera"	NA	5.52	44.7357533333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"93"	"Acacia mimula"	NA	5.375	23.89	NA	NA	4.444651162	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"94"	"Acacia muelleriana"	NA	3.135443037	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"95"	"Acacia myrtifolia"	NA	5.3054454715	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"96"	"Acacia nigrescens"	NA	NA	30.28125	NA	NA	4.51122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"97"	"Acacia nilotica"	NA	NA	22.97099	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"98"	"Acacia olgana"	NA	NA	19.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"99"	"Acacia oswaldii"	NA	3.79080990875	18.4637987823333	NA	NA	4.85185943433333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.747427561	NA
"100"	"Acacia paradoxa"	NA	7.2043075635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"101"	"Acacia parramattensis"	NA	10.345987011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"102"	"Acacia pennata"	NA	NA	31.74164232	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"103"	"Acacia penninervis"	NA	4.939504256	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"104"	"Acacia praecox"	NA	9.446	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"105"	"Acacia robusta"	NA	7.32	23.525	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"106"	"Acacia rugata"	NA	NA	30.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"107"	"Acacia saligna"	NA	21.8444371945	52.7058117005	NA	38.85	2.429552044	NA	NA	NA	NA	NA	NA	NA	NA	NA	29.21	NA	NA	44.047357553	NA	NA	NA	NA
"108"	"Acacia seyal"	NA	NA	24.68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"109"	"Acacia sp"	NA	4.496077226	35.052380952381	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"110"	"Acacia stenophylla"	NA	2.57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"111"	"Acacia suaveolens"	NA	6.51392754466667	19.7007511356	NA	NA	4.200362749	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.455608353	NA
"112"	"Acacia terminalis"	NA	6.134499207	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"113"	"Acacia tetragonophylla"	NA	7.510414220625	39.7577539735	NA	34.39	2.438428251	NA	NA	NA	NA	NA	NA	NA	NA	NA	29.76	NA	NA	40.0207613245	NA	NA	NA	NA
"114"	"Acacia tindaleae"	NA	5.348913043	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"115"	"Acacia tortilis"	NA	NA	32.209525	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.81068	NA	NA	NA	NA	NA	NA	NA
"116"	"Acacia trineura"	NA	6.977637641	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"117"	"Acacia truncata"	NA	NA	20.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"118"	"Acacia ulicifolia"	NA	16.288349514	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"119"	"Acacia uncinata"	NA	5.937640086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"120"	"Acacia victoriae"	NA	4.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"121"	"Acacia wilhelmiana"	NA	5.7643029076	19.8350625338333	NA	NA	3.048681456	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.077243813	NA
"122"	"Acaena anserinifolia"	NA	24.453986044	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"123"	"Acaena magellanica"	NA	NA	26.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.6	NA	NA	NA	NA	NA	NA	NA
"124"	"Acaena tenera"	NA	NA	21.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.8	NA	NA	NA	NA	NA	NA	NA
"125"	"Acalypha caturus"	NA	13.1666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"126"	"Acalypha communis"	NA	7.66340393675	43.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"127"	"Acalypha diversifolia"	NA	22.5627459	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"128"	"Acalypha macrostachya"	NA	30.556727597	41.55599117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"129"	"Acalypha skutchii"	NA	38.4546843785	25.82	NA	NA	0.6717086685	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.0713415	32.41659886
"130"	"Acamptopappus shockleyi"	NA	NA	24.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"131"	"Acantholimon diapensioides"	NA	6.8419597175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"132"	"Acanthopanax gracilistylus"	NA	41.666666666	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"133"	"Acanthopanax senticosus"	NA	37.037037037	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"134"	"Acanthopsis disperma"	NA	5.21920668	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"135"	"Acanthosicyos horridus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.07	NA	NA	NA	NA	NA	NA	NA
"136"	"Acanthus ilicifolius"	NA	2.109826589	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"137"	"Acer campestre"	0.124767948	15.7497096203478	22.5187958114444	8.165209709	NA	1.56014660925	18.923244652	22.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"138"	"Acer caudatum"	NA	23.809523809	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"139"	"Acer davidii"	NA	14.492753623	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"140"	"Acer ginnala"	NA	21.2719298245	23.27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"141"	"Acer japonicum"	NA	32.467532467	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"142"	"Acer laxiflorum"	NA	33.333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"143"	"Acer longipes"	NA	26.315789473	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"144"	"Acer macrophyllum"	NA	29.548	26.4	NA	NA	0.893461486	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"145"	"Acer mono"	NA	24.756318447	16	NA	NA	0.904	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"146"	"Acer monspessulanum"	NA	12.2650994575	19.70065	NA	NA	1.59477909633333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.489174825	NA
"147"	"Acer negundo"	NA	19.577912848381	26.770617994875	NA	16.7	1.486565731	14.171024791	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"148"	"Acer opalus"	NA	16.286836397	32.7	NA	NA	1.849512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"149"	"Acer palmatum"	NA	25.857949147	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"150"	"Acer pennsylvanicum"	NA	32.679738562	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"151"	"Acer pensylvanicum"	NA	25.3163333333333	21.2017142857143	NA	NA	1.10333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
