"obsID"	"GenusSpecies"	"Genus"	"Species"	"sppdens_inv"	"sppdens_nat"	"spperc_inv"	"spperc_nat"	"MeasID_3"	"MeasID_4"	"MeasID_5"	"MeasID_6"	"MeasID_7"	"MeasID_8"	"MeasID_9"	"MeasID_10"	"MeasID_11"	"MeasID_12"	"MeasID_13"	"MeasID_14"	"MeasID_15"	"MeasID_16"	"MeasID_17"	"MeasID_18"	"invAperc"	"natAperc"	"initials"
"98"	22	"multiple"	"multiple"	"multiple"	NA	NA	50	0	NA	NA	NA	NA	NA	NA	NA	NA	2.097027066	1.2	NA	NA	NA	NA	12.8658606795962	21.3	50	0	"mm"
"101"	23	"Bromus tectorum"	"Bromus"	"tectorum"	NA	NA	NA	NA	22.3399435995	156.94	NA	NA	NA	NA	NA	15.07	1.084895982	2.20193502495	NA	1.03257266666667	NA	NA	28.3890341946364	NA	50	0	"Bt"
"103"	24	"Bromus tectorum"	"Bromus"	"tectorum"	NA	NA	NA	NA	22.3399435995	156.94	NA	NA	NA	NA	NA	15.07	1.084895982	2.20193502495	NA	1.03257266666667	NA	NA	28.3890341946364	NA	50	0	"Bt"
"105"	25	"Lythrum salicaria"	"Lythrum"	"salicaria"	NA	NA	NA	NA	17.7955440518	NA	NA	NA	NA	NA	NA	NA	1.16578	2.32511698625	NA	0.501	0.26	NA	21.0437484353448	NA	50	0	"Ls"
"107"	26	"Hedychium gardnerianum"	"Hedychium"	"gardnerianum"	NA	NA	NA	NA	NA	63.3	NA	NA	NA	14.6	22	22	NA	1.71	0.69	NA	NA	NA	16.9	16.9	33.3333333333333	0	"Hg"
"110"	27	"Cytisus scoparius"	"Cytisus"	"scoparius"	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.803475239	3.28458333331667	NA	NA	NA	NA	16.4092143623333	NA	20	0	"Cs"
"115"	28	"multiple"	"multiple"	"multiple"	NA	NA	NA	0	20.61997179975	NA	NA	NA	NA	NA	NA	NA	1.216521653525	2.60569533143603	NA	1.03257266666667	NA	NA	25.9848168927416	NA	33.3333333333333	0	"mm"
"118"	29	"multiple"	"multiple"	"multiple"	NA	NA	NA	0	20.61997179975	NA	NA	NA	NA	NA	NA	NA	1.216521653525	2.60569533143603	NA	1.03257266666667	NA	NA	25.9848168927416	NA	33.3333333333333	0	"mm"
"121"	30	"Acacia longifolia"	"Acacia"	"longifolia"	NA	NA	100	0	NA	39.1	NA	NA	NA	NA	NA	NA	2.96163914270732	2.16	1.3	3.30978846153462	NA	2.63639589999667	8.653068161	3.018536825	100	0	"Al"
"124"	31	"Rhamnus cathartica"	"Rhamnus"	"cathartica"	NA	NA	NA	0	20.78187095	NA	NA	NA	NA	NA	NA	NA	1.6464298098	2.39905555554444	NA	NA	NA	NA	18.6514892011538	38.5	14.2857142857143	0	"Rc"
"131"	32	"Rhamnus cathartica"	"Rhamnus"	"cathartica"	NA	NA	NA	0	20.78187095	NA	NA	NA	NA	NA	NA	NA	1.6464298098	2.39905555554444	NA	NA	NA	NA	18.6514892011538	38.5	14.2857142857143	0	"Rc"
"138"	33	"Prosopis glandulosa"	"Prosopis"	"glandulosa"	NA	NA	NA	NA	17	NA	NA	NA	NA	NA	NA	NA	4.30619767075	2.7002222	NA	NA	NA	0.722917	6.94666666666667	NA	50	0	"Pg"
"140"	34	"Centaurea maculosa"	"Centaurea"	"maculosa"	NA	NA	NA	NA	22.5194946284	NA	NA	NA	NA	NA	NA	NA	1.3259359595	2.48681983971304	NA	NA	3.5	0.496401	20.484	19.3	20	0	"Cm"
"145"	35	"Centaurea maculosa"	"Centaurea"	"maculosa"	NA	NA	NA	NA	22.5194946284	NA	NA	NA	NA	NA	NA	NA	1.3259359595	2.48681983971304	NA	NA	3.5	0.496401	20.484	19.3	20	0	"Cm"
"150"	36	"Centaurea maculosa"	"Centaurea"	"maculosa"	NA	NA	NA	NA	22.5194946284	NA	NA	NA	NA	NA	NA	NA	1.3259359595	2.48681983971304	NA	NA	3.5	0.496401	20.484	19.3	20	0	"Cm"
"155"	37	"Centaurea maculosa"	"Centaurea"	"maculosa"	NA	NA	NA	NA	22.5194946284	NA	NA	NA	NA	NA	NA	NA	1.3259359595	2.48681983971304	NA	NA	3.5	0.496401	20.484	19.3	20	0	"Cm"
"160"	38	"Centaurea maculosa"	"Centaurea"	"maculosa"	NA	NA	NA	NA	22.5194946284	NA	NA	NA	NA	NA	NA	NA	1.3259359595	2.48681983971304	NA	NA	3.5	0.496401	20.484	19.3	20	0	"Cm"
"165"	39	"Centaurea maculosa"	"Centaurea"	"maculosa"	NA	NA	NA	NA	22.5194946284	NA	NA	NA	NA	NA	NA	NA	1.3259359595	2.48681983971304	NA	NA	3.5	0.496401	20.484	19.3	20	0	"Cm"
"170"	40	"Centaurea maculosa"	"Centaurea"	"maculosa"	NA	NA	NA	NA	22.5194946284	NA	NA	NA	NA	NA	NA	NA	1.3259359595	2.48681983971304	NA	NA	3.5	0.496401	20.484	19.3	20	0	"Cm"
"175"	41	"Centaurea maculosa"	"Centaurea"	"maculosa"	NA	NA	NA	NA	22.5194946284	NA	NA	NA	NA	NA	NA	NA	1.3259359595	2.48681983971304	NA	NA	3.5	0.496401	20.484	19.3	20	0	"Cm"
"180"	42	"Centaurea maculosa"	"Centaurea"	"maculosa"	NA	NA	NA	NA	22.5194946284	NA	NA	NA	NA	NA	NA	NA	1.3259359595	2.48681983971304	NA	NA	3.5	0.496401	20.484	19.3	20	0	"Cm"
"185"	43	"Bromus diandrus"	"Bromus"	"diandrus"	NA	NA	NA	NA	22.3399435995	NA	NA	NA	NA	NA	NA	NA	1.1873071688	2.52816994858636	NA	1.03257266666667	NA	NA	39	NA	50	0	"Bd"
"187"	44	"Hordeum marinum"	"Hordeum"	"marinum"	NA	NA	NA	NA	16.4	NA	NA	NA	NA	NA	NA	NA	1.30303775	2.99167773890909	NA	NA	NA	NA	43.7916666666667	NA	50	0	"Hm"
"189"	45	"Berberis thunbergii"	"Berberis"	"thunbergii"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.097027066	1.72307142855714	NA	NA	NA	NA	12.8658606795962	21.3	12.5	0	"Bt"
"197"	46	"Berberis thunbergii"	"Berberis"	"thunbergii"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.097027066	1.72307142855714	NA	NA	NA	NA	12.8658606795962	21.3	12.5	0	"Bt"
"205"	47	"Berberis thunbergii"	"Berberis"	"thunbergii"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.097027066	1.72307142855714	NA	NA	NA	NA	12.8658606795962	21.3	12.5	0	"Bt"
"213"	48	"Microstegium vimineum"	"Microstegium"	"vimineum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.5	0	"Mv"
"221"	49	"Microstegium vimineum"	"Microstegium"	"vimineum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.5	0	"Mv"
"229"	50	"Berberis thunbergii"	"Berberis"	"thunbergii"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.097027066	1.72307142855714	NA	NA	NA	NA	12.8658606795962	21.3	11.1111111111111	0	"Bt"
"238"	51	"Microstegium vimineum"	"Microstegium"	"vimineum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.1111111111111	0	"Mv"
"247"	52	"Microstegium vimineum"	"Microstegium"	"vimineum"	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	0	"Mv"
"257"	53	"Microstegium vimineum"	"Microstegium"	"vimineum"	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	0	"Mv"
"262"	54	"Mikania micrantha"	"Mikania"	"micrantha"	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.132125	NA	NA	NA	NA	46.667	NA	100	0	"Mm"
"273"	55	"Chrysanthemoides monilifera"	"Chrysanthemoides"	"monilifera"	NA	NA	70	NA	20.7	60.3	NA	NA	NA	NA	NA	NA	NA	1.9	0.64	NA	NA	NA	7.936507936	NA	70	0	"Cm"
"280"	56	"Chrysanthemoides monilifera"	"Chrysanthemoides"	"monilifera"	NA	NA	70	NA	20.7	60.3	NA	NA	NA	NA	NA	NA	NA	1.9	0.64	NA	NA	NA	7.936507936	NA	70	0	"Cm"
"287"	57	"Chrysanthemoides monilifera"	"Chrysanthemoides"	"monilifera"	NA	NA	70	NA	20.7	60.3	NA	NA	NA	NA	NA	NA	NA	1.9	0.64	NA	NA	NA	7.936507936	NA	70	0	"Cm"
"294"	58	"multiple"	"multiple"	"multiple"	NA	NA	90	0	29.404655749845	NA	NA	NA	NA	NA	NA	NA	0.723235490913961	1.66519337283333	NA	0.928477472915	NA	NA	14.8200202903855	NA	46.6666666666667	0	"mm"
"298"	59	"multiple"	"multiple"	"multiple"	NA	NA	90	0	29.404655749845	NA	NA	NA	NA	NA	NA	NA	0.723235490913961	1.66519337283333	NA	0.928477472915	NA	NA	14.8200202903855	NA	46.6666666666667	0	"mm"
"302"	60	"Acacia longifolia"	"Acacia"	"longifolia"	NA	NA	90	0	NA	NA	NA	NA	NA	NA	NA	NA	2.96163914270732	2.87870568309176	1.7308569749	3.30978846153462	NA	2.63639589999667	8.653068161	3.018536825	90	0	"Al"
"304"	61	"Melaleuca quinquenervia"	"Melaleuca"	"quinquenervia"	40	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.07649775873913	1.06	NA	NA	NA	NA	4.863813229	NA	33.3333333333333	0	"Mq"
"307"	62	"Cornus drummondii"	"Cornus"	"drummondii"	NA	NA	100	0	22.0223072706667	34.4	NA	NA	NA	NA	NA	NA	0.9280689028	1.96137505011364	0.571575	NA	NA	1.078625	23.5669375490496	21.3	100	0	"Cd"
"311"	63	"multiple"	"multiple"	"multiple"	NA	NA	NA	0	17	NA	NA	NA	NA	NA	NA	NA	2.50564187958333	2.40007406666667	NA	NA	NA	0.722917	11.3550719133903	NA	10	0	"mm"
"321"	64	"Microstegium vimineum"	"Microstegium"	"vimineum"	NA	NA	90	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	90	0	"Mv"
"330"	65	"Microstegium vimineum"	"Microstegium"	"vimineum"	NA	NA	90	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	90	0	"Mv"
"339"	66	"Microstegium vimineum"	"Microstegium"	"vimineum"	NA	NA	90	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	90	0	"Mv"
"349"	68	"Betula spp"	"Betula"	"spp"	NA	NA	14	0	27.9	58.6571428571429	NA	NA	NA	NA	NA	NA	1.85037273245946	2.42195512827123	0.842475	1.95339542917031	NA	0.906104486486486	17.396524295526	16.3	14	0	"Bs"
"357"	69	"Pinus sylvestris"	"Pinus"	"sylvestris"	NA	NA	30	0	34.0666666666667	122	NA	NA	NA	NA	NA	NA	2.8523285867027	1.31396158824812	0.71615	1.08294936189075	NA	0.0979875438596491	5.01376250064537	5.6	30	0	"Ps"
"363"	70	"Pteridium aquilinum"	"Pteridium"	"aquilinum"	NA	NA	93	0	NA	NA	NA	NA	NA	NA	NA	NA	2.330374134	2.14166666666667	NA	NA	NA	NA	16.41118856525	NA	93	0	"Pa"
"369"	71	"Rhododendron ponticum"	"Rhododendron"	"ponticum"	NA	NA	57	0	NA	NA	NA	NA	NA	NA	NA	NA	1.213967729	1.119937499975	0.549275	NA	NA	0.13	7.05443641281081	5.9	57	0	"Rp"
"374"	72	"Ulex europaeus"	"Ulex"	"europaeus"	NA	NA	82	0	NA	NA	NA	NA	NA	NA	NA	NA	2.852710189	3.18833333333333	NA	NA	NA	NA	9.21852436007017	NA	82	0	"Ue"
"380"	73	"Lythrum salicaria"	"Lythrum"	"salicaria"	NA	NA	100	0	17.7955440518	NA	NA	NA	NA	NA	NA	NA	1.16578	2.63	NA	NA	NA	NA	21.0437484353448	NA	100	0	"Ls"
"382"	74	"Lythrum salicaria"	"Lythrum"	"salicaria"	NA	NA	100	0	17.7955440518	NA	NA	NA	NA	NA	NA	NA	1.16578	2.63	NA	NA	2.63	NA	21.0437484353448	NA	100	0	"Ls"
"384"	75	"Typha angustifolia"	"Typha"	"angustifolia"	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	3.928734146	1.67	NA	NA	1.8374014125	NA	7.42820546733333	NA	100	0	"Ta"
"386"	76	"Typha angustifolia"	"Typha"	"angustifolia"	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	3.928734146	1.67	NA	NA	1.67	NA	7.42820546733333	NA	100	0	"Ta"
"388"	77	"Spartina alterniflora"	"Spartina"	"alterniflora"	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	1.37004	1.19	0.74	NA	1.19	1.35	9.33424978316667	NA	100	0	"Sa"
"390"	78	"Andropogon bladhii"	"Andropogon"	"bladhii"	NA	NA	NA	NA	125.9	NA	77.07	NA	NA	NA	13.08	NA	962.5	0.39	NA	0.87497063333	0.39	NA	18.4975976114898	NA	25	0	"Ab"
"394"	79	"Andropogon bladhii"	"Andropogon"	"bladhii"	NA	NA	NA	NA	89.43	NA	53.4	NA	NA	NA	13.93	NA	680.5	0.6	NA	0.87497063333	0.6	NA	18.4975976114898	NA	25	0	"Ab"
"398"	80	"Bromus tectorum"	"Bromus"	"tectorum"	NA	NA	23	0	22.3399435995	NA	NA	NA	NA	NA	NA	NA	1.084895982	2.20193502495	NA	1.03257266666667	NA	NA	28.3890341946364	NA	23	0	"Bt"
"402"	81	"Alliaria petiolata"	"Alliaria"	"petiolata"	177	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.84	NA	NA	NA	NA	47.6961758690952	NA	14.2857142857143	0	"Ap"
"409"	82	"Alliaria petiolata"	"Alliaria"	"petiolata"	207	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.84	NA	NA	NA	NA	47.6961758690952	NA	16.6666666666667	0	"Ap"
"415"	83	"Alliaria petiolata"	"Alliaria"	"petiolata"	204	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.84	NA	NA	NA	NA	47.6961758690952	NA	12.5	0	"Ap"
"423"	84	"Alliaria petiolata"	"Alliaria"	"petiolata"	172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.84	NA	NA	NA	NA	47.6961758690952	NA	14.2857142857143	0	"Ap"
"430"	85	"Alliaria petiolata"	"Alliaria"	"petiolata"	223	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.84	NA	NA	NA	NA	47.6961758690952	NA	20	0	"Ap"
"435"	86	"Andropogon gayanus"	"Andropogon"	"gayanus"	NA	NA	100	NA	36.8424588395349	NA	NA	NA	NA	NA	NA	NA	0.748894827613636	1.04333333333333	NA	0.23	NA	NA	18.4975976114898	NA	100	0	"Ag"
"440"	87	"Sorghum halepense"	"Sorghum"	"halepense"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.22	NA	0.344	0.64	NA	18.0318540093333	NA	50	0	"Sh"
"442"	88	"Hieracium pilosella"	"Hieracium"	"pilosella"	NA	NA	100	0	36.530376434	NA	NA	NA	NA	NA	NA	NA	1.0607382144	1.2873492924	NA	NA	NA	NA	20.130607228375	NA	100	0	"Hp"
"452"	89	"Solidago gigantea"	"Solidago"	"gigantea"	NA	NA	NA	NA	39.44080905	NA	NA	NA	NA	NA	NA	NA	1.2123807765	1.20815	1.270275	1.94701766	NA	NA	16.885803463	NA	9.09090909090909	0	"Sg"
"463"	90	"Hieracium pilosella"	"Hieracium"	"pilosella"	NA	NA	100	NA	36.530376434	NA	NA	NA	NA	20	NA	28	1.0607382144	1.2873492924	0.64	0.41	NA	NA	20.130607228375	NA	100	0	"Hp"
"473"	91	"Hieracium pilosella"	"Hieracium"	"pilosella"	NA	NA	100	NA	36.530376434	NA	NA	NA	NA	20	NA	28	1.0607382144	1.2873492924	0.64	0.41	NA	NA	20.130607228375	NA	100	0	"Hp"
"483"	92	"Cytisus scoparius"	"Cytisus"	"scoparius"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.803475239	3.28458333331667	NA	NA	NA	NA	16.4092143623333	NA	33.3333333333333	0	"Cs"
"486"	93	"Lantana camara"	"Lantana"	"camara"	NA	NA	50	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.53916666666667	NA	NA	NA	NA	22.8879098443333	NA	50	0	"Lc"
"497"	94	"Bromus tectorum"	"Bromus"	"tectorum"	NA	NA	NA	NA	22.3399435995	NA	NA	NA	NA	NA	NA	NA	1.084895982	2.20193502495	NA	1.03257266666667	NA	NA	28.3890341946364	NA	25	0	"Bt"
"501"	95	"Bromus tectorum"	"Bromus"	"tectorum"	NA	NA	NA	NA	22.3399435995	NA	NA	NA	NA	NA	NA	NA	1.084895982	2.20193502495	NA	1.03257266666667	NA	NA	28.3890341946364	NA	50	0	"Bt"
"503"	96	"Acacia cyclops"	"Acacia"	"cyclops"	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	2.96163914270732	2.87870568309176	1.7308569749	3.30978846153462	NA	2.63639589999667	10.1296377606941	3.018536825	100	0	"Ac"
"507"	97	"Acacia saligna"	"Acacia"	"saligna"	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	2.429552044	5.27058117005	1.7308569749	3.885	NA	2.921	21.8444371945	3.018536825	100	0	"As"
"516"	98	"Bromus tectorum"	"Bromus"	"tectorum"	NA	NA	100	0	22.3399435995	NA	NA	NA	NA	NA	NA	NA	1.084895982	2.20193502495	NA	1.03257266666667	NA	NA	28.3890341946364	NA	100	0	"Bt"
"521"	99	"Bromus tectorum"	"Bromus"	"tectorum"	NA	NA	100	0	22.3399435995	NA	NA	NA	NA	NA	NA	NA	1.084895982	2.20193502495	NA	1.03257266666667	NA	NA	28.3890341946364	NA	100	0	"Bt"
"526"	100	"Bromus tectorum"	"Bromus"	"tectorum"	NA	NA	100	0	22.3399435995	NA	NA	NA	NA	NA	NA	NA	1.084895982	2.20193502495	NA	1.03257266666667	NA	NA	28.3890341946364	NA	100	0	"Bt"
"531"	101	"Lythrum salicaria"	"Lythrum"	"salicaria"	NA	NA	67	0	17.7955440518	NA	NA	NA	NA	NA	NA	NA	1.16578	0.73	NA	NA	NA	NA	21.0437484353448	NA	67	0	"Ls"
"533"	102	"Lythrum salicaria"	"Lythrum"	"salicaria"	NA	NA	67	0	17.7955440518	NA	NA	NA	NA	NA	NA	NA	1.16578	0.73	NA	NA	NA	NA	21.0437484353448	NA	67	0	"Ls"
"535"	103	"Typha x glauca"	"Typha"	"glauca"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.928734146	1.6570788309875	NA	NA	1.8374014125	NA	10.05144368446	NA	25	0	"Tg"
"539"	104	"Kochia scoparia"	"Kochia"	"scoparia"	NA	NA	100	0	21.1	NA	15.04	21.1	NA	NA	NA	NA	NA	3.245	NA	NA	NA	NA	19.379844961	NA	100	0	"Ks"
"541"	105	"Kochia scoparia"	"Kochia"	"scoparia"	NA	NA	100	0	21.1	NA	15.04	21.1	NA	NA	NA	NA	NA	3.245	NA	NA	NA	NA	19.379844961	NA	100	0	"Ks"
"543"	106	"Kochia scoparia"	"Kochia"	"scoparia"	NA	NA	100	0	21.1	NA	15.04	21.1	NA	NA	NA	NA	NA	3.245	NA	NA	NA	NA	19.379844961	NA	100	0	"Ks"
"545"	107	"Kochia scoparia"	"Kochia"	"scoparia"	NA	NA	100	0	21.1	NA	15.04	21.1	NA	NA	NA	NA	NA	3.245	NA	NA	NA	NA	19.379844961	NA	100	0	"Ks"
"547"	108	"Kochia scoparia"	"Kochia"	"scoparia"	NA	NA	100	0	21.1	NA	15.04	21.1	NA	NA	NA	NA	NA	3.245	NA	NA	NA	NA	19.379844961	NA	100	0	"Ks"
"549"	109	"Kochia scoparia"	"Kochia"	"scoparia"	NA	NA	100	0	21.1	NA	15.04	21.1	NA	NA	NA	NA	NA	3.245	NA	NA	NA	NA	19.379844961	NA	100	0	"Ks"
"551"	110	"Myrica faya"	"Myrica"	"faya"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.9683729	1.52	1.33	NA	NA	NA	12.8702052086	NA	50	0	"Mf"
"553"	111	"Myrica faya"	"Myrica"	"faya"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.9683729	1.52	1.33	NA	NA	NA	12.8702052086	NA	50	0	"Mf"
"555"	112	"Myrica faya"	"Myrica"	"faya"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.9683729	1.52	1.33	NA	NA	NA	12.8702052086	NA	50	0	"Mf"
"557"	113	"Phragmites australis"	"Phragmites"	"australis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.01	1.13	NA	NA	NA	15.1594281955357	NA	50	0	"Pa"
"559"	114	"Acacia cyclops"	"Acacia"	"cyclops"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.96163914270732	2.87870568309176	1.7308569749	3.30978846153462	NA	2.63639589999667	10.1296377606941	3.018536825	50	0	"Ac"
"561"	115	"Acacia saligna"	"Acacia"	"saligna"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.429552044	5.27058117005	1.7308569749	3.885	NA	2.921	21.8444371945	3.018536825	50	0	"As"
"564"	117	"Acacia saligna"	"Acacia"	"saligna"	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	2.429552044	5.27058117005	1.7308569749	3.885	NA	2.921	21.8444371945	3.018536825	50	0	"As"
"566"	118	"Solidago canadensis"	"Solidago"	"canadensis"	NA	NA	100	0	24.7708484644	NA	NA	NA	NA	NA	NA	NA	1.30239064503704	1.6797699417	1.270275	1.94701766	NA	NA	18.0269806224167	NA	100	0	"Sc"
