obsID	covEntryID	covCat	covDescript	covInvasive	covMultiGrowth	covMultiHeight	covSpEntryID	covNumSpp	covUnit	covVarType	covRef	covImageFile	covAggNum	covInvMean	covInvVar	covInvN	covNatMean	covNatVar	covNatN	covNote	covQuality	covQualityOther	
6.01	3	sp_plantcov	Pteridium aquilinum	native	forb	understory	6	1 species	%	NA	p.206			0	NA	NA	100	NA	NA		BOSD		
6.02	1	sp_plantcov	Melinis minutiflora	invasive	graminoid	understory	1	1 species	%	NA	p.206			100	NA	NA	0	NA	NA		BOSD		
6.02	2	sp_plantcov	Styphelia tameiameiae and Dodonaea viscosa	native	shrub	canopy	"2,3"	>1 species	%	NA	p.206			0	NA	NA	85	NA	NA	greater than NatMean	BOSD		
6.02	3	sp_plantcov	Pteridium aquilinum	native	forb	understory	6	1 species	%	NA	p.206			0	NA	NA	100	NA	NA		BOSD		
12.01	1	sp_biomass	Bromus tectorum	invasive	graminoid	understory	1	1 species	g	SE	Table 2		1	AGG	AGG	AGG	AGG	AGG	AGG		measured		
12.01	2	sp_biomass	Hilaria jamesii	native	graminoid	understory	1	1 species	g	SE	Table 2		2	AGG	AGG	AGG	AGG	AGG	AGG		measured		
12.02	1	sp_biomass	Bromus tectorum	invasive	graminoid	understory	1	1 species	g	SE	Table 2		1	AGG	AGG	AGG	AGG	AGG	AGG		measured		
12.02	2	sp_biomass	Hilaria jamesii	native	graminoid	understory	1	1 species	g	SE	Table 2		2	AGG	AGG	AGG	AGG	AGG	AGG		measured		
15.01	1	sp_plantcov	Bromus tectorum	invasive	graminoid	understory	1	1 species	%	NA	p.313			100	NA	NA	0	NA	NA		BOSD		
15.01	2	sp_plantcov	Artemisia tridentata	native	shrub	understory	2	1 species	%	NA	p.313			0	NA	NA	50	NA	NA		BOSD		
15.01	3	sp_plantcov	Elymus elymoides	native	graminoid	understory	3	1 species	%	NA	p.313			0	NA	NA	10	NA	NA		BOSD		
15.02	1	sp_plantcov	Bromus tectorum	invasive	graminoid	understory	1	1 species	%	NA	p.313			100	NA	NA	0	NA	NA		BOSD		
15.02	2	sp_plantcov	Elymus elymoides	native	graminoid	understory	2	1 species	%	NA	p.313			0	NA	NA	20	NA	NA		BOSD		
25.01	1	sp_ind	Berberis thunbergii	invasive	shrub	understory	1	1 species	stems/m2	SE	Table 1			3.66	0.827	32	0	0	26		measured		
25.01	2	sp_ind	Native understory	native	mixed	understory	"7,8,9,10,11"	>1 species	stems/m2	SE	Table 1			12.77	3.03	32	2.5	1.28	26		measured		
25.01	3	sp_plantcov	Berberis thunbergii	invasive	shrub	understory	1	1 species	%	NA	Table 1			NA	NA	NA	0	NA	NA		BOSD		
25.01	4	sp_plantcov	Native understory	native	mixed	understory	"7,8,9,10,11"	>1 species	%	NA	Table 1			NA	NA	NA	100	NA	NA		BOSD		
25.01	5	sp_plantcov	Native trees	native	tree	canopy	"3,4,5,6"	>1 species	%	NA	text			100	NA	NA	100	NA	NA		BOSD		
25.02	1	sp_ind	Berberis thunbergii	invasive	shrub	understory	1	1 species	stems/m2	SE	Table 1			5.01	1.02	50	0	0	18		measured		
25.02	2	sp_ind	Vaccinium spp	native	shrub	understory	2	1 species	stems/m2	SE	Table 1			3.07	0.61	50	11.62	1.7	18		measured		
25.02	3	sp_ind	Native understory	native	mixed	understory	"7,8,9,10,11"	>1 species	stems/m2	SE	Table 1			1.31	0.28	50	0.11	0.06	18		measured		
25.02	4	sp_plantcov	Berberis thunbergii	invasive	shrub	understory	1	1 species	%	NA	Table 1			NA	NA	NA	0	NA	NA		BOSD		
25.02	5	sp_plantcov	Native understory	native	mixed	understory	"7,8,9,10,11"	>1 species	%	NA	Table 1			NA	NA	NA	100	NA	NA		BOSD		
25.02	6	sp_plantcov	Native trees	native	tree	canopy	"3,4,5,6"	>1 species	%	NA	text			100	NA	NA	100	NA	NA		BOSD		
25.03	1	sp_ind	Berberis thunbergii	invasive	shrub	understory	1	1 species	stems/m2	SE	Table 1			3.99	0.51	56	0	0	11		measured		
25.03	2	sp_ind	Vaccinium spp	native	shrub	understory	2	1 species	stems/m2	SE	Table 1			1.58	0.58	56	10.4	3.36	11		measured		
25.03	3	sp_ind	Native understory	native	mixed	understory	"7,8,9,10,11"	>1 species	stems/m2	SE	Table 1			0.16	0.06	56	0.01	0.01	11		measured		
25.03	4	sp_plantcov	Berberis thunbergii	invasive	shrub	understory	1	1 species	%	NA	Table 1			NA	NA	NA	0	NA	NA		BOSD		
25.03	5	sp_plantcov	Native understory	native	mixed	understory	"7,8,9,10,11"	>1 species	%	NA	Table 1			NA	NA	NA	100	NA	NA		BOSD		
25.03	6	sp_plantcov	Native trees	native	tree	canopy	"3,4,5,6"	>1 species	%	NA	text			100	NA	NA	100	NA	NA		BOSD		
25.04	1	sp_ind	Native understory	native	mixed	understory	"7,8,9,10,11"	>1 species	stems/m2	SE	Table 1			12.53	2.86	32	2.5	1.28	26		measured		
25.04	2	sp_plantcov	Microstegium vimineum	invasive	graminoid	understory	1	1 species	%	NA	Table 1			70	NA	NA	0	NA	NA	average of the cover range provided	BOSD		
25.04	3	sp_plantcov	Native understory	native	mixed	understory	"7,8,9,10,11"	>1 species	%	NA	Table 1			30	NA	NA	100	NA	NA		BOSD		
25.04	4	sp_plantcov	Native trees	native	tree	canopy	"3,4,5,6"	>1 species	%	NA	text			100	NA	NA	100	NA	NA		BOSD		
25.05	1	sp_ind	Vaccinium spp	native	shrub	understory	2	1 species	stems/m2	SE	Table 1			10.4	3.36	11	2.11	0.78	56		measured		
25.05	2	sp_ind	Native understory	native	mixed	understory	"7,8,9,10,11"	>1 species	stems/m2	SE	Table 1			0.01	0.01	11	0.2	0.08	56		measured		
25.05	3	sp_plantcov	Microstegium vimineum	invasive	graminoid	understory	1	1 species	%	NA	Table 1			10	NA	NA	0	NA	NA	average of the cover range provided	BOSD		
25.05	4	sp_plantcov	Native understory	native	mixed	understory	"7,8,9,10,11"	>1 species	%	NA	Table 1			90	NA	NA	100	NA	NA		BOSD		
25.05	5	sp_plantcov	Native trees	native	tree	canopy	"3,4,5,6"	>1 species	%	NA	text			100	NA	NA	100	NA	NA		BOSD		
25.06	1	sp_plantcov	Microstegium and Berberis	invasive	mixed	understory	"1,2"	>1 species	%	NA	p.1290			100	NA	NA	0	NA	NA		BOSD		
25.06	2	sp_plantcov	Vaccinium pallidum	native	shrub	understory	3	1 species	%	NA	p.1290			0	NA	NA	100	NA	NA		BOSD		
25.07	1	sp_plantcov	Microstegium and Berberis	invasive	mixed	understory	"1,2"	>1 species	%	NA	p.1290			100	NA	NA	0	NA	NA		BOSD		
25.07	2	sp_plantcov	Vaccinium pallidum	native	shrub	understory	3	1 species	%	NA	p.1290			0	NA	NA	100	NA	NA		BOSD		
29.01	1	sp_biomass	Lythrum salicaria	invasive	forb	understory	1	1 species	kg/m2	SE	Table 2			1.47	0.04	5	0	NA	NA	live biomass	measured		
29.01	2	sp_biomass	Typha latifolia	native	forb	understory	1	1 species	kg/m2	SE	Table 2			NA	NA	NA	1.93	0.13	5	live biomass	measured		
29.01	3	sp_plantcov	Lythrum salicaria	invasive	forb	understory	1	1 species	%	NA	text			50	NA	NA	0	NA	NA		BOSD		
29.01	4	sp_plantcov	Typha latifolia	native	forb	understory	1	1 species	%	NA	text			50	NA	NA	100	NA	NA		BOSD		
29.02	1	sp_biomass	Lythrum salicaria	invasive	forb	understory	1	1 species	kg/m2	SE	Table 2			1.47	0.04	5	0	NA	NA	live biomass	measured		
29.02	2	sp_biomass	Typha latifolia	native	forb	understory	1	1 species	kg/m2	SE	Table 2			0	NA	NA	1.93	0.13	5	live biomass	measured		
29.02	3	sp_plantcov	Lythrum salicaria	invasive	forb	understory	1	1 species	%	NA	text			100	NA	NA	0	NA	NA		BOSD		
29.02	4	sp_plantcov	Typha latifolia	native	forb	understory	1	1 species	%	NA	text			0	NA	NA	100	NA	NA		BOSD		
30.01	1	sp_plantcov	Hedychium gardnerianum	invasive	forb	understory	1	1 species	%	NA	text			100	NA	NA	0	NA	NA		BOSD		
30.01	2	sp_plantcov	Native trees	native	tree	canopy	"2,3"	>1 species	%	NA	text			100	NA	NA	100	NA	NA		BOSD		
36.01	1	sp_plantcov	Avena and Bromus	invasive	graminoid	understory	"1,2"	>1 species	%	NA	p.977			100	NA	NA	0	NA	NA		BOSD		
36.01	2	sp_plantcov	Lupinus bicolor	native	forb	understory	3	1 species	%	NA	p.977			0	NA	NA	100	NA	NA		BOSD		
36.02	1	sp_plantcov	Avena and Bromus	invasive	graminoid	understory	"1,2"	>1 species	%	NA	p.977			100	NA	NA	0	NA	NA		BOSD		
36.02	2	sp_plantcov	Nassella pulchra	native	graminoid	understory	3	1 species	%	NA	p.977			0	NA	NA	100	NA	NA		BOSD		
38.01	1	sp_plantcov	Rhamnus cathartica	invasive	shrub	understory	1	1 species	%	NA	text			100	NA	NA	0	NA	NA		BOSD		
38.01	2	sp_plantcov	Natives	native	mixed	mixed	"2,3,4,5,6,7"	>1 species	%	NA	text			100	NA	NA	100	NA	NA		BOSD		
38.02	1	sp_plantcov	Rhamnus cathartica	invasive	shrub	understory	1	1 species	%	NA	text			100	NA	NA	0	NA	NA		BOSD		
38.02	2	sp_plantcov	Natives	native	mixed	mixed	"2,3,4,5,6,7"	>1 species	%	NA	text			100	NA	NA	100	NA	NA		BOSD		
38.03	1	sp_plantcov	Rhamnus cathartica	invasive	shrub	understory	1	1 species	%	NA	text			100	NA	NA	0	NA	NA		BOSD		
38.03	2	sp_plantcov	Natives	native	mixed	mixed	"2,3,4,5,6,7"	>1 species	%	NA	text			100	NA	NA	100	NA	NA		BOSD		
40.01	1	sp_plantcov	Centaurea maculosa	invasive	forb	understory	1	1 species	%	NA	text			100	NA	NA	0	NA	NA		BOSD		
40.01	2	sp_plantcov	Native grasses	native	graminoid	understory	"2,3.4.5"	>1 species	%	NA	text			0	NA	NA	100	NA	NA		BOSD		
40.02	1	sp_plantcov	Centaurea maculosa	invasive	forb	understory	1	1 species	%	NA	text			100	NA	NA	0	NA	NA		BOSD		
40.02	2	sp_plantcov	Native grasses	native	graminoid	understory	"2,3.4.5"	>1 species	%	NA	text			0	NA	NA	100	NA	NA		BOSD		
40.03	1	sp_plantcov	Centaurea maculosa	invasive	forb	understory	1	1 species	%	NA	text			100	NA	NA	0	NA	NA		BOSD		
40.03	2	sp_plantcov	Native grasses	native	graminoid	understory	"2,3.4.5"	>1 species	%	NA	text			0	NA	NA	100	NA	NA		BOSD		
40.04	1	sp_plantcov	Centaurea maculosa	invasive	forb	understory	1	1 species	%	NA	text			100	NA	NA	0	NA	NA		BOSD		
40.04	2	sp_plantcov	Native grasses	native	graminoid	understory	"2,3.4.5"	>1 species	%	NA	text			0	NA	NA	100	NA	NA		BOSD		
40.05	1	sp_plantcov	Centaurea maculosa	invasive	forb	understory	1	1 species	%	NA	text			100	NA	NA	0	NA	NA		BOSD		
40.05	2	sp_plantcov	Native grasses	native	graminoid	understory	"2,3.4.5"	>1 species	%	NA	text			0	NA	NA	100	NA	NA		BOSD		
40.06	1	sp_plantcov	Centaurea maculosa	invasive	forb	understory	1	1 species	%	NA	text			100	NA	NA	0	NA	NA		BOSD		
40.06	2	sp_plantcov	Native grasses	native	graminoid	understory	"2,3.4.5"	>1 species	%	NA	text			0	NA	NA	100	NA	NA		BOSD		
40.07	1	sp_plantcov	Centaurea maculosa	invasive	forb	understory	1	1 species	%	NA	text			100	NA	NA	0	NA	NA		BOSD		
40.07	2	sp_plantcov	Native grasses	native	graminoid	understory	"2,3.4.5"	>1 species	%	NA	text			0	NA	NA	100	NA	NA		BOSD		
40.08	1	sp_plantcov	Centaurea maculosa	invasive	forb	understory	1	1 species	%	NA	text			100	NA	NA	0	NA	NA		BOSD		
40.08	2	sp_plantcov	Native grasses	native	graminoid	understory	"2,3.4.5"	>1 species	%	NA	text			0	NA	NA	100	NA	NA		BOSD		
40.09	1	sp_plantcov	Centaurea maculosa	invasive	forb	understory	1	1 species	%	NA	text			100	NA	NA	0	NA	NA		BOSD		
40.09	2	sp_plantcov	Native grasses	native	graminoid	understory	"2,3.4.5"	>1 species	%	NA	text			0	NA	NA	100	NA	NA		BOSD		
41.01	1	sp_plantcov	Bromus diandrus	invasive	graminoid	understory	1	1 species	%	NA	p.26			100	NA	NA	0	NA	NA		BOSD		
41.01	2	sp_plantcov	Sporobolus airoides	native	graminoid	understory	2	1 species	%	NA	p.26			0	NA	NA	100	NA	NA		BOSD		
41.02	1	sp_plantcov	Bromus diandrus	invasive	graminoid	understory	1	1 species	%	NA	p.26			100	NA	NA	0	NA	NA		BOSD		
41.02	2	sp_plantcov	Sporobolus airoides	native	graminoid	understory	2	1 species	%	NA	p.26			0	NA	NA	100	NA	NA		BOSD		
48.01	1	sp_plantcov	Mikania micrantha	invasive	vine	understory	1	1 species	%	NA	text			38	NA	NA	0	NA	NA		BOSD		
48.01	2	sp_plantcov	Natives	native	mixed	mixed	"2,3,4,5,6,7,8,9"	>1 species	%	NA	text			100	NA	NA	100	NA	NA		BOSD		
48.02	1	sp_plantcov	Mikania micrantha	invasive	vine	understory	1	1 species	%	NA	text			80	NA	NA	0	NA	NA		BOSD		
48.02	2	sp_plantcov	Natives	native	mixed	mixed	"2,3,4,5,6,7,8,9"	>1 species	%	NA	text			100	NA	NA	100	NA	NA		BOSD		
48.03	1	sp_plantcov	Mikania micrantha	invasive	vine	understory	1	1 species	%	NA	text			100	NA	NA	0	NA	NA		BOSD		
48.03	2	sp_plantcov	Natives	native	mixed	mixed	"2,3,4,5,6,7,8,9"	>1 species	%	NA	text			100	NA	NA	100	NA	NA		BOSD		
53.01	1	sp_plantcov	Chrysanthemoides monilifera	invasive	shrub	canopy	1	1 species	%	NA	p.557			70	NA	NA	0	NA	NA	greater than InvMean	BOSD		
53.01	2	sp_plantcov	Native understory	native	mixed	understory	"5,6,7"	>1 species	%	NA	p.557			0	NA	NA	100	NA	NA		BOSD		
53.01	3	sp_plantcov	Native overstory shrubs	native	shrub	canopy	"2,3,4"	>1 species	%	NA	p.557			30	NA	NA	60	NA	NA	less than InvMean	BOSD		
58.01	1	sp_plantcov	Cornus drummondii	invasive	shrub	canopy	1	1 species	%	NA	p.185			NA	NA	NA	0	NA	NA		BOSD		
58.01	2	sp_plantcov	Native grasses	native	graminoid	understory	"2,3"	>1 species	%	NA	p.185			100	NA	NA	100	NA	NA		BOSD		
59.01	1	sp_plantcov	All exotics	invasive	mixed	mixed	"1,2,3,4,5"	>1 species	%	NA	p.2805			100	NA	NA	0	NA	NA		BOSD		
59.01	2	sp_plantcov	All natives	native	graminoid	understory	"6,7,8,9"	>1 species	%	NA	p.2805			0	NA	NA	100	NA	NA		BOSD		
59.02	1	sp_plantcov	All exotics	invasive	mixed	mixed	"1,2,3,4,5"	>1 species	%	NA	p.2805			100	NA	NA	0	NA	NA		BOSD		
59.02	2	sp_plantcov	All natives	native	graminoid	understory	"6,7,8,9"	>1 species	%	NA	p.2805			0	NA	NA	100	NA	NA		BOSD		
59.03	1	sp_plantcov	All exotics	invasive	mixed	mixed	"1,2,3,4,5"	>1 species	%	NA	p.2805			100	NA	NA	0	NA	NA		BOSD		
59.03	2	sp_plantcov	All natives	native	graminoid	understory	"6,7,8,9"	>1 species	%	NA	p.2805			0	NA	NA	100	NA	NA		BOSD		
62.01	1	sp_plantcov	Betula spp	invasive	tree	canopy	1	1 species	%	Not reported	Table 2			10.3	NA	10	0	NA	10		measured		
62.01	2	sp_plantcov	Calluna vulgaris	native	shrub	understory	2	1 species	%	Not reported	Table 2			0	NA	10	62	NA	10		measured		
62.01	3	sp_plantcov	Erica cinerea	native	shrub	understory	3	1 species	%	Not reported	Table 2			0	NA	10	22.4	NA	10		measured		
62.01	4	sp_plantcov	Erica tetralix	native	shrub	understory	4	1 species	%	Not reported	Table 2			0	NA	10	9.9	NA	10		measured		
62.01	5	sp_plantcov	Hypnum jutlandicum	native	nonvascular	understory	5	1 species	%	Not reported	Table 2			12.1	NA	10	3.8	NA	10		measured		
62.01	6	sp_plantcov	Cladonia portentosa	native	nonvascular	understory	6	1 species	%	Not reported	Table 2			0	NA	10	8.5	NA	10		measured		
62.01	7	sp_plantcov	Pteridium aquilinum	native	forb	understory	7	1 species	%	Not reported	Table 2			25.2	NA	10	0	NA	10		measured		
62.02	1	sp_plantcov	Betula spp	invasive	tree	canopy	1	1 species	%	Not reported	Table 2			5.4	NA	10	0	NA	10		measured		
62.02	2	sp_plantcov	Calluna vulgaris	native	shrub	understory	2	1 species	%	Not reported	Table 2			5.1	NA	10	70.5	NA	10		measured		
62.02	3	sp_plantcov	Erica cinerea	native	shrub	understory	3	1 species	%	Not reported	Table 2			0	NA	10	8	NA	10		measured		
62.02	4	sp_plantcov	Ulex minor	native	shrub	understory	4	1 species	%	Not reported	Table 2			0	NA	10	5.2	NA	10		measured		
62.02	5	sp_plantcov	Hypnum cupressiforme	native	nonvascular	understory	5	1 species	%	Not reported	Table 2			0	NA	10	15.5	NA	10		measured		
62.02	6	sp_plantcov	Hypnum jutlandicum	native	nonvascular	understory	6	1 species	%	Not reported	Table 2			0	NA	10	1.4	NA	10		measured		
62.02	7	sp_plantcov	Pleurozium schreberi	native	nonvascular	understory	7	1 species	%	Not reported	Table 2			0	NA	10	15.9	NA	10		measured		
62.02	8	sp_plantcov	Cladonia portentosa	native	nonvascular	understory	8	1 species	%	Not reported	Table 2			0	NA	10	0.3	NA	10		measured		
62.02	9	sp_plantcov	Molina caerulea	native	graminoid	understory	9	1 species	%	Not reported	Table 2			23.1	NA	10	0	NA	10		measured		
62.02	10	sp_plantcov	Pteridium aquilinum	native	forb	understory	10	1 species	%	Not reported	Table 2			14.6	NA	10	0	NA	10		measured		
62.02	11	sp_plantcov	Rubus glandulosus	native	shrub	understory	11	1 species	%	Not reported	Table 2			2.2	NA	10	0	NA	10		measured		
62.03	1	sp_plantcov	Betula spp	invasive	tree	canopy	1	1 species	%	Not reported	Table 2			8	NA	10	0	NA	10		measured		
62.03	2	sp_plantcov	Calluna vulgaris	native	shrub	understory	2	1 species	%	Not reported	Table 2			0	NA	10	66.1	NA	10		measured		
62.03	3	sp_plantcov	Cuscuta epithymum	native	forb	understory	3	1 species	%	Not reported	Table 2			0	NA	10	5.4	NA	10		measured		
62.03	4	sp_plantcov	Erica cinerea	native	shrub	understory	4	1 species	%	Not reported	Table 2			0	NA	10	25.7	NA	10		measured		
62.03	5	sp_plantcov	Erica tetralix	native	shrub	understory	5	1 species	%	Not reported	Table 2			0	NA	10	2.6	NA	10		measured		
62.03	6	sp_plantcov	Ulex minor	native	shrub	understory	6	1 species	%	Not reported	Table 2			0	NA	10	4.8	NA	10		measured		
62.03	7	sp_plantcov	Hypnum jutlandicum	native	nonvascular	understory	7	1 species	%	Not reported	Table 2			0.6	NA	10	1.3	NA	10		measured		
62.03	8	sp_plantcov	Agrostsis curtisii	native	graminoid	understory	8	1 species	%	Not reported	Table 2			53.6	NA	10	0	NA	10		measured		
62.03	9	sp_plantcov	Pteridium aquilinum	native	forb	understory	9	1 species	%	Not reported	Table 2			7.5	NA	10	0	NA	10		measured		
62.03	10	sp_plantcov	Rubus glandulosus	native	shrub	understory	10	1 species	%	Not reported	Table 2			0.9	NA	10	0	NA	10		measured		
62.04	1	sp_plantcov	Betula spp	invasive	tree	canopy	1	1 species	%	Not reported	Table 2			9.2	NA	10	0	NA	10		measured		
62.04	2	sp_plantcov	Calluna vulgaris	native	shrub	understory	2	1 species	%	Not reported	Table 2			0	NA	10	84.8	NA	10		measured		
62.04	3	sp_plantcov	Erica cinerea	native	shrub	understory	3	1 species	%	Not reported	Table 2			0	NA	10	3.6	NA	10		measured		
62.04	4	sp_plantcov	Erica tetralix	native	shrub	understory	4	1 species	%	Not reported	Table 2			0	NA	10	1	NA	10		measured		
62.04	5	sp_plantcov	Ulex gallii	native	shrub	understory	5	1 species	%	Not reported	Table 2			0	NA	10	12	NA	10		measured		
62.04	6	sp_plantcov	Hypnum jutlandicum	native	nonvascular	understory	6	1 species	%	Not reported	Table 2			0.4	NA	10	0.3	NA	10		measured		
62.04	7	sp_plantcov	Molina caerulea	native	graminoid	understory	7	1 species	%	Not reported	Table 2			9.2	NA	10	0	NA	10		measured		
62.04	8	sp_plantcov	Pteridium aquilinum	native	forb	understory	8	1 species	%	Not reported	Table 2			6.1	NA	10	0	NA	10		measured		
62.04	9	sp_plantcov	Rubus glandulosus	native	shrub	understory	9	1 species	%	Not reported	Table 2			1.8	NA	10	0	NA	10		measured		
62.05	1	sp_plantcov	Betula spp	invasive	tree	canopy	1	1 species	%	Not reported	Table 2			18.2	NA	10	0	NA	10		measured		
62.05	2	sp_plantcov	Calluna vulgaris	native	shrub	understory	2	1 species	%	Not reported	Table 2			0.4	NA	10	88.2	NA	10		measured		
62.05	3	sp_plantcov	Erica cinerea	native	shrub	understory	3	1 species	%	Not reported	Table 2			0	NA	10	2.6	NA	10		measured		
62.05	4	sp_plantcov	Erica tetralix	native	shrub	understory	4	1 species	%	Not reported	Table 2			0	NA	10	6.9	NA	10		measured		
62.05	5	sp_plantcov	Molina caerulea	native	graminoid	understory	5	1 species	%	Not reported	Table 2			1.2	NA	10	0.3	NA	10		measured		
62.05	6	sp_plantcov	Ulex gallii	native	shrub	understory	6	1 species	%	Not reported	Table 2			0	NA	10	1.3	NA	10		measured		
62.05	7	sp_plantcov	Hypnum jutlandicum	native	nonvascular	understory	7	1 species	%	Not reported	Table 2			1.9	NA	10	0.9	NA	10		measured		
62.05	8	sp_plantcov	Cladonia portentosa	native	nonvascular	understory	8	1 species	%	Not reported	Table 2			0	NA	10	0.5	NA	10		measured		
62.05	9	sp_plantcov	Agrostsis capillaris	native	graminoid	understory	9	1 species	%	Not reported	Table 2			1	NA	10	0	NA	10		measured		
62.05	10	sp_plantcov	Pteridium aquilinum	native	forb	understory	10	1 species	%	Not reported	Table 2			1.6	NA	10	0	NA	10		measured		
62.05	11	sp_plantcov	Rubus glandulosus	native	shrub	understory	11	1 species	%	Not reported	Table 2			3.2	NA	10	0	NA	10		measured		
62.06	1	sp_plantcov	Betula spp	invasive	tree	canopy	1	1 species	%	Not reported	Table 2			8.1	NA	10	0	NA	10		measured		
62.06	2	sp_plantcov	Calluna vulgaris	native	shrub	understory	2	1 species	%	Not reported	Table 2			0	NA	10	96.9	NA	10		measured		
62.06	3	sp_plantcov	Erica cinerea	native	shrub	understory	3	1 species	%	Not reported	Table 2			0	NA	10	1	NA	10		measured		
62.06	4	sp_plantcov	Ulex minor	native	shrub	understory	4	1 species	%	Not reported	Table 2			0	NA	10	0.2	NA	10		measured		
62.06	5	sp_plantcov	Hypnum jutlandicum	native	nonvascular	understory	5	1 species	%	Not reported	Table 2			5.9	NA	10	5.1	NA	10		measured		
62.06	6	sp_plantcov	Cladonia portentosa	native	nonvascular	understory	6	1 species	%	Not reported	Table 2			0	NA	10	0.2	NA	10		measured		
62.06	7	sp_plantcov	Agrostsis capillaris	native	graminoid	understory	7	1 species	%	Not reported	Table 2			1.4	NA	10	0	NA	10		measured		
62.06	8	sp_plantcov	Molina caerulea	native	graminoid	understory	8	1 species	%	Not reported	Table 2			2.9	NA	10	0	NA	10		measured		
62.06	9	sp_plantcov	Pteridium aquilinum	native	forb	understory	9	1 species	%	Not reported	Table 2			0	NA	10	0	NA	10		measured		
62.06	10	sp_plantcov	Rubus glandulosus	native	shrub	understory	10	1 species	%	Not reported	Table 2			5.3	NA	10	0	NA	10		measured		
62.07	1	sp_plantcov	Betula spp	invasive	tree	canopy	1	1 species	%	Not reported	Table 2			6.2	NA	10	0	NA	10		measured		
62.07	2	sp_plantcov	Calluna vulgaris	native	shrub	understory	2	1 species	%	Not reported	Table 2			0	NA	10	62.6	NA	10		measured		
62.07	3	sp_plantcov	Erica tetralix	native	shrub	understory	3	1 species	%	Not reported	Table 2			0	NA	10	12.9	NA	10		measured		
62.07	4	sp_plantcov	Molina caerulea	native	graminoid	understory	4	1 species	%	Not reported	Table 2			0.2	NA	10	2.4	NA	10		measured		
62.07	5	sp_plantcov	Hypnum jutlandicum	native	nonvascular	understory	5	1 species	%	Not reported	Table 2			0.4	NA	10	1.4	NA	10		measured		
