done	paperID	source	reject	rejectRationale	traitDataOnly	inPapers	author1	author2	author3	year	title	journal	doi
y	25	Liao2007	No			Yes	Ehrenfeld	Kourtev	Huang	2001	Changes in soil functions following invasions of exotic understory plants in deciduous forests	Ecological Applications	
	26	Liao2007	"Yes, but has traits"	No soil nitrogen measurements presented under invasive and reference species	Yes	Yes	Englund			2004	Bromus tectorum impacts soil carbon storage in semiarid grasslands of Canyonlands National Park	"Thesis, The University of Utah, USA"	
	27	Liao2007	No			Yes	Evans	Rimer	Sperry	2001	Exotic plant invasion alters nitrogen dynamics in an arid grassland	Ecological Applications	
	28	Liao2007	"Yes, but has traits"	No soil nitrogen measurements presented under invasive and reference species	Yes	Yes	Farnsworth	Meyerson		2003	Comparative ecophysiology of four wetland plant species along a continuum of invasiveness	Wetlands	
y	29	Liao2007	No			Yes	Fickbohm	Zhu		2006	Exotic purple loosestrife invasion of native cattail freshwater wetlands: Effects on organic matter distribution and soil nitrogen cycling	Applied Soil Ecology	
y	30	Liao2007	No			Yes	Funk			2005	"Hedychium gardnerianum invasion into Hawaiian montane rainforest: interactions among litter quality, decomposition rate, and soil nitrogen availability"	Biogeochemistry	
	31	Liao2007	Yes	No soil nitrogen measurements presented under invasive and reference species		No	Grout	Levings	Richardson	1997	Decomposition rates of purple loosestrife (Lythrum salicaria) and Lyngbyei’s sedge (Carex lyngbyei) in the Fraser River estuary	Estuaries	
	32	Liao2007	Yes	Comparison between native and introduced populations of the same species		No	Guesewell	Jakobs	Weber	2006	Native and introduced populations of Solidago gigantea differ in shoot production but not in leaf traits or litter decomposition	Functional Ecology	
	33	Liao2007	Yes	No soil nitrogen measurements presented under invasive and reference species		No	Hager			2004	Competitive effect versus competitive response of invasive and native wetland plant species	Oecologia	
	34	Liao2007	Yes	No soil nitrogen measurements presented under invasive and reference species		No	Harcombe	Cameron	Glumac	1993	"Above-ground net primary productivity in adjacent grassland and woodland on the coastal prairie of Texas, USA"	Journal of Vegetation Science	
	35	Liao2007	No			Yes	Hartemink	O’Sullivan		2001	"Leaf litter decomposition of Piper aduncum, Gliricidia sepium and Imperata cylindrica in the humid lowlands of Papua New Guinea"	Plant and Soil	
y	36	Liao2007	No			Yes	Hawkes	Wren	Herman	2005	Plant invasion alters nitrogen cycling by modifying the soil nitrifying community	Ecology Letters	
	37	Liao2007	Yes	No soil nitrogen measurements presented under invasive and reference species		No	Henderson	Naeth		2005	Multi-scale impacts of crested wheatgrass invasion in mixed-grass prairie	Biological Invasions	
y	38	Liao2007	No			Yes	Heneghan	Fatemi	Umek	2006	"The invasive shrub European buckthorn (Rhamnus cathartica, L) alters soil properties in Midwestern US woodlands"	Applied Soil Ecology	
	39	Liao2007	No			Yes	Hibbard	Archer	Schimel	2001	Biogeochemical changes accompanying woody plant encroachment in a subtropical savanna	Ecology	
y	40	Liao2007	No			Yes	Hook	Olson	Wraith	2004	"Effects of the invasive Forb Centaurea maculosa on grassland carbon and nitrogen pools in Montana, USA"	Ecosystems	
y	41	Liao2007	No			Yes	Hoopes	Hall		2002	Edaphic factors and competition affect pattern formation and invasion in a California grassland	Ecological Applications	
	42	Liao2007	No			Yes	Hughes	Archer	Asner	2006	Changes in aboveground primary production and carbon and nitrogen pools accompanying woody plant encroachment in a temperate savanna	Global Change Biology	10.1111/j.1365-2486.2006.01210.x 
	43	Liao2007	No			Yes	Hughes	Denslow		2005	Invasion by a N2 fixing tree alters function and structure in wet lowland forests of Hawaii	Ecological Applications	
	44	Liao2007	"Yes, but has traits"	No soil nitrogen measurements presented under invasive and reference species	Yes	Yes	Hughes	Uowolo		2006	Impacts of Falcataria moluccana invasion on decomposition in Hawaiian lowland wet forests: The importance of stand-level controls	Ecosystems	
	45	Liao2007	Yes	No soil nitrogen measurements presented under invasive and reference species		No	Kelly	Hawes		2005	Effects of invasive macrophytes on littoral-zone productivity and foodweb dynamics in a New Zealand high-country lake	Journal of the North American Benthological Society	
	46	Liao2007	No			Yes	Kourtev	Ehrenfeld	Haggblom	2003	Experimental analysis of the effect of exotic and native plant species on the structure and function of soil microbial communities	Soil Biology and Biochemistry	
	47	Liao2007	No			Yes	Lett	Knapp	Briggs	2004	Influence of shrub encroachment on aboveground net primary productivity and carbon and nitrogen pools in a mesic grassland	Canadian Journal of Botany-Revue Canadienne De Botanique	
y	48	Liao2007	No			Yes	Li	Zhang	Jiang	2006	"Changes in soil microbial community associated with invasion of the exotic weed, Mikania micrantha HBK"	Plant and Soil	
	49	Liao2007	Yes	Cannot obtain pdf		No	Liao			2007	The effects of invasive alien plants on ecosystem carbon and nitrogen cycles: a case study of Spartina alterniflora invasion in the Yangtze Estuary and a Meta-analysis	"PhD thesis, Fudan University, China"	
	50	Liao2007	No			Yes	Liao			2004	Woodland development and soil carbon and nitrogen dynamics and storage in a subtropical savanna ecosystem	"PhD thesis, Texas A & M University, USA"	
	51	Liao2007	No			Yes	Liao	Boutton	Jastrow	2006	Organic matter turnover in soil physical fractions following woody plant invasion of grassland: Evidence from natural 13C and 15N	Soil Biology and Biochemistry	
	52	Liao2007	"Yes, but has traits"	No soil nitrogen measurements presented under invasive and reference species	Yes	Yes	Lindsay	French		2004	Chrysanthemoides monilifera ssp rotundata invasion alters decomposition rates in coastal areas of south-eastern Australia	Forest Ecology and Management	
y	53	Liao2007	No			Yes	Lindsay	French		2005	Litterfall and nitrogen cycling following invasion by Chrysanthemoides monilifera ssp rotundata in coastal Australia	Journal of Applied Ecology	
	54	Liao2007	Yes	No soil nitrogen measurements presented under invasive and reference species		No	Litton	Sandquist	Cordell	2006	Effects of non-native grass invasion on aboveground carbon pools and tree population structure in a tropical dry forest of Hawaii	Forest Ecology and Management	
	55	Liao2007	Yes	No soil nitrogen measurements presented under invasive and reference species		No	Mack	D’Antonio		2003	The effects of exotic grasses on litter decomposition in a Hawaiian woodland: The importance of indirect effects	Ecosystems	
	56	Liao2007	No			Yes	Mack	D’Antonio		2003	Exotic grasses alter controls over soil nitrogen dynamics in a Hawaiian woodland	Ecological Applications	
	57	Liao2007	No			Yes	Mahaney	Smemo	Yavitt	2006	"Impacts of Lythrum salicaria invasion on plant community and soil properties in two wetlands in central New York, USA"	Canadian Journal of Botany-Revue Canadienne De Botanique	
y	58	Liao2007	No			Yes	McCarron	Knapp	Blair	2003	Soil C and N responses to woody plant expansion in a mesic grassland	Plant and Soil	
y	59	Liao2007	No			Yes	McCulley	Archer	Boutton	2004	Soil respiration and nutrient cycling in wooded communities developing in grassland	Ecology	
	60	Liao2007	No	Problem with pdf		Yes	McIntosh	Loeseke	Bechler	1995	Soil changes under mouse-ear hawkweed (Hieracium pilosella)	New Zealand Journal of Ecology	
	61	Liao2007	No			Yes	Meyerson	Chambers	Vogt	1999	The effects of Phragmites removal on nutrient pools in a freshwater tidal marsh ecosystem	Biological Invasions	
y	62	Liao2007	No			Yes	Mitchell	Marrs	LeDuc	1997	"A study of succession on lowland heaths in Dorset, southern England: Changes in vegetation and soil chemical properties"	Journal of Applied Ecology	
	63	Liao2007	Yes	Soil nitrogen is strictly an independent variable		No	Morghan	Seastedt		1999	Effects of soil nitrogen reduction on nonnative plants in restored grasslands	Restoration Ecology	
	64	Liao2007	No			Yes	Musil			1993	"Effect of invasive Australian acacias on the regeneration, growth and nutrient chemistry of South African lowland fynbos"	Journal of Applied Ecology	
	65	Liao2007	"Yes, but has traits"	No soil nitrogen measurements presented under invasive and reference species	Yes	Yes	Nagel	Griffin		2004	Can gas-exchange characteristics help explain the invasive success of Lythrum salicaria?	Biological Invasions	
	66	Liao2007	"Yes, but has traits"	No soil nitrogen measurements presented under invasive and reference species	Yes	Yes	Norris	Blair	Johnson	2001	Land cover change in eastern Kansas: litter dynamics of closed-canopy eastern redcedar forests in tallgrass prairie	Canadian Journal of Botany-Revue Canadienne De Botanique	
	67	Liao2007	Yes	No soil nitrogen measurements presented under invasive and reference species		No	O’Dell	Claassen		2006	Relative performance of native and exotic grass species in response to amendment of drastically disturbed serpentine substrates	Journal of Applied Ecology	
	68	Liao2007	"Yes, but has traits"	No soil nitrogen measurements presented under invasive and reference species	Yes	Yes	Ogle	Reiners	Gerow	2003	Impacts of exotic annual brome grasses (Bromus spp) on ecosystem properties of northern mixed grass prairie	American Midland Naturalist	
	69	Liao2007	No			Yes	Otto	Groffman	Findlay	1999	Invasive plant species and microbial processes in a tidal freshwater marsh	Journal of Environmental Quality	
	70	Liao2007	"Yes, but has traits"	No soil nitrogen measurements presented under invasive and reference species	Yes	Yes	Perry	Galatowitsch	Rosen	2004	Competitive control of invasive vegetation: a native wetland sedge suppresses Phalaris arundinacea in carbon-enriched soil	Journal of Applied Ecology	
y	71	Liao2007	No			Yes	Reed	Seastedt	Blair	2005	Ecological consequences of C4 grass invasion of a C4 grassland: A dilemma for management	Ecological Applications	
	72	Liao2007	No			Yes	Rimer	Evans		2006	Invasion of downy brome (Bromus tectorum L) causes rapid changes in the nitrogen cycle	American Midland Naturalist	
	73	Liao2007	"Yes, but has traits"	No soil nitrogen measurements presented under invasive and reference species	Yes	Yes	Rothstein	Vitousek	Simmons	2004	An exotic tree alters decomposition and nutrient cycling in a Hawaiian montane forest	Ecosystems	
	74	Liao2007	No			Yes	Saggar	McIntosh	Hedley	1999	"Changes in soil microbial biomass, metabolic quotient, and organic matter turnover under Hieracium (H pilosella L)"	Biology and Fertility of Soils	
	75	Liao2007	No			Yes	Scott	Saggar	McIntosh	2001	Biogeochemical impact of Hieracium invasion in New Zealand’s grazed tussock grasslands: Sustainability implications	Ecological Applications	
	76	Liao2007	Yes	No soil nitrogen measurements presented under invasive and reference species		No	Sher	Marshall	Gilbert	2000	Competition between native Populus deltoids and invasive Tamarix ramosissima and the implications for reestablishing flooding disturbance	Conservation Biology	
y	77	Liao2007	No			Yes	Sperry	Belnap	Evans	2006	Bromus tectorum invasion alters nitrogen dynamics in an undisturbed arid grassland ecosystem	Ecology	
	78	Liao2007	No			Yes	Standish	Williams	Robertson	2004	Invasion by a perennial herb increases decomposition rate and alters nutrient availability in warm temperate lowland forest remnants	Biological Invasions	
	79	Liao2007	Yes	No soil nitrogen measurements presented under invasive and reference species		No	Steinaker	Wilson		2005	Belowground litter contributions to nitrogen cycling at a northern grassland-forest boundary	Ecology	
y	80	Liao2007	No			Yes	Stock	Wienand	Baker	1995	Impacts of invading N2-fixing Acacia species on patterns of nutrient cycling in two Cape ecosystems: evidence from soil incubation studies and 15N natural abundance values	Oecologia	
	81	Liao2007	"Yes, but has traits"	No soil nitrogen measurements presented under invasive and reference species	Yes	Yes	Stratton	Goldstein		2001	"Carbon uptake, growth and resource-use efficiency in one invasive and six native Hawaiian dry forest tree species"	Tree Physiology	
	82	Liao2007	No			Yes	Svejcar	Sheley		2001	Nitrogen dynamics in perennial- and annual-dominated arid rangeland	Journal of Arid Environments	
	83	Liao2007	Yes	No soil nitrogen measurements presented under invasive and reference species		No	Thomsen	Corbin	D’Antonio	2006	The effect of soil nitrogen on competition between native and exotic perennial grasses from northern coastal California	Plant Ecology	
	84	Liao2007	"Yes, but has traits"	No soil nitrogen measurements presented under invasive and reference species	Yes	Yes	Vale_ry	Bouchard	Lefeuvre	2004	Impact of the invasive native species Elymus athericus on carbon pools in a salt marsh	Wetlands	
	85	Liao2007	No			Yes	Vanderhoeven	Dassonville	Meerts	2005	Increased topsoil mineral nutrient concentrations under exotic invasive plants in Belgium	Plant and Soil	
	86	Liao2007	"Yes, but has traits"	No soil nitrogen measurements presented under invasive and reference species	Yes	Yes	Vinton	Goergen		2006	Plant-soil feedbacks contribute to the persistence of Bromus inermis in tallgrass prairie	Ecosystems	
	87	Liao2007	No			Yes	Vitousek	Walker		1989	"Biological invasion by Myrica faya in Hawai’i: Plant demography, nitrogen fixation, ecosystem effects"	Ecological Monographs	
	88	Liao2007	No			Yes	Wedin	Pastor		1993	Nitrogen mineralization dynamics in grass monocultures	Oecologia	
	89	Liao2007	"Yes, but has traits"	No soil nitrogen measurements presented under invasive and reference species	Yes	Yes	Wilsey	Polley		2006	Aboveground productivity and root-shoot allocation differ between native and introduced grass species	Oecologia	
	90	Liao2007	Yes	No soil nitrogen measurements presented under invasive and reference species		No	Windham			2001	"Comparison of biomass production and decomposition between Phragmites australis (common reed) and Spartina patens (salt hay grass) in brackish tidal marshes of New Jersey, USA"	Wetlands	
	91	Liao2007	No			Yes	Windham	Ehrenfeld		2003	Net impact of a plant invasion on nitrogen-cycling processes within a brackish tidal marsh	Ecological Applications	
	92	Liao2007	Yes	No soil nitrogen measurements presented under invasive and reference species		No	Windham	Lathrop		1999	"Effects of Phragmites australis (common reed) invasion on aboveground biomass and soil properties in brackish tidal marsh of the Mullica River, New Jersey"	Estuaries	
y	93	Liao2007	No			Yes	Witkowski			1991	Effects of invasive alien Acacias on nutrient cycling in the coastal lowlands of the cape fynbos	Journal of Applied Ecology	
	94	Liao2007	"Yes, but has traits"	No soil nitrogen measurements presented under invasive and reference species	Yes	Yes	Witkowski			1991	"Growth and competition between seedlings of Protea repens (L) Land the alien invasive, Acacia saligna (Labill) Wendl in relation to nutrient availability"	Functional Ecology	
	95	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			MILCHUNAS	 LAUENROTH		1993	QUANTITATIVE EFFECTS OF GRAZING ON VEGETATION AND SOILS OVER A GLOBAL RANGE OF ENVIRONMENTS	ECOLOGICAL MONOGRAPHS	10.2307/2937150
	96	search1_111714	Yes	Review		Yes	Levine	 Vila	 D'Antonio	2003	Mechanisms underlying the impacts of exotic plant invasions	PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES	10.1098/rspb.2003.2327
	97	search1_111714	Yes	Already picked up by Liao			Ehrenfeld	 Kourtev	 Huang	2001	Changes in soil functions following invasions of exotic understory plants in deciduous forests	ECOLOGICAL APPLICATIONS	10.2307/3060920
	98	search1_111714	No			Yes	ARCHER			1995	TREE-GRASS DYNAMICS IN A PROSOPIS-THORNSCRUB SAVANNA PARKLAND - RECONSTRUCTING THE PAST AND PREDICTING THE FUTURE	ECOSCIENCE	
	99	search1_111714	Yes	Liao2007 paper			Liao	 Peng	 Luo	2008	Altered ecosystem carbon and nitrogen cycles by plant invasion: a meta-analysis	NEW PHYTOLOGIST	10.1111/j.1469-8137.2007.02290.x
	100	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Davies	 Chesson	 Harrison	2005	Spatial heterogeneity explains the scale dependence of the native-exotic diversity relationship	ECOLOGY	10.1890/04-1196
	101	search1_111714	Yes	Soil nitrogen is strictly an independent variable			Blumenthal	 Jordan	 Russelle	2003	Soil carbon addition controls weeds and facilitates prairie restoration	ECOLOGICAL APPLICATIONS	10.1890/1051-0761(2003)013[0605:SCACWA]2.0.CO;2
	102	search1_111714	Yes	Already picked up by Liao			Hawkes	 Wren	 Herman	2005	Plant invasion alters nitrogen cycling by modifying the soil nitrifying community	ECOLOGY LETTERS	10.1111/j.1461-0248.2005.00802.x
	103	search1_111714	Yes	Already picked up by Liao			STOCK	 WIENAND	 BAKER	1995	IMPACTS OF INVADING N-2-FIXING ACACIA SPECIES ON PATTERNS OF NUTRIENT CYCLING IN 2 CAPE ECOSYSTEMS - EVIDENCE FROM SOIL INCUBATION STUDIES AND N-15 NATURAL-ABUNDANCE VALUES	OECOLOGIA	10.1007/BF00328825
	104	search1_111714	Yes	Soil nitrogen is strictly an independent variable			Brooks			2003	Effects of increased soil nitrogen on the dominance of alien annual plants in the Mojave Desert	JOURNAL OF APPLIED ECOLOGY	10.1046/j.1365-2664.2003.00789.x
	105	search1_111714	No			Yes	Mack	 D'Antonio	 Ley	2001	Alteration of ecosystem nitrogen dynamics by exotic plants: A case study of C-4 grasses in Hawaii	ECOLOGICAL APPLICATIONS	10.2307/3060923
	106	search1_111714	No			Yes	Kaye	 Hart		1998	Ecological restoration alters nitrogen transformations in a ponderosa pine bunchgrass ecosystem	ECOLOGICAL APPLICATIONS	10.2307/2640960
	107	search1_111714	Yes	"Not on invasive plants, No soil nitrogen measurements presented under invasive and reference species"			Shumway			2000	Facilitative effects of a sand dune shrub on species growing beneath the shrub canopy	OECOLOGIA	10.1007/s004420050033
	108	search1_111714	No			Yes	D'Antonio	 Hughes	 Mack	1998	The response of native species to removal of invasive exotic grasses in a seasonally dry Hawaiian woodland	JOURNAL OF VEGETATION SCIENCE	10.2307/3237288
	109	search1_111714	Yes	Soil nitrogen is strictly an independent variable			Siemann	 Rogers		2003	Changes in light and nitrogen availability under pioneer trees may indirectly facilitate tree invasions of grasslands	JOURNAL OF ECOLOGY	10.1046/j.1365-2745.2003.00822.x
	110	search1_111714	Yes	Soil nitrogen is strictly an independent variable			Prober	 Thiele	 Lunt	2005	"Restoring ecological function in temperate grassy woodlands: manipulating soil nutrients, exotic annuals and native perennial grasses through carbon supplements and spring burns"	JOURNAL OF APPLIED ECOLOGY	10.1111/j.1365-2664.2005.01095.x
	111	search1_111714	Yes	Already picked up by Liao			Mack	 D'Antonio		2003	Exotic grasses alter controls over soil nitrogen dynamics in a Hawaiian woodland	ECOLOGICAL APPLICATIONS	10.1890/1051-0761(2003)013[0154:EGACOS]2.0.CO;2
	112	search1_111714	Yes	Review			Van Auken			2009	Causes and consequences of woody plant encroachment into western North American grasslands	JOURNAL OF ENVIRONMENTAL MANAGEMENT	10.1016/j.jenvman.2009.04.023
	113	search1_111714	Yes	Already picked up by Liao			Morghan	 Seastedt		1999	Effects of soil nitrogen reduction on nonnative plants in restored grasslands	RESTORATION ECOLOGY	10.1046/j.1526-100X.1999.07106.x
	114	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Maron	 Jeffries		2001	"Restoring enriched grasslands: Effects of mowing on species richness, productivity, and nitrogen retention"	ECOLOGICAL APPLICATIONS	10.2307/3061014
	115	search1_111714	Yes	Not on invasive plants			Hale	 Frelich	 Reich	2005	"Effects of european earthworm invasion on soil characteristics in northern hardwood forests of Minnesota, USA"	ECOSYSTEMS	10.1007/s10021-005-0066-x
	116	search1_111714	Yes	Already picked up by Liao			Windham	 Ehrenfeld		2003	Net impact of a plant invasion on nitrogen-cycling processes within a brackish tidal marsh	ECOLOGICAL APPLICATIONS	10.1890/02-5005
	117	search1_111714	No			Yes	Maron	 Jefferies		1999	"Bush lupine mortality, altered resource availability, and alternative vegetation states"	ECOLOGY	
	118	search1_111714	Yes	Already picked up by Liao			Sperry	 Belnap	 Evans	2006	Bromus tectorum invasion alters nitrogen dynamics in an undisturbed arid grassland ecosystem	ECOLOGY	10.1890/05-0836
	119	search1_111714	No			Yes	Suding	 LeJeune	 Seastedt	2004	Competitive impacts and responses of an invasive weed: dependencies on nitrogen and phosphorus availability	OECOLOGIA	10.1007/s00442-004-1678-0
	120	search1_111714	Yes	Not on invasive plants			JAMES			1991	"SOIL, NITROGEN, PHOSPHORUS, AND ORGANIC-MATTER PROCESSING BY EARTHWORMS IN TALLGRASS PRAIRIE"	ECOLOGY	10.2307/1941562
	121	search1_111714	No			Yes	Monaco	 Johnson	 Norton	2003	Contrasting responses of intermountain west grasses to soil nitrogen	JOURNAL OF RANGE MANAGEMENT	10.2307/4003820
	122	search1_111714	Yes	Already picked up by Liao			Belnap	 Phillips	 Sherrod	2005	Soil biota can change after exotic plant invasion: does this affect ecosystem processes?	ECOLOGY	10.1890/05-0333
	123	search1_111714	Yes	Already picked up by Liao			Farnsworth	 Meyerson		2003	Comparative ecophysiology of four wetland plant species along a continuum of invasiveness	WETLANDS	10.1672/0277-5212(2003)023[0750:CEOFWP]2.0.CO;2
	124	search1_111714	Yes	Not on invasive plants			Murray	 Parslow		1999	Modelling of nutrient impacts in Port Phillip Bay - a semi-enclosed marine Australian ecosystem	MARINE AND FRESHWATER RESEARCH	10.1071/MF98087
	125	search1_111714	Yes	Review			Wang Qing	 An Shu-Qing	 Ma Zhi-Jun	2006	"Invasive Spartina alterniflora: biology, ecology and management"	ACTA PHYTOTAXONOMICA SINICA	10.1360/aps06044
	126	search1_111714	No			Yes	Howard	 Gurevitch	 Hyatt	2004	Forest invasibility in communities in southeastern New York	BIOLOGICAL INVASIONS	10.1023/B:BINV.0000041559.67560.7e
	127	search1_111714	No			Yes	McKinley	 Blair		2008	Woody plant encroachment by Juniperus virginiana in a mesic native grassland promotes rapid carbon and nitrogen accrual	ECOSYSTEMS	10.1007/s10021-008-9133-4
	128	search1_111714	Yes	Soil nitrogen is strictly an independent variable			Rickey	 Anderson		2004	Effects of nitrogen addition on the invasive grass Phragmites australis and a native competitor Spartina pectinata	JOURNAL OF APPLIED ECOLOGY	10.1111/j.0021-8901.2004.00948.x
	129	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Maron	 Marler		2008	Field-based competitive impacts between invaders and natives at varying resource supply	JOURNAL OF ECOLOGY	10.1111/j.1365-2745.2008.01440.x
	130	search1_111714	Yes	Not on invasive plants			Groffman	 Bohlen	 Fisk	2004	Exotic earthworm invasion and microbial biomass in temperate forest soils	ECOSYSTEMS	10.1007/s10021-003-0129-9
	131	search1_111714	Yes	Review			Pardo	 Fenn	 Goodale	2011	Effects of nitrogen deposition and empirical nitrogen critical loads for ecoregions of the United States	ECOLOGICAL APPLICATIONS	
	132	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			WARDLE	 NICHOLSON	 AHMED	1994	INTERFERENCE EFFECTS OF THE INVASIVE PLANT CARDUUS-NUTANS L AGAINST THE NITROGEN-FIXATION ABILITY OF TRIFOLIUM-REPENS L	PLANT AND SOIL	10.1007/BF00007978
	133	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			James	 Davies	 Sheley	2008	Linking nitrogen partitioning and species abundance to invasion resistance in the Great Basin	OECOLOGIA	10.1007/s00442-008-1015-0
	134	search1_111714	Yes	Review			Corbin	 D'Antonio		2004	Effects of exotic species on soil nitrogen cycling: Implications for restoration	WEED TECHNOLOGY	10.1614/0890-037X(2004)018[1464:EOESOS]2.0.CO;2
	135	search1_111714	Yes	Already picked up by Liao			Cushman	 Tierney	 Hinds	2004	Variable effects of feral pig disturbances on native and exotic plants in a California grassland	ECOLOGICAL APPLICATIONS	10.1890/03-5142
	136	search1_111714	Yes	Soil nitrogen is strictly an independent variable			Maron	 Marler		2007	Native plant diversity resists invasion at both low and high resource levels	ECOLOGY	10.1890/06-1993.1
y	137	search1_111714	No			Yes	Rossiter-Rachor	 Setterfield	 Douglas	2009	Invasive Andropogon gayanus (gamba grass) is an ecosystem transformer of nitrogen relations in Australian savanna	ECOLOGICAL APPLICATIONS	10.1890/08-0265.1
	138	search1_111714	Yes	Review			Balser	 McMahon	 Bart	2006	Bridging the gap between micro - and macro-scale perspectives on the role of microbial communities in global change ecology	PLANT AND SOIL	10.1007/s11104-006-9104-5
	139	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Davies	 Bates	 Miller	2007	Short-term effects of burning Wyoming big sagebrush steppe in southeast Oregon	RANGELAND ECOLOGY & MANAGEMENT	10.2111/1551-5028(2007)60[515:SEOBWB]2.0.CO;2
	140	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Carino	 Daehler		2002	Can inconspicuous legumes facilitate alien grass invasions? Partridge peas and fountain grass in Hawai'i	ECOGRAPHY	10.1034/j.1600-0587.2002.250105.x
	141	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Lawson	 Inouye	 Huntly	1999	"Patterns of woody plant abundance, recruitment, mortality, and growth in a 65 year chronosequence of old-fields"	PLANT ECOLOGY	10.1023/A:1009873127360
