obsID	traitEntryID	traitCat	traitSpName	traitSpEntryID	traitUnit	traitVarType	traitRef	traitImageFile	traitAggNum	traitMean	traitVar	traitN	traitNote
25.02	1	sp_percN	Berberis thunbergii	1	mg/g	SE	p.1294			18.25	0.7	5	same trait values for all paper#25 observations by species
25.02	2	sp_percN	Vaccinium spp	2	mg/g	SE	p.1294			15.8	0.44	5	same trait values for all paper#25 observations by species
25.02	3	sp_litterpercN	Berberis thunbergii	1	mg/g	notReported	Figure 6			18.8	NA	NA	same trait values for all paper#25 observations by species
25.02	4	sp_litterpercN	Betula lenta	5	mg/g	notReported	Figure 6			14	NA	NA	same trait values for all paper#25 observations by species
25.02	5	sp_litterpercN	Quercus spp	3	mg/g	notReported	Figure 6			10.8	NA	NA	same trait values for all paper#25 observations by species
25.03	1	sp_percN	Berberis thunbergii	1	mg/g	SE	p.1294			18.25	0.7	5	same trait values for all paper#25 observations by species
25.03	2	sp_percN	Vaccinium spp	2	mg/g	SE	p.1294			15.8	0.44	5	same trait values for all paper#25 observations by species
25.03	3	sp_litterpercN	Berberis thunbergii	1	mg/g	notReported	Figure 6			18.8	NA	NA	same trait values for all paper#25 observations by species
25.03	4	sp_litterpercN	Betula lenta	5	mg/g	notReported	Figure 6			14	NA	NA	same trait values for all paper#25 observations by species
25.03	5	sp_litterpercN	Quercus spp	3	mg/g	notReported	Figure 6			10.8	NA	NA	same trait values for all paper#25 observations by species
25.04	1	sp_percN	Microstegium vimineum	1	mg/g	SE	p.1294			18.35	0.93	6	same trait values for all paper#25 observations by species
25.04	2	sp_percN	Vaccinium spp	2	mg/g	SE	p.1294			15.8	0.44	5	same trait values for all paper#25 observations by species
25.04	3	sp_litterpercN	Microstegium vimineum	1	mg/g	notReported	Figure 6			5.13	NA	NA	same trait values for all paper#25 observations by species
25.04	4	sp_litterpercN	Betula lenta	5	mg/g	notReported	Figure 6			14	NA	NA	same trait values for all paper#25 observations by species
25.04	5	sp_litterpercN	Quercus spp	3	mg/g	notReported	Figure 6			10.8	NA	NA	same trait values for all paper#25 observations by species
25.05	1	sp_percN	Microstegium vimineum	1	mg/g	SE	p.1294			18.35	0.93	6	same trait values for all paper#25 observations by species
25.05	2	sp_percN	Vaccinium spp	2	mg/g	SE	p.1294			15.8	0.44	5	same trait values for all paper#25 observations by species
25.05	3	sp_litterpercN	Microstegium vimineum	1	mg/g	notReported	Figure 6			5.13	NA	NA	same trait values for all paper#25 observations by species
25.05	4	sp_litterpercN	Betula lenta	5	mg/g	notReported	Figure 6			14	NA	NA	same trait values for all paper#25 observations by species
25.05	5	sp_litterpercN	Quercus spp	3	mg/g	notReported	Figure 6			10.8	NA	NA	same trait values for all paper#25 observations by species
25.06	1	sp_percN	Berberis thunbergii	2	mg/g	SE	p.1294			18.25	0.7	5	same trait values for all paper#25 observations by species
25.06	2	sp_percN	Vaccinium pallidum	3	mg/g	SE	p.1294			15.8	0.44	5	same trait values for all paper#25 observations by species
25.06	3	sp_percN	Microstegium vimineum	1	mg/g	SE	p.1294			18.35	0.93	6	same trait values for all paper#25 observations by species
25.06	4	sp_litterpercN	Berberis thunbergii	1	mg/g	notReported	Figure 6			18.8	NA	NA	same trait values for all paper#25 observations by species
25.06	5	sp_litterpercN	Microstegium vimineum	1	mg/g	notReported	Figure 6			5.13	NA	NA	same trait values for all paper#25 observations by species
25.07	1	sp_percN	Berberis thunbergii	2	mg/g	SE	p.1294			18.25	0.7	5	same trait values for all paper#25 observations by species
25.07	2	sp_percN	Vaccinium pallidum	3	mg/g	SE	p.1294			15.8	0.44	5	same trait values for all paper#25 observations by species
25.07	3	sp_percN	Microstegium vimineum	1	mg/g	SE	p.1294			18.35	0.93	6	same trait values for all paper#25 observations by species
25.07	4	sp_litterpercN	Berberis thunbergii	1	mg/g	notReported	Figure 6			18.8	NA	NA	same trait values for all paper#25 observations by species
25.07	5	sp_litterpercN	Microstegium vimineum	1	mg/g	notReported	Figure 6			5.13	NA	NA	same trait values for all paper#25 observations by species
29.01	1	sp_percN	Lythrum salicaria	1	mg/g	SE	text and Figure 4	29.xlsx	1	AGG	AGG	AGG	"based on greenhouse measurements, same trait values for all paper#29"
29.01	2	sp_percN	Typha latifolia	2	mg/g	SE	text and Figure 4	29.xlsx	2	AGG	AGG	AGG	"based on greenhouse measurements, same trait values for all paper#29"
29.02	1	sp_percN	Lythrum salicaria	1	mg/g	SE	text and Figure 4	29.xlsx	1	AGG	AGG	AGG	"based on greenhouse measurements, same trait values for all paper#29"
29.02	2	sp_percN	Typha latifolia	2	mg/g	SE	text and Figure 4	29.xlsx	2	AGG	AGG	AGG	"based on greenhouse measurements, same trait values for all paper#29"
30.01	1	sp_percN	Hedychium gardnerianum	1	mg/g	SE	Table 2			17.1	0.6	4	based on plants grown in unfertilized plot
30.01	2	sp_litterpercN	Hedychium gardnerianum	1	mg/g	SE	Table 2			6.9	0.4	4	based on plants grown in unfertilized plot
30.01	3	sp_littercn	Hedychium gardnerianum	1	NA	SE	Table 2			63.3	3.3	4	based on plants grown in unfertilized plot
30.01	4	sp_percN	Metrosideros polymorpha	2	mg/g	SE	Table 2			7.1	0.2	4	based on plants grown in unfertilized plot
30.01	5	sp_litterpercN	Metrosideros polymorpha	2	mg/g	SE	Table 2			4.5	0.2	4	based on plants grown in unfertilized plot
30.01	6	sp_littercn	Metrosideros polymorpha	2	NA	SE	Table 2			108.9	5.6	4	based on plants grown in unfertilized plot
30.01	7	sp_percN	Cibotium glaucum	3	mg/g	SE	Table 2			13.1	1.2	4	based on plants grown in unfertilized plot
30.01	8	sp_litterpercN	Cibotium glaucum	3	mg/g	SE	Table 2			10.7	0.7	4	based on plants grown in unfertilized plot
30.01	9	sp_littercn	Cibotium glaucum	3	NA	SE	Table 2			40.5	2.4	4	based on plants grown in unfertilized plot
40.01	1	sp_percN	Centaurea maculosa	1	%	SD	p.692			3.5	0.2	NA	same trait values for all paper#40 observations by species
40.01	2	sp_cn	Centaurea maculosa	1	NA	SD	p.692			11.1	0.8	NA	same trait values for all paper#40 observations by species
40.01	3	sp_percN	Pascopyrum smithii	4	%	SD	p.692			2.2	0.3	NA	same trait values for all paper#40 observations by species
40.01	4	sp_cn	Pascopyrum smithii	4	NA	SD	p.692			17.7	2	NA	same trait values for all paper#40 observations by species
40.01	5	sp_percN	Pseudoroegneria spicata	2	%	SD	p.692			2.6	0.4	NA	same trait values for all paper#40 observations by species
40.01	6	sp_cn	Pseudoroegneria spicata	2	NA	SD	p.692			15.4	2.6	NA	same trait values for all paper#40 observations by species
40.02	1	sp_percN	Centaurea maculosa	1	%	SD	p.692			3.5	0.2	NA	same trait values for all paper#40 observations by species
40.02	2	sp_cn	Centaurea maculosa	1	NA	SD	p.692			11.1	0.8	NA	same trait values for all paper#40 observations by species
40.02	3	sp_percN	Pascopyrum smithii	4	%	SD	p.692			2.2	0.3	NA	same trait values for all paper#40 observations by species
40.02	4	sp_cn	Pascopyrum smithii	4	NA	SD	p.692			17.7	2	NA	same trait values for all paper#40 observations by species
40.02	5	sp_percN	Pseudoroegneria spicata	2	%	SD	p.692			2.6	0.4	NA	same trait values for all paper#40 observations by species
40.02	6	sp_cn	Pseudoroegneria spicata	2	NA	SD	p.692			15.4	2.6	NA	same trait values for all paper#40 observations by species
40.03	1	sp_percN	Centaurea maculosa	1	%	SD	p.692			3.5	0.2	NA	same trait values for all paper#40 observations by species
40.03	2	sp_cn	Centaurea maculosa	1	NA	SD	p.692			11.1	0.8	NA	same trait values for all paper#40 observations by species
40.03	3	sp_percN	Pascopyrum smithii	4	%	SD	p.692			2.2	0.3	NA	same trait values for all paper#40 observations by species
40.03	4	sp_cn	Pascopyrum smithii	4	NA	SD	p.692			17.7	2	NA	same trait values for all paper#40 observations by species
40.03	5	sp_percN	Pseudoroegneria spicata	2	%	SD	p.692			2.6	0.4	NA	same trait values for all paper#40 observations by species
40.03	6	sp_cn	Pseudoroegneria spicata	2	NA	SD	p.692			15.4	2.6	NA	same trait values for all paper#40 observations by species
40.04	1	sp_percN	Centaurea maculosa	1	%	SD	p.692			3.5	0.2	NA	same trait values for all paper#40 observations by species
40.04	2	sp_cn	Centaurea maculosa	1	NA	SD	p.692			11.1	0.8	NA	same trait values for all paper#40 observations by species
40.04	3	sp_percN	Pascopyrum smithii	4	%	SD	p.692			2.2	0.3	NA	same trait values for all paper#40 observations by species
40.04	4	sp_cn	Pascopyrum smithii	4	NA	SD	p.692			17.7	2	NA	same trait values for all paper#40 observations by species
40.04	5	sp_percN	Pseudoroegneria spicata	2	%	SD	p.692			2.6	0.4	NA	same trait values for all paper#40 observations by species
40.04	6	sp_cn	Pseudoroegneria spicata	2	NA	SD	p.692			15.4	2.6	NA	same trait values for all paper#40 observations by species
40.05	1	sp_percN	Centaurea maculosa	1	%	SD	p.692			3.5	0.2	NA	same trait values for all paper#40 observations by species
40.05	2	sp_cn	Centaurea maculosa	1	NA	SD	p.692			11.1	0.8	NA	same trait values for all paper#40 observations by species
40.05	3	sp_percN	Pascopyrum smithii	4	%	SD	p.692			2.2	0.3	NA	same trait values for all paper#40 observations by species
40.05	4	sp_cn	Pascopyrum smithii	4	NA	SD	p.692			17.7	2	NA	same trait values for all paper#40 observations by species
40.05	5	sp_percN	Pseudoroegneria spicata	2	%	SD	p.692			2.6	0.4	NA	same trait values for all paper#40 observations by species
40.05	6	sp_cn	Pseudoroegneria spicata	2	NA	SD	p.692			15.4	2.6	NA	same trait values for all paper#40 observations by species
40.06	1	sp_percN	Centaurea maculosa	1	%	SD	p.692			3.5	0.2	NA	same trait values for all paper#40 observations by species
40.06	2	sp_cn	Centaurea maculosa	1	NA	SD	p.692			11.1	0.8	NA	same trait values for all paper#40 observations by species
40.06	3	sp_percN	Pascopyrum smithii	4	%	SD	p.692			2.2	0.3	NA	same trait values for all paper#40 observations by species
40.06	4	sp_cn	Pascopyrum smithii	4	NA	SD	p.692			17.7	2	NA	same trait values for all paper#40 observations by species
40.06	5	sp_percN	Pseudoroegneria spicata	2	%	SD	p.692			2.6	0.4	NA	same trait values for all paper#40 observations by species
40.06	6	sp_cn	Pseudoroegneria spicata	2	NA	SD	p.692			15.4	2.6	NA	same trait values for all paper#40 observations by species
40.07	1	sp_percN	Centaurea maculosa	1	%	SD	p.692			3.5	0.2	NA	same trait values for all paper#40 observations by species
40.07	2	sp_cn	Centaurea maculosa	1	NA	SD	p.692			11.1	0.8	NA	same trait values for all paper#40 observations by species
40.07	3	sp_percN	Pascopyrum smithii	4	%	SD	p.692			2.2	0.3	NA	same trait values for all paper#40 observations by species
40.07	4	sp_cn	Pascopyrum smithii	4	NA	SD	p.692			17.7	2	NA	same trait values for all paper#40 observations by species
40.07	5	sp_percN	Pseudoroegneria spicata	2	%	SD	p.692			2.6	0.4	NA	same trait values for all paper#40 observations by species
40.07	6	sp_cn	Pseudoroegneria spicata	2	NA	SD	p.692			15.4	2.6	NA	same trait values for all paper#40 observations by species
40.08	1	sp_percN	Centaurea maculosa	1	%	SD	p.692			3.5	0.2	NA	same trait values for all paper#40 observations by species
40.08	2	sp_cn	Centaurea maculosa	1	NA	SD	p.692			11.1	0.8	NA	same trait values for all paper#40 observations by species
40.08	3	sp_percN	Pascopyrum smithii	4	%	SD	p.692			2.2	0.3	NA	same trait values for all paper#40 observations by species
40.08	4	sp_cn	Pascopyrum smithii	4	NA	SD	p.692			17.7	2	NA	same trait values for all paper#40 observations by species
40.08	5	sp_percN	Pseudoroegneria spicata	2	%	SD	p.692			2.6	0.4	NA	same trait values for all paper#40 observations by species
40.08	6	sp_cn	Pseudoroegneria spicata	2	NA	SD	p.692			15.4	2.6	NA	same trait values for all paper#40 observations by species
40.09	1	sp_percN	Centaurea maculosa	1	%	SD	p.692			3.5	0.2	NA	same trait values for all paper#40 observations by species
40.09	2	sp_cn	Centaurea maculosa	1	NA	SD	p.692			11.1	0.8	NA	same trait values for all paper#40 observations by species
40.09	3	sp_percN	Pascopyrum smithii	4	%	SD	p.692			2.2	0.3	NA	same trait values for all paper#40 observations by species
40.09	4	sp_cn	Pascopyrum smithii	4	NA	SD	p.692			17.7	2	NA	same trait values for all paper#40 observations by species
40.09	5	sp_percN	Pseudoroegneria spicata	2	%	SD	p.692			2.6	0.4	NA	same trait values for all paper#40 observations by species
40.09	6	sp_cn	Pseudoroegneria spicata	2	NA	SD	p.692			15.4	2.6	NA	same trait values for all paper#40 observations by species
53.01	1	sp_percN	Chrysanthemoides monilifera	1	%	SE	Table 5			1.9	0.2	2	
53.01	2	sp_percN	Leptospermum laevigatum	4	%	SE	Table 5			1.4	0.2	2	
53.01	3	sp_percN	Acacia longifolia	2	%	SE	Table 5			2.6	0.4	2	
53.01	4	sp_percN	Barksia integrifolia	3	%	SE	Table 5			1.2	0.02	2	
53.01	5	sp_litterpercN	Chrysanthemoides monilifera	1	%	SE	Table 5			0.64	0.14	2	
53.01	6	sp_litterpercN	Leptospermum laevigatum	4	%	SE	Table 5			0.56	0.02	2	
53.01	7	sp_litterpercN	Acacia longifolia	2	%	SE	Table 5			1.34	0.21	2	
53.01	8	sp_litterpercN	Barksia integrifolia	3	%	SE	Table 5			0.6	0.02	2	
53.01	9	sp_cn	Chrysanthemoides monilifera	1	NA	SE	Table 5		1	AGG	AGG	AGG	
53.01	10	sp_cn	Leptospermum laevigatum	4	NA	SE	Table 5		2	AGG	AGG	AGG	
53.01	11	sp_cn	Acacia longifolia	2	NA	SE	Table 5		3	AGG	AGG	AGG	
53.01	12	sp_cn	Barksia integrifolia	3	NA	SE	Table 5		4	AGG	AGG	AGG	
53.01	13	sp_littercn	Chrysanthemoides monilifera	1	NA	SE	Table 5		5	AGG	AGG	AGG	
53.01	14	sp_littercn	Leptospermum laevigatum	4	NA	SE	Table 5		6	AGG	AGG	AGG	
53.01	15	sp_littercn	Acacia longifolia	2	NA	SE	Table 5		7	AGG	AGG	AGG	
53.01	16	sp_littercn	Barksia integrifolia	3	NA	SE	Table 5		8	AGG	AGG	AGG	
71.01	1	sp_percN	Andropogon gerardii	2	%	SE	Figure 2	71.xlsx	1	AGG	AGG	AGG	
71.01	2	sp_percN	Andropogon bladhii	1	%	SE	Figure 2	71.xlsx	2	AGG	AGG	AGG	
71.01	3	sp_cn	Andropogon gerardii	2	NA	SE	Table 1			101.9	3.9	10	
71.01	4	sp_cn	Andropogon bladhii	1	NA	SE	Table 1			125.9	8	10	
71.02	1	sp_percN	Andropogon gerardii	2	%	SE	Figure 2	71.xlsx	1	AGG	AGG	AGG	
71.02	2	sp_percN	Andropogon bladhii	1	%	SE	Figure 2	71.xlsx	2	AGG	AGG	AGG	
71.02	3	sp_cn	Andropogon gerardii	2	NA	SE	Table 1			78.32	3.1	10	
71.02	4	sp_cn	Andropogon bladhii	1	NA	SE	Table 1			89.43	4.6	10	
93.01	1	sp_percN	Leucospermum parile	3	mg/g	SE	Table 2			7.9	0.6	4	
93.01	2	sp_percN	Acacia saligna	1	mg/g	SE	Table 2			20.5	1.5	4	
93.01	3	sp_litterpercN	Leucospermum parile	3	mg/g	SE	Table 2			3.9	0.2	4	
93.01	4	sp_litterpercN	Acacia saligna	1	mg/g	SE	Table 2			12.5	1.1	4	
93.02	1	sp_percN	Pterocelastrus tricuspidatus	3	mg/g	SE	Table 2			9.7	0.5	4	
93.02	2	sp_percN	Acacia cyclops	2	mg/g	SE	Table 2			18.5	1.4	4	
93.02	3	sp_litterpercN	Pterocelastrus tricuspidatus	3	mg/g	SE	Table 2			4.7	0.2	4	
93.02	4	sp_litterpercN	Acacia cyclops	2	mg/g	SE	Table 2			8.6	0.7	4	
156.01	1	sp_percN	Fallopia japonica	1	%	SE	Table 3		1	AGG	AGG	AGG	
156.01	2	sp_cn	Fallopia japonica	1	NA	SE	Table 3		2	AGG	AGG	AGG	
156.01	3	sp_litterpercN	Fallopia japonica	1	%	notReported	Table 5			0.91	NA	NA	
156.01	4	sp_litterpercN	Acer rubrum	NA	%	notReported	Table 5			0.69	NA	NA	
156.01	5	sp_litterpercN	Quercus rubra	NA	%	notReported	Table 5			1.18	NA	NA	
156.01	6	sp_litterpercN	Platanus occidentalis	NA	%	notReported	Table 5			1.54	NA	NA	
156.01	7	sp_litterpercN	Carya ovata	5	%	notReported	Table 5			1.37	NA	NA	
167.01	1	sp_litterpercN	Ailanthus altissima	1	mg/g	SE	Table 2			5.3	0.41	4	
167.01	2	sp_litterpercN	Ulmus minor	2	mg/g	SE	Table 2			4.94	0.49	4	
167.01	3	sp_littercn	Ailanthus altissima	1	NA	SE	Table 2			47.24	1.44	4	
167.01	4	sp_littercn	Ulmus minor	2	NA	SE	Table 2			41.99	2.04	4	
167.02	1	sp_litterpercN	Robinia pseudoacacia	1	mg/g	SE	Table 2			6.93	0.38	4	
167.02	2	sp_litterpercN	Fraxinus angustifolia	2	mg/g	SE	Table 2			4.98	0.29	4	
167.02	3	sp_littercn	Robinia pseudoacacia	1	NA	SE	Table 2			29.41	0.44	4	
167.02	4	sp_littercn	Fraxinus angustifolia	2	NA	SE	Table 2			52.64	1.04	4	
236.01	1	sp_percN	Microstegium vimineum	1	%	SE	Table 2		1	AGG	AGG	AGG	
236.01	2	sp_cn	Microstegium vimineum	1	NA	SE	Figure 2a	236.xlsx	2	AGG	AGG	AGG	
236.01	3	sp_litterpercN	Microstegium vimineum	1	%	SE	Figure 3	236.xlsx	3	AGG	AGG	AGG	
236.01	4	sp_littercn	Microstegium vimineum	1	NA	notReported	p.611			80.77	NA	NA	
236.01	5	sp_littercn	Polygonum caespitosum	2	NA	notReported	p.611			45.11	NA	NA	
236.01	6	sp_litterpercN	Polygonum caespitosum	2	%	SE	Figure 3	236.xlsx	4	AGG	AGG	AGG	
707.01	1	sp_litterpercN	Acacia longifolia	1	%	SE	p.45			1.3	0.1	7	
707.01	2	sp_litterpercN	Stauracanthus spectabilis	2	%	SE	p.45			0.9	0.1	5	
707.01	3	sp_littercn	Acacia longifolia	1	NA	SE	p.45			39.1	2.8	7	
707.01	4	sp_littercn	Stauracanthus spectabilis	2	NA	SE	p.45			65.5	8.8	5	
707.01	5	sp_percN	Acacia longifolia	1	%	SE	p.47			2.16	0.13	NA	
707.01	6	sp_percN	Stauracanthus spectabilis	2	%	SE	p.47			1.5	0.04	NA	
707.01	7	sp_percN	Corema album	3	%	SE	p.47			0.8	0.1	NA	
708.01	1	sp_cn	Agropyron smithii	2	NA	SE	Figure 3	708.xlsx		27.485	0.736	6	
708.01	2	sp_cn	Kochia scoparia	1	NA	SE	Figure 3	708.xlsx		20.859	1.063	6	
708.02	1	sp_cn	Stipa comata	2	NA	SE	Figure 3	708.xlsx		31.166	1.063	6	
708.02	2	sp_cn	Kochia scoparia	1	NA	SE	Figure 3	708.xlsx		20.859	1.063	6	
708.03	1	sp_cn	Bouteloua gracilis	2	NA	SE	Figure 3	708.xlsx		27.812	1.309	6	
708.03	2	sp_cn	Kochia scoparia	1	NA	SE	Figure 3	708.xlsx		20.859	1.063	6	
708.04	1	sp_cn	Aristida longiseta	2	NA	SE	Figure 3	708.xlsx		35.583	1.554	6	
708.04	2	sp_cn	Kochia scoparia	1	NA	SE	Figure 3	708.xlsx		20.859	1.063	6	
708.05	1	sp_cn	Artemisia frigida	2	NA	SE	Figure 3	708.xlsx		21.431	1.064	6	
708.05	2	sp_cn	Kochia scoparia	1	NA	SE	Figure 3	708.xlsx		20.859	1.063	6	
708.06	1	sp_cn	Carex eleocharis	2	NA	SE	Figure 3	708.xlsx		21.595	0.654	6	
708.06	2	sp_cn	Kochia scoparia	1	NA	SE	Figure 3	708.xlsx		20.859	1.063	6	
716.01	1	sp_percN	Solidago gigantea	1	mg/g	notReported	Figure 3b	716.xlsx		16.96366667	1.537512909	12	
716.01	2	sp_percN	Native forbs	8	mg/g	notReported	Figure 3b	716.xlsx		21.4699	1.736988898	10	
716.01	3	sp_percN	Native grasses	"2,3,4,5,6,7,9,10,11"	mg/g	notReported	Figure 3b	716.xlsx		17.93835714	1.264972825	14	
716.01	4	sp_cn	Solidago gigantea	1	NA	notReported	Figure 3	716.xlsx	1	AGG	AGG	AGG	
716.01	5	sp_cn	Native forbs	8	NA	notReported	Figure 3	716.xlsx	2	AGG	AGG	AGG	
716.01	6	sp_cn	Native grasses	"2,3,4,5,6,7,9,10,11"	NA	notReported	Figure 3	716.xlsx	3	AGG	AGG	AGG	
