obsID	measEntryID	measCat	measUnit	measVarType	measRef	measImageFile	measAggNum	measAggNote	measInvMean	measInvVar	measInvN	measNatMean	measNatVar	measNatN	measNote	measMethod
12.02	3	ammonif	ppm	SE	Table 1			The author pooled across 7 years	11.7	2.1	21	8.5	1.3	21	Unit incorrect because there is no indication of time	
12.02	4	nh	ppm	SE	Table 1			The author pooled across 7 years	9.7	1.4	21	9.5	0.8	21		
12.02	5	no	ppm	SE	Table 1			The author pooled across 7 years	7.7	0.5	21	8.3	1.1	21		
12.02	6	toti	ppm	SE	Table 1		1	Add nh and no; The author pooled across 7 years	AGG	AGG	AGG	AGG	AGG	AGG		
15.01	1	nh	mg/kg	SE	Table 1				2.25	0.21	6	1.65	0.11	6		
15.01	2	no	mg/kg	SE	Table 1				0.3	0.02	6	0.54	0.06	6		
15.01	3	toti	mg/kg	SE	Table 1		1	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
15.01	4	ammonif	mg/kg*d	SE	Table 1				1.34	0.15	6	0.65	0.17	6		gross ammonification
15.01	5	nitrif	mg/kg*d	SE	Figure 3	15.xlsx	2	Average 1998 and 1999	AGG	AGG	AGG	AGG	AGG	AGG		nitrification potential
15.01	6	nminz	mg/kg*d	SE	Table 1				1.52	0.21	6	0.73	0.22	6		gross mineralization
15.01	7	soiln	%	SE	Figure 1a	15.xlsx	3	Average 0-2cm and 2-10cm depth	AGG	AGG	AGG	AGG	AGG	AGG		
15.01	8	soilmoi	%	SE	Figure 2b	15.xlsx	4	Average across 12 sampling dates	AGG	AGG	AGG	AGG	AGG	AGG		
15.02	1	toti	mg/kg	SE	Figure 2a	15.xlsx	1	Average across 12 sampling dates	AGG	AGG	AGG	AGG	AGG	AGG		
15.02	2	nitrif	mg/kg*d	SE	Figure 3	15.xlsx	2	Average 1998 and 1999	AGG	AGG	AGG	AGG	AGG	AGG		nitrification potential
15.02	3	soiln	%	SE	Figure 1a	15.xlsx	3	Average 0-2cm and 2-10cm depth	AGG	AGG	AGG	AGG	AGG	AGG		
15.02	4	soilmoi	%	SE	Figure 2b	15.xlsx	4	Average across 5 sampling dates	AGG	AGG	AGG	AGG	AGG	AGG		
25.01	1	ph	pH	SE	Figure 1	25.xlsx			5.744	0.2	9	4.834	0.07	9		
25.01	2	nh	mg/kg	SE	Figure 2	25.xlsx	1	Average of Mar and Jun	AGG	AGG	AGG	AGG	AGG	AGG		
25.01	3	no	mg/kg	SE	Figure 2	25.xlsx	2	Average of Mar and Jun	AGG	AGG	AGG	AGG	AGG	AGG	One of aggregated values was reported as 'below detection'.  I entered this as 0.00001	
25.01	4	toti	mg/kg	SE	Figure 2	25.xlsx	3	Average of Mar and Jun	AGG	AGG	AGG	AGG	AGG	AGG		
25.01	5	ammonif	mg/kg*d	SE	Figure 2	25.xlsx	4	Average of Mar and Jun	AGG	AGG	AGG	AGG	AGG	AGG		
25.01	6	nitrif	mg/kg*d	SE	Figure 2	25.xlsx	5	Average of Mar and Jun	AGG	AGG	AGG	AGG	AGG	AGG		
25.01	7	biom	g/m2	SE	Table 5				1129	255	20	1	NA	20	Variance data is not reported for native biomass	
25.02	1	ph	pH	SE	Figure 1	25.xlsx			5.096	0.108	9	4.58	0.054	9		
25.02	2	nh	mg/kg	SE	Figure 2	25.xlsx	1	Average of Mar and Jun	AGG	AGG	AGG	AGG	AGG	AGG		
25.02	3	no	mg/kg	SE	Figure 2	25.xlsx	2	Average of Mar and Jun	AGG	AGG	AGG	AGG	AGG	AGG	One of aggregated values was reported as 'below detection'.  I entered this as 0.00001	
25.02	4	toti	mg/kg	SE	Figure 2	25.xlsx	3	Average of Mar and Jun	AGG	AGG	AGG	AGG	AGG	AGG		
25.02	5	ammonif	mg/kg*d	SE	Figure 2	25.xlsx	4	Average of Mar and Jun	AGG	AGG	AGG	AGG	AGG	AGG		
25.02	6	nitrif	mg/kg*d	SE	Figure 2	25.xlsx	5	Average of Mar and Jun	AGG	AGG	AGG	AGG	AGG	AGG		
25.02	7	biom	g/m2	SE	Table 5				1546	314	20	234	36	20		
25.02	8	percN	%	SE	Table 5		6	"Divide biomass (g/m2) by aboveground biomass N (gN/m2), Mulitply by 100"	AGG	AGG	AGG	AGG	AGG	AGG		
25.03	1	ph	pH	SE	Figure 1	25.xlsx			4.981	0.046	9	4.464	0.077	9		
25.03	2	nh	mg/kg	SE	Figure 2	25.xlsx	1	Average of Mar and Jun	AGG	AGG	AGG	AGG	AGG	AGG		
25.03	3	no	mg/kg	SE	Figure 2	25.xlsx	2	Average of Mar and Jun	AGG	AGG	AGG	AGG	AGG	AGG		
25.03	4	toti	mg/kg	SE	Figure 2	25.xlsx	3	Average of Mar and Jun	AGG	AGG	AGG	AGG	AGG	AGG		
25.03	5	ammonif	mg/kg*d	SE	Figure 2	25.xlsx	4	Average of Mar and Jun	AGG	AGG	AGG	AGG	AGG	AGG		
25.03	6	nitrif	mg/kg*d	SE	Figure 2	25.xlsx	5	Average of Mar and Jun	AGG	AGG	AGG	AGG	AGG	AGG		
25.03	7	biom	g/m2	SE	Table 5				1228	157	20	321	76	20		
25.03	8	percN	%	SE	Table 5		6	"Divide biomass (g/m2) by aboveground biomass N (gN/m2), Mulitply by 100"	AGG	AGG	AGG	AGG	AGG	AGG		
25.04	1	ph	pH	SE	Figure 1	25.xlsx			6.476	0.077	9	4.834	0.07	9		
25.04	2	nh	mg/kg	SE	Figure 2	25.xlsx	1	Average of Mar and Jun	AGG	AGG	AGG	AGG	AGG	AGG		
25.04	3	no	mg/kg	SE	Figure 2	25.xlsx	2	Average of Mar and Jun	AGG	AGG	AGG	AGG	AGG	AGG	One of aggregated values was reported as 'below detection'.  I entered this as 0.00001	
25.04	4	toti	mg/kg	SE	Figure 2	25.xlsx	3	Average of Mar and Jun	AGG	AGG	AGG	AGG	AGG	AGG		
25.04	5	ammonif	mg/kg*d	SE	Figure 2	25.xlsx	4	Average of Mar and Jun	AGG	AGG	AGG	AGG	AGG	AGG		
25.04	6	nitrif	mg/kg*d	SE	Figure 2	25.xlsx	5	Average of Mar and Jun	AGG	AGG	AGG	AGG	AGG	AGG		
25.04	7	biom	g/m2	SE	Table 5				137.7	11.7	20	1	NA	20	Variance data is not reported for native biomass	
25.05	1	ph	pH	SE	Figure 1	25.xlsx			5.497	0.116	9	4.464	0.077	9		
25.05	2	nh	mg/kg	SE	Figure 2	25.xlsx	1	Average of Mar and Jun	AGG	AGG	AGG	AGG	AGG	AGG		
25.05	3	no	mg/kg	SE	Figure 2	25.xlsx	2	Average of Mar and Jun	AGG	AGG	AGG	AGG	AGG	AGG		
25.05	4	toti	mg/kg	SE	Figure 2	25.xlsx	3	Average of Mar and Jun	AGG	AGG	AGG	AGG	AGG	AGG		
25.05	5	ammonif	mg/kg*d	SE	Figure 2	25.xlsx	4	Average of Mar and Jun	AGG	AGG	AGG	AGG	AGG	AGG		
25.05	6	nitrif	mg/kg*d	SE	Figure 2	25.xlsx	5	Average of Mar and Jun	AGG	AGG	AGG	AGG	AGG	AGG		
25.05	7	biom	g/m2	SE	Table 5				41.9	3.33	20	321	76	20		
25.05	8	percN	%	SE	Table 5		6	"Divide biomass (g/m2) by aboveground biomass N (gN/m2), Mulitply by 100"	AGG	AGG	AGG	AGG	AGG	AGG		
25.06	1	ph	pH	SE	Figure 3a	25.xlsx			5.857	0.293	5	5.115	0.108	5		
25.06	2	som	%	SE	Figure 3b	25.xlsx			6.082	0.529	5	2.707	0.295	5		
25.06	3	nh	mg/kg	SE	Figure 4	25.xlsx			2.196	0.232	5	0.5	0.214	5		
25.06	4	no	mg/kg	SE	Figure 4	25.xlsx			1.357	0.572	5	4.107	2.643	5		
25.06	5	toti	mg/kg	SE	Figure 4	25.xlsx	1	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
25.06	6	ammonif	mg/kg*10d	SE	Figure 4	25.xlsx			-0.274	0.631	5	0.436	0.41	5		
25.06	7	nitrif	mg/kg*10d	SE	Figure 4	25.xlsx			12.669	4.785	5	1.764	3.451	5		
25.06	8	biom	other	SE	p.1293				2.7	0.5	5	1	NA	5	"the rest of the paper uses SE, but it did not explicitly indicated SE in text; biomass ratio"	biomass ratio
25.07	1	ph	pH	SE	Figure 3a	25.xlsx			5.98	0.093	5	4.837	0.092	5		
25.07	2	som	%	SE	Figure 3b	25.xlsx			4.48	0.482	5	1.727	0.202	5		
25.07	3	nh	mg/kg	SE	Figure 4	25.xlsx			1.714	0.348	5	0.973	0.125	5		
25.07	4	no	mg/kg	SE	Figure 4	25.xlsx			0.5	0.143	5	0.679	0.214	5		
25.07	5	toti	mg/kg	SE	Figure 4	25.xlsx	1	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
25.07	6	ammonif	mg/kg*10d	SE	Figure 4	25.xlsx			-0.464	0.504	5	-0.448	0.189	5		
25.07	7	nitrif	mg/kg*10d	SE	Figure 4	25.xlsx			9.908	1.979	5	3.558	0.552	5		
25.07	8	biom	other	SE	p.1293				2.9	0.6	5	1	NA	5	"the rest of the paper uses SE, but it did not explicitly indicated SE in text; biomass ratio"	biomass ratio
29.01	1	nh	mg/kg	SE	Table 1		1	"Average Jun, Jul, Aug"	AGG	AGG	AGG	AGG	AGG	AGG		
29.01	2	no	mg/kg	SE	Table 1		2	"Average Jun, Jul, Aug"	AGG	AGG	AGG	AGG	AGG	AGG		
29.01	3	toti	mg/kg	SE	Table 1		3	"Average Jun, Jul, Aug, add nh and no"	AGG	AGG	AGG	AGG	AGG	AGG		
29.01	4	som	%	notReported	p.128				81.2	NA	5	81.2	NA	5	Variance data is not reported	
29.01	5	soilmoi	g/g	SE	Table 1		4	"Average Jun, Jul, Aug"	AGG	AGG	AGG	AGG	AGG	AGG		
29.01	6	nitrif	mg/m2*mo	SE	Figure 3b	29.xlsx	5	"Average Jun, Jul, Aug"	AGG	AGG	AGG	AGG	AGG	AGG		
29.01	7	nminz	mg/m2*mo	SE	Figure 3a	29.xlsx	6	"Average Jun, Jul, Aug"	AGG	AGG	AGG	AGG	AGG	AGG		
29.01	8	biom	kg/m2	SE	Table 2				1.25	0.11	5	1.93	0.13	5		
29.01	9	litterbiom	kg/m2	SE	Table 2				1.25	0.09	5	0.59	0.01	5		
29.02	1	nh	mg/kg	SE	Table 1		1	"Average Jun, Jul, Aug"	AGG	AGG	AGG	AGG	AGG	AGG		
29.02	2	no	mg/kg	SE	Table 1		2	"Average Jun, Jul, Aug"	AGG	AGG	AGG	AGG	AGG	AGG		
29.02	3	toti	mg/kg	SE	Table 1		3	"Average Jun, Jul, Aug, add nh and no"	AGG	AGG	AGG	AGG	AGG	AGG		
29.02	4	som	%	notReported	p.128				81.2	NA	5	81.2	NA	5	Variance data is not reported	
29.02	5	soilmoi	g/g	SE	Table 1		4	"Average Jun, Jul, Aug"	AGG	AGG	AGG	AGG	AGG	AGG		
29.02	6	nitrif	mg/m2*mo	SE	Figure 3b	29.xlsx	5	"Average Jun, Jul, Aug"	AGG	AGG	AGG	AGG	AGG	AGG		
29.02	7	nminz	mg/m2*mo	SE	Figure 3a	29.xlsx	6	"Average Jun, Jul, Aug"	AGG	AGG	AGG	AGG	AGG	AGG		
29.02	8	biom	kg/m2	SE	Table 2				1.47	0.04	5	1.93	0.13	5		
29.02	9	litterbiom	kg/m2	SE	Table 2				1.88	0.32	5	0.59	0.01	5		
30.01	1	soilmoi	%	SE	Table 1				67	2	4	71	2	4		
30.01	2	ph	pH	SE	Table 1				3.7	0.1	4	3.5	0.3	4		
30.01	3	toti	ug/g	SE	Table 1				2.4	0.3	4	2.1	0.7	4		
30.01	4	nitrif	ug/g*d	SE	Table 1				0.012	0.011	4	0.008	0.011	4		
30.01	5	nminz	ug/g*d	SE	Table 1				0.005	0.003	4	0.021	0.006	4		
36.01	1	nh	ug/g	SE	Table 1				1.3	0.25	10	1.17	0.18	10		
36.01	2	no	ug/g	SE	Table 1				0.32	0.07	10	5.74	1.21	10		
36.01	3	soilmoi	%	SE	Table 1				19.94	0.46	10	18.77	0.57	10		
36.01	4	toti	ug/g	SE	Table 1		1	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
36.01	5	nitrif	ug/g	SE	Figure 1a	36.xlsx			2.433	0.857	10	1.509	0.574	10	unit of time not reported	
36.01	6	ammonif	ug/g	SE	Figure 1b	36.xlsx			2.164	0.464	10	1.662	0.377	10	unit of time not reported	
36.02	1	nh	ug/g	SE	Table 1				1.3	0.25	10	0.96	0.23	10		
36.02	2	no	ug/g	SE	Table 1				0.32	0.07	10	0.63	0.22	10		
36.02	3	soilmoi	%	SE	Table 1				19.94	0.46	10	19.53	0.38	10		
36.02	4	ph	pH	SE	Table 1				5.8	0.07	5	5.9	0.06	5		
36.02	5	toti	ug/g	SE	Table 1		1	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
36.02	6	nitrif	ug/g	SE	Figure 1a	36.xlsx			2.433	0.857	10	0.282	0.205	10	unit of time not reported	
36.02	7	ammonif	ug/g	SE	Figure 1b	36.xlsx			2.164	0.464	10	2.754	0.975	10	unit of time not reported	
38.01	1	soiln	%	SE	Figure 1a	38.xlsx			0.443	0.226	3	0.264	0.048	3		
38.01	2	soilcn	NA	SE	Figure 1c	38.xlsx			12.671	0.798	3	13.846	0.588	3		
38.01	3	ph	pH	SE	Table 1				6.24	6.12	3	5.61	5.25	3	converted proton concentration to pH; the SE values are very large	
38.01	4	soilmoi	g/g	SE	Table 1				0.37	0.15	3	0.28	0.05	3		
38.01	5	toti	ug/g	SE	Table 1				3.28	0.79	3	3.25	0.87	3		
38.02	1	soiln	%	SE	Figure 1a	38.xlsx			0.698	0.194	3	0.32	0.064	3		
38.02	2	soilcn	NA	SE	Figure 1c	38.xlsx			13.091	2.433	3	13.888	2.14	3		
38.02	3	ammonif	ug/g*d	SE	Figure 2	38.xlsx			0.014	0.068	3	0.053	0.048	3		
38.02	4	nitrif	ug/g*d	SE	Figure 2	38.xlsx			0.055	0.051	3	0.204	0.039	3		
38.02	5	nminz	ug/g*d	SE	Figure 2	38.xlsx			0.069	0.055	3	0.257	0.047	3		
38.02	6	ph	pH	SE	Table 1				6.72	6.85	3	5.9	5.85	3		
38.02	7	soilmoi	g/g	SE	Table 1				0.05	0.08	3	0.27	0.04	3		
38.02	8	toti	ug/g	SE	Table 1				5.31	2.07	3	4.55	2.15	3		
38.03	1	soiln	%	SE	Figure 1a	38.xlsx			0.467	0.157	3	0.232	0.061	3		
38.03	2	soilcn	NA	SE	Figure 1c	38.xlsx			12.965	1.007	3	14.014	2.056	3		
38.03	3	ammonif	ug/g*d	SE	Figure 2	38.xlsx			0.011	0.02	3	0.254	0.101	3		
38.03	4	nitrif	ug/g*d	SE	Figure 2	38.xlsx			0.434	0.09	3	0.35	0.101	3		
38.03	5	nminz	ug/g*d	SE	Figure 2	38.xlsx			0.442	0.104	3	0.599	0.135	3		
38.03	6	ph	pH	SE	Table 1				6.89	7.09	3	6.74	5.86	3		
38.03	7	soilmoi	g/g	SE	Table 1				0.28	0.05	3	0.29	0.06	3		
38.03	8	toti	ug/g	SE	Table 1				0.93	0.14	3	1.12	0.14	3		
40.01	1	soiln	%	SE	Figure 1	40.xlsx			0.143	0.018	6	0.132	0.019	6		
40.01	2	soilcn	NA	SE	Figure 1	40.xlsx	1	Divide soil c% by soil n%	AGG	AGG	AGG	AGG	AGG	AGG		
40.01	3	nminz	mg/kg	SE	Figure 1	40.xlsx			3.667	2.083	6	12	4.333	6	Unit incorrect because there is no indication of time	
40.02	1	soiln	%	SE	Figure 1	40.xlsx			0.196	0.03	6	0.224	0.025	6		
40.02	2	soilcn	NA	SE	Figure 1	40.xlsx	1	Divide soil c% by soil n%	AGG	AGG	AGG	AGG	AGG	AGG		
40.02	3	nminz	mg/kg	SE	Figure 1	40.xlsx			1.833	1.584	6	8.75	2.583	6		
40.03	1	soiln	%	SE	Figure 1	40.xlsx			0.241	0.019	6	0.245	0.02	6		
40.03	2	soilcn	NA	SE	Figure 1	40.xlsx	1	Divide soil c% by soil n%	AGG	AGG	AGG	AGG	AGG	AGG		
40.03	3	nminz	mg/kg	SE	Figure 1	40.xlsx			-1.333	1.666	6	2	1.75	6		
40.04	1	soiln	%	SE	Figure 1	40.xlsx			0.208	0.016	6	0.264	0.021	6		
40.04	2	soilcn	NA	SE	Figure 1	40.xlsx	1	Divide soil c% by soil n%	AGG	AGG	AGG	AGG	AGG	AGG		
40.04	3	nminz	mg/kg	SE	Figure 1	40.xlsx			1.333	2.5	6	6.083	2.667	6		
40.05	1	soiln	%	SE	Figure 1	40.xlsx			0.221	0.033	6	0.245	0.017	6		
40.05	2	soilcn	NA	SE	Figure 1	40.xlsx	1	Divide soil c% by soil n%	AGG	AGG	AGG	AGG	AGG	AGG		
40.05	3	nminz	mg/kg	SE	Figure 1	40.xlsx			14	6.417	6	4.5	4.333	6		
40.06	1	soiln	%	SE	Figure 1	40.xlsx			0.32	0.02	6	0.319	0.026	6		
40.06	2	soilcn	NA	SE	Figure 1	40.xlsx	1	Divide soil c% by soil n%	AGG	AGG	AGG	AGG	AGG	AGG		
40.06	3	nminz	mg/kg	SE	Figure 1	40.xlsx			22.667	9.583	6	28.417	7.333	6		
40.06	4	toti	mg/L	SE	Figure 2	40.xlsx			2.48	0.186	5	5.285	0.579	5		IER
40.07	1	soiln	%	SE	Figure 1	40.xlsx			0.37	0.016	6	0.36	0.016	6		
40.07	2	soilcn	NA	SE	Figure 1	40.xlsx	1	Divide soil c% by soil n%	AGG	AGG	AGG	AGG	AGG	AGG		
40.07	3	nminz	mg/kg	SE	Figure 1	40.xlsx			9.667	4.75	6	6.667	4.25	6		
40.07	4	toti	mg/L	SE	Figure 2	40.xlsx			4.705	0.533	5	4.288	0.417	5		IER
40.08	1	soiln	%	SE	Figure 1	40.xlsx			0.311	0.029	6	0.341	0.02	6		
40.08	2	soilcn	NA	SE	Figure 1	40.xlsx	1	Divide soil c% by soil n%	AGG	AGG	AGG	AGG	AGG	AGG		
40.08	3	nminz	mg/kg	SE	Figure 1	40.xlsx			14.25	5.667	6	17.75	4.75	6		
40.09	1	soiln	%	SE	Figure 1	40.xlsx			0.39	0.06	6	0.395	0.079	6		
40.09	2	soilcn	NA	SE	Figure 1	40.xlsx	1	Divide soil c% by soil n%	AGG	AGG	AGG	AGG	AGG	AGG		
40.09	3	nminz	mg/kg	SE	Figure 1	40.xlsx			6	2	6	6.583	1.834	6		
40.09	4	toti	mg/L	SE	Figure 2	40.xlsx			2.086	0.139	5	2.318	0.232	5		IER
41.01	1	ph	pH	SE	Table 2				5.4	0.39	8	7.1	0.21	8		
41.01	2	som	%	SE	Table 2				3.7	0.3	8	1.7	0.2	8		
41.01	3	nh	notReported	SE	Table 2				3.8	0.6	8	2.5	0.5	8		
41.01	4	no	notReported	SE	Table 2				3.5	0.4	8	5.6	2.8	8		
41.01	5	toti	notReported	SE	Table 2		1	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
41.02	1	ph	pH	SE	Table 2				5.5	0.2	8	7.1	0.21	8		
41.02	2	som	%	SE	Table 2				2.2	0.3	8	1.7	0.2	8		
41.02	3	nh	notReported	SE	Table 2				4.6	1.7	8	2.5	0.5	8		
41.02	4	no	notReported	SE	Table 2				3.2	1.7	8	3.5	0.4	8		
41.02	5	toti	notReported	SE	Table 2		1	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
48.01	1	som	g/kg	SE	Table 2				147.21	1.69	5	171.28	2.28	5		
48.01	2	soiln	g/kg	SE	Table 2				0.98	0.01	5	0.77	0.01	5		
48.01	3	no	mg/kg	SE	Table 2				24.33	0.35	5	17.92	0.22	5		
48.01	4	nh	mg/kg	SE	Table 2				24.53	0.22	5	17.45	0.26	5		
48.01	5	toti	mg/kg	SE	Table 2		1	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
48.01	6	ph	pH	SE	Table 2				4.61	0.03	5	4.16	0.01	5		
48.02	1	som	g/kg	SE	Table 2				160.28	1.54	5	171.28	2.28	5		
48.02	2	soiln	g/kg	SE	Table 2				1.08	0.01	5	0.77	0.01	5		
48.02	3	no	mg/kg	SE	Table 2				24.51	0.15	5	17.92	0.22	5		
48.02	4	nh	mg/kg	SE	Table 2				20.87	0.28	5	17.45	0.26	5		
48.02	5	toti	mg/kg	SE	Table 2		1	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
48.02	6	ph	pH	SE	Table 2				4.77	0.02	5	4.16	0.01	5		
48.03	1	som	g/kg	SE	Table 2				99.05	1.29	5	171.28	2.28	5		
48.03	2	soiln	g/kg	SE	Table 2				0.9	0.01	5	0.77	0.01	5		
48.03	3	no	mg/kg	SE	Table 2				13.17	0.17	5	17.92	0.22	5		
48.03	4	nh	mg/kg	SE	Table 2				13.42	0.24	5	17.45	0.26	5		
48.03	5	toti	mg/kg	SE	Table 2		1	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
48.03	6	ph	pH	SE	Table 2				5.37	0.04	5	4.16	0.01	5		
53.01	1	nh	mg/kg	SE	Figure 2a		1	Average 4 sites	AGG	AGG	AGG	AGG	AGG	AGG		
53.01	2	no	mg/kg	SE	Figure 2b 		2	Average 4 sites	AGG	AGG	AGG	AGG	AGG	AGG		
53.01	3	toti	mg/kg	SE	Figure 2		3	"Average 4 sites, Add nh and no"	AGG	AGG	AGG	AGG	AGG	AGG		
53.01	4	soiln	%	SE	Figure 1		4	Average 4 sites	AGG	AGG	AGG	AGG	AGG	AGG		
53.01	5	ph	pH	SE	Table 2		5	Average 4 sites	AGG	AGG	AGG	AGG	AGG	AGG		
53.01	6	litterbiom	kg/ha	SE	p.560				3750	170	4	9600	560	4		
58.01	1	soilmoi	%	SE	Figure 2	58.xlsx	1	Average across 12 sampling dates	AGG	AGG	AGG	AGG	AGG	AGG		
58.01	2	no	g/m2	SE	Figure 3a	58.xlsx	2	Average across 5 sampling dates	AGG	AGG	AGG	AGG	AGG	AGG	"Inorganic N is presented with nh and no as a stacked bar with only one bar to indicate SE.  That SE is used for each associated measure: nh, no, toti"	
58.01	3	nh	g/m2	SE	Figure 3a	58.xlsx	3	Average across 5 sampling dates	AGG	AGG	AGG	AGG	AGG	AGG	"Inorganic N is presented with nh and no as a stacked bar with only one bar to indicate SE.  That SE is used for each associated measure: nh, no, toti"	
58.01	4	toti	g/m2	SE	Figure 3a	58.xlsx	4	Average across 5 sampling dates	AGG	AGG	AGG	AGG	AGG	AGG	"Inorganic N is presented with nh and no as a stacked bar with only one bar to indicate SE.  That SE is used for each associated measure: nh, no, toti"	
58.01	5	nminz	g/m2*d	SE	Figure 3b	58.xlsx		Author averaged across 5 sampling dates	3	0.523	4	4.068	1.296	4	Author averaged across 5 sampling dates	
59.01	1	ph	pH	SD	Table 1		1	Average 0-10cm and 10-20cm	AGG	AGG	AGG	AGG	AGG	AGG		
59.01	2	soilmoi	cm3/cm3	SD	Table 1		2	Average 0-10cm and 10-20cm	AGG	AGG	AGG	AGG	AGG	AGG		
59.01	3	soiln	g/m2	SD	Table 3				197	63	6	150	24	6		
59.01	4	soilcn	NA	SD	Table 3				11.8	1	6	11.7	1	6		
59.01	5	microbcn	NA	SD	Table 4		3	"The author pooled across soil depths (0-10cm, 10-20cm).  Divide C (mgC/kg soil) by N (mgN/kg soil)"	AGG	AGG	AGG	AGG	AGG	AGG		
59.01	6	nminz	mg/kg*d	SD	Table 4				1	0.9	6	0.5	0.5	6		
59.01	7	nitrif	mg/kg*d	SD	Table 5				0.8	0.8	6	0.4	0.4	6		
