obsID	spEntryID	spName	spInvasive	spGrowth	spHeight	spAnnPerenn	spNotes
25.05	7	Rubus spp	native	shrub	understory	perennial	
25.05	8	Rosa spp	native	shrub	understory	perennial	
25.05	9	Lindera benzoin	native	shrub	understory	perennial	
25.05	10	Hammamelis virginiana	native	shrub	understory	perennial	
25.05	11	Parthenocissus quinquefolia	native	vine	understory	perennial	
25.06	1	Microstegium vimineum	invasive	graminoid	understory	annual	
25.06	2	Berberis thunbergii	invasive	shrub	understory	perennial	
25.06	3	Vaccinium pallidum	native	shrub	understory	perennial	
25.07	1	Microstegium vimineum	invasive	graminoid	understory	annual	
25.07	2	Berberis thunbergii	invasive	shrub	understory	perennial	
25.07	3	Vaccinium pallidum	native	shrub	understory	perennial	
29.01	1	Lythrum salicaria	invasive	forb	understory	perennial	
29.01	2	Typha latifolia	native	forb	understory	perennial	
29.02	1	Lythrum salicaria	invasive	forb	understory	perennial	
29.02	2	Typha latifolia	native	forb	understory	perennial	
30.01	1	Hedychium gardnerianum	invasive	forb	understory	perennial	
30.01	2	Metrosideros polymorpha	native	tree	canopy	perennial	
30.01	3	Cibotium spp	native	tree	canopy	perennial	
36.01	1	Arena barbata	invasive	graminoid	understory	annual	
36.01	2	Bromus hordeaceous	invasive	graminoid	understory	annual	
36.01	3	Lupinus bicolor	native	forb	understory	annual	
36.02	1	Arena barbata	invasive	graminoid	understory	annual	
36.02	2	Bromus hordeaceous	invasive	graminoid	understory	annual	
36.02	3	Nassella pulchra	native	graminoid	understory	perennial	
38.01	1	Rhamnus cathartica	invasive	shrub	understory	perennial	
38.01	2	Quercus alba	native	tree	canopy	perennial	
38.01	3	Quercus rubra	native	tree	canopy	perennial	
38.01	4	Fraxinus spp	native	tree	canopy	perennial	
38.01	5	Tilia americana	native	tree	canopy	perennial	
38.01	6	Prunus spp	native	shrub	understory	perennial	
38.01	7	Hamamelis virginiana	native	shrub	understory	perennial	
38.02	1	Rhamnus cathartica	invasive	shrub	understory	perennial	
38.02	2	Quercus alba	native	tree	canopy	perennial	
38.02	3	Quercus rubra	native	tree	canopy	perennial	
38.02	4	Fraxinus spp	native	tree	canopy	perennial	
38.02	5	Tilia americana	native	tree	canopy	perennial	
38.02	6	Prunus spp	native	shrub	understory	perennial	
38.02	7	Hamamelis virginiana	native	shrub	understory	perennial	
38.03	1	Rhamnus cathartica	invasive	shrub	understory	perennial	
38.03	2	Quercus alba	native	tree	canopy	perennial	
38.03	3	Quercus rubra	native	tree	canopy	perennial	
38.03	4	Fraxinus spp	native	tree	canopy	perennial	
38.03	5	Tilia americana	native	tree	canopy	perennial	
38.03	6	Prunus spp	native	shrub	understory	perennial	
38.03	7	Hamamelis virginiana	native	shrub	understory	perennial	
40.01	1	Centaurea maculosa	invasive	forb	understory	perennial	
40.01	2	Pseudoroegneria spicata	native	graminoid	understory	perennial	
40.01	3	Festuca idahoensis	native	graminoid	understory	perennial	
40.01	4	Pascopyrum smithii	native	graminoid	understory	perennial	
40.01	5	Stipa comata	native	graminoid	understory	perennial	
40.02	1	Centaurea maculosa	invasive	forb	understory	perennial	
40.02	2	Pseudoroegneria spicata	native	graminoid	understory	perennial	
40.02	3	Festuca idahoensis	native	graminoid	understory	perennial	
40.02	4	Pascopyrum smithii	native	graminoid	understory	perennial	
40.02	5	Stipa comata	native	graminoid	understory	perennial	
40.03	1	Centaurea maculosa	invasive	forb	understory	perennial	
40.03	2	Pseudoroegneria spicata	native	graminoid	understory	perennial	
40.03	3	Festuca idahoensis	native	graminoid	understory	perennial	
40.03	4	Pascopyrum smithii	native	graminoid	understory	perennial	
40.03	5	Stipa comata	native	graminoid	understory	perennial	
40.04	1	Centaurea maculosa	invasive	forb	understory	perennial	
40.04	2	Pseudoroegneria spicata	native	graminoid	understory	perennial	
40.04	3	Festuca idahoensis	native	graminoid	understory	perennial	
40.04	4	Pascopyrum smithii	native	graminoid	understory	perennial	
40.04	5	Stipa comata	native	graminoid	understory	perennial	
40.05	1	Centaurea maculosa	invasive	forb	understory	perennial	
40.05	2	Pseudoroegneria spicata	native	graminoid	understory	perennial	
40.05	3	Festuca idahoensis	native	graminoid	understory	perennial	
40.05	4	Pascopyrum smithii	native	graminoid	understory	perennial	
40.05	5	Stipa comata	native	graminoid	understory	perennial	
40.06	1	Centaurea maculosa	invasive	forb	understory	perennial	
40.06	2	Pseudoroegneria spicata	native	graminoid	understory	perennial	
40.06	3	Festuca idahoensis	native	graminoid	understory	perennial	
40.06	4	Pascopyrum smithii	native	graminoid	understory	perennial	
40.06	5	Stipa comata	native	graminoid	understory	perennial	
40.07	1	Centaurea maculosa	invasive	forb	understory	perennial	
40.07	2	Pseudoroegneria spicata	native	graminoid	understory	perennial	
40.07	3	Festuca idahoensis	native	graminoid	understory	perennial	
40.07	4	Pascopyrum smithii	native	graminoid	understory	perennial	
40.07	5	Stipa comata	native	graminoid	understory	perennial	
40.08	1	Centaurea maculosa	invasive	forb	understory	perennial	
40.08	2	Pseudoroegneria spicata	native	graminoid	understory	perennial	
40.08	3	Festuca idahoensis	native	graminoid	understory	perennial	
40.08	4	Pascopyrum smithii	native	graminoid	understory	perennial	
40.08	5	Stipa comata	native	graminoid	understory	perennial	
40.09	1	Centaurea maculosa	invasive	forb	understory	perennial	
40.09	2	Pseudoroegneria spicata	native	graminoid	understory	perennial	
40.09	3	Festuca idahoensis	native	graminoid	understory	perennial	
40.09	4	Pascopyrum smithii	native	graminoid	understory	perennial	
40.09	5	Stipa comata	native	graminoid	understory	perennial	
41.01	1	Bromus diandrus	invasive	graminoid	understory	annual	
41.01	2	Sporobolus airoides	native	graminoid	understory	perennial	
41.02	1	Hordeum marinum gussoneanum	invasive	graminoid	understory	annual	
41.02	2	Sporobolus airoides	native	graminoid	understory	perennial	
48.01	1	Mikania micrantha	invasive	vine	understory	perennial	
48.01	2	Artocarpus hypargyrens	native	tree	canopy	perennial	
48.01	3	Litsea glutinosa	native	tree	canopy	perennial	
48.01	4	Pterospermum heterophyllum	native	tree	canopy	perennial	
48.01	5	Phoenix roebelenii	native	tree	canopy	perennial	
48.01	6	Schefflera octophylla	native	tree	canopy	perennial	
48.01	7	Aporosa chinensis	native	tree	canopy	perennial	
48.01	8	Psychotria rubra	native	shrub	understory	perennial	
48.01	9	Gardinia jasminoides	native	shrub	understory	perennial	
48.01	10	Rhapis excelsa	native	shrub	understory	perennial	
48.01	11	Uvaria microcarpa	native	vine	understory	perennial	
48.02	1	Mikania micrantha	invasive	vine	understory	perennial	
48.02	2	Artocarpus hypargyrens	native	tree	canopy	perennial	
48.02	3	Litsea glutinosa	native	tree	canopy	perennial	
48.02	4	Pterospermum heterophyllum	native	tree	canopy	perennial	
48.02	5	Phoenix roebelenii	native	tree	canopy	perennial	
48.02	6	Schefflera octophylla	native	tree	canopy	perennial	
48.02	7	Aporosa chinensis	native	tree	canopy	perennial	
48.02	8	Psychotria rubra	native	shrub	understory	perennial	
48.02	9	Gardinia jasminoides	native	shrub	understory	perennial	
48.02	10	Rhapis excelsa	native	shrub	understory	perennial	
48.02	11	Uvaria microcarpa	native	vine	understory	perennial	
48.03	1	Mikania micrantha	invasive	vine	understory	perennial	
48.03	2	Artocarpus hypargyrens	native	tree	canopy	perennial	
48.03	3	Litsea glutinosa	native	tree	canopy	perennial	
48.03	4	Pterospermum heterophyllum	native	tree	canopy	perennial	
48.03	5	Phoenix roebelenii	native	tree	canopy	perennial	
48.03	6	Schefflera octophylla	native	tree	canopy	perennial	
48.03	7	Aporosa chinensis	native	tree	canopy	perennial	
48.03	8	Psychotria rubra	native	shrub	understory	perennial	
48.03	9	Gardinia jasminoides	native	shrub	understory	perennial	
48.03	10	Rhapis excelsa	native	shrub	understory	perennial	
48.03	11	Uvaria microcarpa	native	vine	understory	perennial	
53.01	1	Chrysanthemoides monilifera	invasive	shrub	unclassified	perennial	
53.01	2	Acacia longifolia	native	shrub	unclassified	perennial	
53.01	3	Barksia integrifolia	native	shrub	unclassified	perennial	
53.01	4	Leptospermum laevigatum	native	shrub	unclassified	perennial	
53.01	5	Pteridium esculentum	native	forb	understory	perennial	
53.01	6	Themeda australis	native	graminoid	understory	perennial	
53.01	7	Lomandra longifolia	native	forb	understory	perennial	
58.01	1	Cornus drummondii	invasive	shrub	canopy	perennial	
58.01	2	Andropogon gerardii	native	graminoid	understory	perennial	
58.01	3	Sorghastrum nutans	native	graminoid	understory	perennial	
59.01	1	Prosopis glandulosa	invasive	tree	canopy	perennial	
59.01	2	Zanthoxylum fagara	invasive	shrub	understory	perennial	
59.01	3	Condalia hookeri	invasive	shrub	understory	perennial	
59.01	4	Mahomia trifoliolata	invasive	shrub	understory	perennial	
59.01	5	Diospyros texana	invasive	shrub	understory	perennial	
59.01	6	Chloris cucullata	native	graminoid	understory	perennial	
59.01	7	Panicum hallii	native	graminoid	understory	perennial	
59.01	8	Bouteloua hirsta	native	graminoid	understory	perennial	
59.01	9	Tridens spp	native	graminoid	understory	perennial	
59.02	1	Prosopis glandulosa	invasive	tree	canopy	perennial	
59.02	2	Zanthoxylum fagara	invasive	shrub	understory	perennial	
59.02	3	Condalia hookeri	invasive	shrub	understory	perennial	
59.02	4	Mahomia trifoliolata	invasive	shrub	understory	perennial	
59.02	5	Diospyros texana	invasive	shrub	understory	perennial	
59.02	6	Chloris cucullata	native	graminoid	understory	perennial	
59.02	7	Panicum hallii	native	graminoid	understory	perennial	
59.02	8	Bouteloua hirsta	native	graminoid	understory	perennial	
59.02	9	Tridens spp	native	graminoid	understory	perennial	
59.03	1	Prosopis glandulosa	invasive	tree	canopy	perennial	
59.03	2	Zanthoxylum fagara	invasive	shrub	understory	perennial	
59.03	3	Condalia hookeri	invasive	shrub	understory	perennial	
59.03	4	Mahomia trifoliolata	invasive	shrub	understory	perennial	
59.03	5	Diospyros texana	invasive	shrub	understory	perennial	
59.03	6	Chloris cucullata	native	graminoid	understory	perennial	
59.03	7	Panicum hallii	native	graminoid	understory	perennial	
59.03	8	Bouteloua hirsta	native	graminoid	understory	perennial	
59.03	9	Tridens spp	native	graminoid	understory	perennial	
62.01	1	Betula spp	invasive	tree	canopy	perennial	
62.01	2	Calluna vulgaris	native	shrub	understory	perennial	
62.01	3	Erica cinerea	native	shrub	understory	perennial	
62.01	4	Erica tetralix	native	shrub	understory	perennial	
62.01	5	Hypnum jutlandicum	native	nonvascular	understory	perennial	
62.01	6	Cladonia portentosa	native	nonvascular	understory	perennial	
62.01	7	Pteridium aquilinum	native	forb	understory	perennial	
62.02	1	Betula spp	invasive	tree	canopy	perennial	
62.02	2	Calluna vulgaris	native	shrub	understory	perennial	
62.02	3	Erica cinerea	native	shrub	understory	perennial	
62.02	4	Ulex minor	native	shrub	understory	perennial	
62.02	5	Hypnum cupressiforme	native	nonvascular	understory	perennial	
62.02	6	Hypnum jutlandicum	native	nonvascular	understory	perennial	
62.02	7	Pleurozium schreberi	native	nonvascular	understory	perennial	
62.02	8	Cladonia portentosa	native	nonvascular	understory	perennial	
62.02	9	Molina caerulea	native	graminoid	understory	perennial	
62.02	10	Pteridium aquilinum	native	forb	understory	perennial	
62.02	11	Rubus glandulosus	native	shrub	understory	perennial	
62.03	1	Betula spp	invasive	tree	canopy	perennial	
62.03	2	Calluna vulgaris	native	shrub	understory	perennial	
62.03	3	Cuscuta epithymum	native	forb	understory	unclassified	
62.03	4	Erica cinerea	native	shrub	understory	perennial	
62.03	5	Erica tetralix	native	shrub	understory	perennial	
62.03	6	Ulex minor	native	shrub	understory	perennial	
62.03	7	Hypnum jutlandicum	native	nonvascular	understory	perennial	
62.03	8	Agrostsis curtisii	native	graminoid	understory	perennial	
62.03	9	Pteridium aquilinum	native	forb	understory	perennial	
62.03	10	Rubus glandulosus	native	shrub	understory	perennial	
62.03	11	Hypnum jutlandicum	native	nonvascular	understory	perennial	
62.04	1	Betula spp	invasive	tree	canopy	perennial	
62.04	2	Calluna vulgaris	native	shrub	understory	perennial	
62.04	3	Erica cinerea	native	shrub	understory	perennial	
62.04	4	Erica tetralix	native	shrub	understory	perennial	
62.04	5	Ulex gallii	native	shrub	understory	perennial	
62.04	6	Hypnum jutlandicum	native	nonvascular	understory	perennial	
62.04	7	Molina caerulea	native	graminoid	understory	perennial	
62.04	8	Pteridium aquilinum	native	forb	understory	perennial	
62.04	9	Rubus glandulosus	native	shrub	understory	perennial	
62.05	1	Betula spp	invasive	tree	canopy	perennial	
62.05	2	Calluna vulgaris	native	shrub	understory	perennial	
62.05	3	Erica cinerea	native	shrub	understory	perennial	
62.05	4	Erica tetralix	native	shrub	understory	perennial	
62.05	5	Molina caerulea	native	graminoid	understory	perennial	
62.05	6	Ulex gallii	native	shrub	understory	perennial	
62.05	7	Hypnum jutlandicum	native	nonvascular	understory	perennial	
62.05	8	Cladonia portentosa	native	nonvascular	understory	perennial	
62.05	9	Agrostsis capillaris	native	graminoid	understory	perennial	
62.05	10	Pteridium aquilinum	native	forb	understory	perennial	
62.05	11	Rubus glandulosus	native	shrub	understory	perennial	
62.06	1	Betula spp	invasive	tree	canopy	perennial	
62.06	2	Calluna vulgaris	native	shrub	understory	perennial	
62.06	3	Erica cinerea	native	shrub	understory	perennial	
62.06	4	Ulex minor	native	shrub	understory	perennial	
62.06	5	Hypnum jutlandicum	native	nonvascular	understory	perennial	
62.06	6	Cladonia portentosa	native	nonvascular	understory	perennial	
62.06	7	Agrostsis capillaris	native	graminoid	understory	perennial	
62.06	8	Molina caerulea	native	graminoid	understory	perennial	
62.06	9	Pteridium aquilinum	native	forb	understory	perennial	
62.06	10	Rubus glandulosus	native	shrub	understory	perennial	
62.07	1	Betula spp	invasive	tree	canopy	perennial	
62.07	2	Calluna vulgaris	native	shrub	understory	perennial	
62.07	3	Erica tetralix	native	shrub	understory	perennial	
62.07	4	Molina caerulea	native	graminoid	understory	perennial	
62.07	5	Hypnum jutlandicum	native	nonvascular	understory	perennial	
62.07	6	Cladonia portentosa	native	nonvascular	understory	perennial	
62.07	7	Agrostsis capillaris	native	graminoid	understory	perennial	
62.07	8	Agrostsis curtisii	native	graminoid	understory	perennial	
62.07	9	Pteridium aquilinum	native	forb	understory	perennial	
62.07	10	Rubus glandulosus	native	shrub	understory	perennial	
62.07	11	Pseudoscleropodium purum	native	nonvascular	understory	perennial	
62.08	1	Pinus sylvestris	invasive	tree	canopy	perennial	
62.08	2	Calluna vulgaris	native	shrub	understory	perennial	
62.08	3	Erica cinerea	native	shrub	understory	perennial	
62.08	4	Erica tetralix	native	shrub	understory	perennial	
62.08	5	Hypnum jutlandicum	native	nonvascular	understory	perennial	
62.08	6	Cladonia portentosa	native	nonvascular	understory	perennial	
62.08	7	Pteridium aquilinum	native	forb	understory	perennial	
62.09	1	Pinus sylvestris	invasive	tree	canopy	perennial	
62.09	2	Calluna vulgaris	native	shrub	understory	perennial	
62.09	3	Erica cinerea	native	shrub	understory	perennial	
62.09	4	Ulex minor	native	shrub	understory	perennial	
62.09	5	Hypnum cupressiforme	native	nonvascular	understory	perennial	
62.09	6	Hypnum jutlandicum	native	nonvascular	understory	perennial	
62.09	7	Pleurozium schreberi	native	nonvascular	understory	perennial	
62.09	8	Cladonia portentosa	native	nonvascular	understory	perennial	
62.09	9	Pteridium aquilinum	native	forb	understory	perennial	
62.09	10	Pinus pinaster	native	tree	canopy	perennial	
62.1	1	Pinus sylvestris	invasive	tree	canopy	perennial	
62.1	2	Calluna vulgaris	native	shrub	understory	perennial	
62.1	3	Cuscuta epithymum	native	forb	understory	unclassified	
62.1	4	Erica cinerea	native	shrub	understory	perennial	
62.1	5	Erica tetralix	native	shrub	understory	perennial	
62.1	6	Ulex minor	native	shrub	understory	perennial	
62.1	7	Hypnum jutlandicum	native	nonvascular	understory	perennial	
62.1	8	Pteridium aquilinum	native	forb	understory	perennial	
62.11	1	Pinus sylvestris	invasive	tree	canopy	perennial	
62.11	2	Calluna vulgaris	native	shrub	understory	perennial	
62.11	3	Erica cinerea	native	shrub	understory	perennial	
62.11	4	Erica tetralix	native	shrub	understory	perennial	
62.11	5	Ulex gallii	native	shrub	understory	perennial	
62.11	6	Hypnum jutlandicum	native	nonvascular	understory	perennial	
62.11	7	Pteridium aquilinum	native	forb	understory	perennial	
62.11	8	Pinus pinaster	native	tree	canopy	perennial	
62.12	1	Pinus sylvestris	invasive	tree	canopy	perennial	
62.12	2	Calluna vulgaris	native	shrub	understory	perennial	
62.12	3	Erica cinerea	native	shrub	understory	perennial	
62.12	4	Ulex minor	native	shrub	understory	perennial	
62.12	5	Hypnum jutlandicum	native	nonvascular	understory	perennial	
62.12	6	Cladonia portentosa	native	nonvascular	understory	perennial	
62.12	7	Pteridium aquilinum	native	forb	understory	perennial	
62.12	8	Pinus pinaster	native	tree	canopy	perennial	
62.13	1	Pinus sylvestris	invasive	tree	canopy	perennial	
62.13	2	Calluna vulgaris	native	shrub	understory	perennial	
62.13	3	Erica tetralix	native	shrub	understory	perennial	
62.13	4	Molina caerulea	native	graminoid	understory	perennial	
62.13	5	Hypnum jutlandicum	native	nonvascular	understory	perennial	
62.13	6	Cladonia portentosa	native	nonvascular	understory	perennial	
62.13	7	Erica cinerea	native	shrub	understory	perennial	
62.13	8	Pteridium aquilinum	native	forb	understory	perennial	
62.14	1	Pinus sylvestris	invasive	tree	canopy	perennial	
62.14	2	Calluna vulgaris	native	shrub	understory	perennial	
62.14	3	Erica cinerea	native	shrub	understory	perennial	
62.14	4	Erica tetralix	native	shrub	understory	perennial	
62.14	5	Molina caerulea	native	graminoid	understory	perennial	
62.14	6	Ulex minor	native	shrub	understory	perennial	
62.14	7	Brachythecium rutabulum	native	nonvascular	understory	perennial	
62.14	8	Cladonia portentosa	native	nonvascular	understory	perennial	
62.14	9	Erica cinerea	native	shrub	understory	perennial	
62.14	10	Pteridium aquilinum	native	forb	understory	perennial	
62.14	11	Pinus pinaster	native	tree	canopy	perennial	
62.15	1	Pteridium aquilinum	invasive	forb	understory	perennial	
62.15	2	Calluna vulgaris	native	shrub	understory	perennial	
62.15	3	Erica cinerea	native	shrub	understory	perennial	
62.15	4	Erica tetralix	native	shrub	understory	perennial	
62.15	5	Hypnum jutlandicum	native	nonvascular	understory	perennial	
62.15	6	Cladonia portentosa	native	nonvascular	understory	perennial	
62.15	7	Molina caerulea	native	graminoid	understory	perennial	
62.15	8	Campylopus introflexus	native	nonvascular	understory	perennial	
62.16	1	Pteridium aquilinum	invasive	forb	understory	perennial	
62.16	2	Calluna vulgaris	native	shrub	understory	perennial	
62.16	3	Erica cinerea	native	shrub	understory	perennial	
62.16	4	Ulex minor	native	shrub	understory	perennial	
62.16	5	Hypnum cupressiforme	native	nonvascular	understory	perennial	
62.16	6	Hypnum jutlandicum	native	nonvascular	understory	perennial	
62.16	7	Pleurozium schreberi	native	nonvascular	understory	perennial	
62.16	8	Cladonia portentosa	native	nonvascular	understory	perennial	
62.16	9	Campylopus introflexus	native	nonvascular	understory	perennial	
62.17	1	Pteridium aquilinum	invasive	forb	understory	perennial	
62.17	2	Calluna vulgaris	native	shrub	understory	perennial	
62.17	3	Cuscuta epithymum	native	forb	understory	unclassified	
62.17	4	Erica cinerea	native	shrub	understory	perennial	
62.17	5	Erica tetralix	native	shrub	understory	perennial	
62.17	6	Ulex minor	native	shrub	understory	perennial	
62.17	7	Hypnum jutlandicum	native	nonvascular	understory	perennial	
62.17	8	Campylopus introflexus	native	nonvascular	understory	perennial	
62.18	1	Pteridium aquilinum	invasive	forb	understory	perennial	
62.18	2	Calluna vulgaris	native	shrub	understory	perennial	
62.18	3	Erica cinerea	native	shrub	understory	perennial	
62.18	4	Erica tetralix	native	shrub	understory	perennial	
62.18	5	Ulex gallii	native	shrub	understory	perennial	
62.18	6	Hypnum jutlandicum	native	nonvascular	understory	perennial	
62.18	7	Molina caerulea	native	graminoid	understory	perennial	
62.18	8	Campylopus introflexus	native	nonvascular	understory	perennial	
62.19	1	Pteridium aquilinum	invasive	forb	understory	perennial	
62.19	2	Calluna vulgaris	native	shrub	understory	perennial	
62.19	3	Erica cinerea	native	shrub	understory	perennial	
62.19	4	Erica tetralix	native	shrub	understory	perennial	
62.19	5	Molina caerulea	native	graminoid	understory	perennial	
62.19	6	Ulex minor	native	shrub	understory	perennial	
62.19	7	Hypnum jutlandicum	native	nonvascular	understory	perennial	
62.19	8	Cladonia portentosa	native	nonvascular	understory	perennial	
62.2	1	Pteridium aquilinum	invasive	forb	understory	perennial	
62.2	2	Calluna vulgaris	native	shrub	understory	perennial	
62.2	3	Erica cinerea	native	shrub	understory	perennial	
62.2	4	Erica tetralix	native	shrub	understory	perennial	
62.2	5	Molina caerulea	native	graminoid	understory	perennial	
62.2	6	Ulex gallii	native	shrub	understory	perennial	
62.2	7	Hypnum jutlandicum	native	nonvascular	understory	perennial	
62.2	8	Cladonia portentosa	native	nonvascular	understory	perennial	
62.21	1	Pteridium aquilinum	invasive	forb	understory	perennial	
62.21	2	Calluna vulgaris	native	shrub	understory	perennial	
62.21	3	Erica cinerea	native	shrub	understory	perennial	
62.21	4	Erica tetralix	native	shrub	understory	perennial	
62.21	5	Molina caerulea	native	graminoid	understory	perennial	
62.21	6	Ulex minor	native	shrub	understory	perennial	
62.21	7	Brachythecium rutabulum	native	nonvascular	understory	perennial	
62.21	8	Cladonia portentosa	native	nonvascular	understory	perennial	
62.21	9	Campylopus introflexus	native	nonvascular	understory	perennial	
