paperID	obsID	obsDescript	location	ecosystCat	ecosystDescript	studyType	obsMeasNote	obsCovNote	obsTraitNote	obsSpNote	GOBACK?
25	25.02	"location = ALL, invaded comparison = Berberis, studyType = field study"	"ALL, NJ, USA"	forest	eastern deciduous forest	field study	"Sampled under 3 clumps of plants from 3 sampling locations.  Soil samples (0-5cm) were taken from beneath the canopies of plants and sampled in March, June.  Buried bag N minz incubation for 3 weeks. Estimated standing crop biomass and tissue N content, and litter decomposition."	Evaluated the number of stems per m2 of the species in the study plots.  Invader is provided in percent cover since stems are difficult to quantify.	"Tree litter N content, shrub and invader N content in live plant and litter material"	"Many native species listed, so listed the first 10.  See Table 1 'other species' for more understory species. Same native species listed for all locations."	Consider aggregating by location
25	25.03	"location = WOR, invaded comparison = Berberis, studyType = field study"	"WOR, NJ, USA"	forest	eastern deciduous forest	field study	"Sampled under 3 clumps of plants from 3 sampling locations.  Soil samples (0-5cm) were taken from beneath the canopies of plants and sampled in March, June.  Buried bag N minz incubation for 3 weeks. Estimated standing crop biomass and tissue N content, and litter decomposition."	Evaluated the number of stems per m2 of the species in the study plots.  Invader is provided in percent cover since stems are difficult to quantify.	"Tree litter N content, shrub and invader N content in live plant and litter material"	"Many native species listed, so listed the first 10.  See Table 1 'other species' for more understory species. Same native species listed for all locations."	Consider aggregating by location
25	25.04	"location = MNHP, invaded comparison = Microstegium, studyType = field study"	"Morristown National Historic Park, NJ, USA"	forest	eastern deciduous forest	field study	"Sampled under 3 clumps of plants from 3 sampling locations.  Soil samples (0-5cm) were taken from beneath the canopies of plants and sampled in March, June.  Buried bag N minz incubation for 3 weeks. Estimated standing crop biomass and tissue N content, and litter decomposition."	Evaluated the number of stems per m2 of the species in the study plots.  Invader is provided in percent cover since stems are difficult to quantify.	"Tree litter N content, shrub and invader N content in live plant and litter material"	"Many native species listed, so listed the first 10.  See Table 1 'other species' for more understory species. Same native species listed for all locations."	Consider aggregating by location
25	25.05	"location = WOR, invaded comparison = Microstegium, studyType = field study"	"WOR, NJ, USA"	forest	eastern deciduous forest	field study	"Sampled under 3 clumps of plants from 3 sampling locations.  Soil samples (0-5cm) were taken from beneath the canopies of plants and sampled in March, June.  Buried bag N minz incubation for 3 weeks. Estimated standing crop biomass and tissue N content, and litter decomposition."	Evaluated the number of stems per m2 of the species in the study plots.  Invader is provided in percent cover since stems are difficult to quantify.	"Tree litter N content, shrub and invader N content in live plant and litter material"	"Many native species listed, so listed the first 10.  See Table 1 'other species' for more understory species. Same native species listed for all locations."	Consider aggregating by location
25	25.06	"location = ALL, invaded comparison = Berberis and Microstegium grown together, studyType = greenhouse expt"	"ALL, NJ, USA"	forest	eastern deciduous forest	greenhouse expt	Planted the 2 invasive species or the native species in field-collected uninvaded soil (n=5). Lab N minz with 10day incubation.	NA	Field-collected shrub and invader N content in live plant and litter material	NA	Consider including unplanted as native comparison
25	25.07	"location = WOR, invaded comparison = Berberis and Microstegium grown together, studyType = greenhouse expt"	"WOR, NJ, USA"	forest	eastern deciduous forest	greenhouse expt	Planted the 2 invasive species or the native species in field-collected uninvaded soil (n=5). Lab N minz with 10day incubation.	NA	Field-collected shrub and invader N content in live plant and litter material	NA	Consider including unplanted as native comparison
29	29.01	invaded comparison = mixed	"Montezuma National Wildlife Refuge, NY, USA"	wetland	freshwater wetland	field study	"Established 5 parallel transects through 3 vegetation types: a) Typha (native), mixed (invaded), and Lythrum (invaded). Each transect had 1-1m2 plot for vegetation sampling and an adjacent 1m2 plot for soil sampling per vegetation type (n=5). Used insitu core incubation for 1 month in Jun, Jul, Aug (20cm depth)."	Aboveground biomass was estimated by multiplying mean shoot weight (live and dead) by shoot density per plot	Measurements taken on greenhouse-grown plant tissue %N for Lythrum and Typha	NA	No
29	29.02	invaded comparison = Lythrum	"Montezuma National Wildlife Refuge, NY, USA"	wetland	freshwater wetland	field study	"Established 5 parallel transects through 3 vegetation types: a) Typha (native), mixed (invaded), and Lythrum (invaded). Each transect had 1-1m2 plot for vegetation sampling and an adjacent 1m2 plot for soil sampling per vegetation type (n=5). Used insitu core incubation for 1 month in Jun, Jul, Aug (20cm depth)."	Aboveground biomass was estimated by multiplying mean shoot weight (live and dead) by shoot density per plot	Measurements taken on greenhouse-grown plant tissue %N for Lythrum and Typha	NA	No
30	30.01	NA	"Hawaii Volcanoes National Park, HI, USA"	forest	rainforest	field study	Soil (0-10cm depth) colleccted beneath invasive species in 4 invaded plots and in 4 native plots.  Buried bag soil incubation for 10 days.	NA	Green and senescent leaves were collected from invasive species and 2 canopy native species in fertilized and unfertilized plots	NA	No
36	36.01	native comparison = Lupinus	"Mendocino Co., CA, USA"	grassland	grassland	field expt addition	"Included a root ingrowth treatment that showed no response, which doubled sample size to n = 10"	"Plants grown in buried steel drums and maintained with annual reseeding and weeding, n=5"	NA	NA	No
36	36.02	native comparison = Nassella	"Mendocino Co., CA, USA"	grassland	grassland	field expt addition	"Included a root ingrowth treatment that showed no response, which doubled sample size to n = 10"	"Plants grown in buried steel drums and maintained with annual reseeding and weeding, n=5"	NA	NA	No
38	38.01	location = Lake Avenue Woods	"IL, USA"	forest	temperate forest	field study	"Established 3 plots of invaded and native at 3 sites: a) LA, b) MAE, and c) McD (3 observations). Soil collected in Sept.  Used 28-day lab incubation for nminz."	"Authors say that the understory tends to be depauparate and the canopy is less open where there is an invasion.  The authors do not quantify this, so for the purpose of this meta-analysis, I assume that native cover is 100% in both native and invaded areas."	NA	NA	No
38	38.02	location = Morton Arboretum East	"IL, USA"	forest	temperate forest	field study	"Established 3 plots of invaded and native at 3 sites: a) LA, b) MAE, and c) McD (3 observations). Soil collected in Sept.  Used 28-day lab incubation for nminz."	"Authors say that the understory tends to be depauparate and the canopy is less open where there is an invasion.  The authors do not quantify this, so for the purpose of this meta-analysis, I assume that native cover is 100% in both native and invaded areas."	NA	NA	No
38	38.03	location = McDonald Woods	"IL, USA"	forest	temperate forest	field study	"Established 3 plots of invaded and native at 3 sites: a) LA, b) MAE, and c) McD (3 observations). Soil collected in Sept.  Used 28-day lab incubation for nminz."	"Authors say that the understory tends to be depauparate and the canopy is less open where there is an invasion.  The authors do not quantify this, so for the purpose of this meta-analysis, I assume that native cover is 100% in both native and invaded areas."	NA	NA	No
40	40.01	location = LL	"western MT, USA"	grassland	grassland	field study	"Established 6 paired invaded and native plots per site, 9 sites (9 observations). Sampled 3 soil cores (0-5cm depth) per plot and pooled them. Nminz with lab incubation for 7 days and used IER bags at 3 sites (5cm depth) in August for a 4-6 week incubation."	"Plant cover was not measured, so for this meta-analysis the plant cover estimates do not differ between sites"	Paper presents unpublished trait values in the discussion section for leaf%N and C:N	Species list was not differentiated for the 9 sites	No
40	40.02	location = GO	"western MT, USA"	grassland	grassland	field study	"Established 6 paired invaded and native plots per site, 9 sites (9 observations). Sampled 3 soil cores (0-5cm depth) per plot and pooled them. Nminz with lab incubation for 7 days and used IER bags at 3 sites (5cm depth) in August for a 4-6 week incubation."	"Plant cover was not measured, so for this meta-analysis the plant cover estimates do not differ between sites"	Paper presents unpublished trait values in the discussion section for leaf%N and C:N	Species list was not differentiated for the 9 sites	No
40	40.03	location = CC	"western MT, USA"	grassland	grassland	field study	"Established 6 paired invaded and native plots per site, 9 sites (9 observations). Sampled 3 soil cores (0-5cm depth) per plot and pooled them. Nminz with lab incubation for 7 days and used IER bags at 3 sites (5cm depth) in August for a 4-6 week incubation."	"Plant cover was not measured, so for this meta-analysis the plant cover estimates do not differ between sites"	Paper presents unpublished trait values in the discussion section for leaf%N and C:N	Species list was not differentiated for the 9 sites	No
40	40.04	location = RC	"western MT, USA"	grassland	grassland	field study	"Established 6 paired invaded and native plots per site, 9 sites (9 observations). Sampled 3 soil cores (0-5cm depth) per plot and pooled them. Nminz with lab incubation for 7 days and used IER bags at 3 sites (5cm depth) in August for a 4-6 week incubation."	"Plant cover was not measured, so for this meta-analysis the plant cover estimates do not differ between sites"	Paper presents unpublished trait values in the discussion section for leaf%N and C:N	Species list was not differentiated for the 9 sites	No
40	40.05	location = BC 	"western MT, USA"	grassland	grassland	field study	"Established 6 paired invaded and native plots per site, 9 sites (9 observations). Sampled 3 soil cores (0-5cm depth) per plot and pooled them. Nminz with lab incubation for 7 days and used IER bags at 3 sites (5cm depth) in August for a 4-6 week incubation."	"Plant cover was not measured, so for this meta-analysis the plant cover estimates do not differ between sites"	Paper presents unpublished trait values in the discussion section for leaf%N and C:N	Species list was not differentiated for the 9 sites	No
40	40.06	location = BE	"western MT, USA"	grassland	grassland	field study	"Established 6 paired invaded and native plots per site, 9 sites (9 observations). Sampled 3 soil cores (0-5cm depth) per plot and pooled them. Nminz with lab incubation for 7 days and used IER bags at 3 sites (5cm depth) in August for a 4-6 week incubation."	"Plant cover was not measured, so for this meta-analysis the plant cover estimates do not differ between sites"	Paper presents unpublished trait values in the discussion section for leaf%N and C:N	Species list was not differentiated for the 9 sites	No
40	40.07	location = HY	"western MT, USA"	grassland	grassland	field study	"Established 6 paired invaded and native plots per site, 9 sites (9 observations). Sampled 3 soil cores (0-5cm depth) per plot and pooled them. Nminz with lab incubation for 7 days and used IER bags at 3 sites (5cm depth) in August for a 4-6 week incubation."	"Plant cover was not measured, so for this meta-analysis the plant cover estimates do not differ between sites"	Paper presents unpublished trait values in the discussion section for leaf%N and C:N	Species list was not differentiated for the 9 sites	No
40	40.08	location = B2	"western MT, USA"	grassland	grassland	field study	"Established 6 paired invaded and native plots per site, 9 sites (9 observations). Sampled 3 soil cores (0-5cm depth) per plot and pooled them. Nminz with lab incubation for 7 days and used IER bags at 3 sites (5cm depth) in August for a 4-6 week incubation."	"Plant cover was not measured, so for this meta-analysis the plant cover estimates do not differ between sites"	Paper presents unpublished trait values in the discussion section for leaf%N and C:N	Species list was not differentiated for the 9 sites	No
40	40.09	location = HE	"western MT, USA"	grassland	grassland	field study	"Established 6 paired invaded and native plots per site, 9 sites (9 observations). Sampled 3 soil cores (0-5cm depth) per plot and pooled them. Nminz with lab incubation for 7 days and used IER bags at 3 sites (5cm depth) in August for a 4-6 week incubation."	"Plant cover was not measured, so for this meta-analysis the plant cover estimates do not differ between sites"	Paper presents unpublished trait values in the discussion section for leaf%N and C:N	Species list was not differentiated for the 9 sites	No
41	41.01	invaded comparison = Bromus	"Great Valley Grasslands State Park, CA, USA"	grassland	grassland and riparian woodland	field study	"Soil sampled from 5 microhabitat types: a) Sporobolus (SA, native), b) Horeum (HMG, invaded), c) Bromus (BD, invaded), d) gopher mounds (GM), and e) salt sears. 8 soil cores (0-5 cm depth) per microhabitat. SA soils collected in 1996, all others collected in 1999. Units not provided for inorganic N data."	NA	NA	NA	No
41	41.02	invaded comparison = Horeum	"Great Valley Grasslands State Park, CA, USA"	grassland	grassland and riparian woodland	field study	"Soil sampled from 5 microhabitat types: a) Sporobolus (SA, native), b) Horeum (HMG, invaded), c) Bromus (BD, invaded), d) gopher mounds (GM), and e) salt sears. 8 soil cores (0-5 cm depth) per microhabitat. SA soils collected in 1996, all others collected in 1999. Units not provided for inorganic N data."	NA	NA	NA	No
48	48.01	invaded comparison = NA-EXOT	"Neilingding Island National Nature Research Forest, China"	forest	subtropical forest	field study	"Established 5 plots per vegetation type: a) native, b) NA-EXOT (invaded), c) EX-EXOT (invaded), and d) EXOT (3 observations). Soil was sampled by pooling 3 cores per plot (10cm depth) and sampled in August."	Invasive species cover estimated in 25-1m2 quadrats per vegetation type.	NA	"Many native species listed, so listed the first 10.  See text for more vine species, and species that appear in invaded plots"	No
48	48.02	invaded comparison = EX-EXOT	"Neilingding Island National Nature Research Forest, China"	forest	subtropical forest	field study	"Established 5 plots per vegetation type: a) native, b) NA-EXOT (invaded), c) EX-EXOT (invaded), and d) EXOT (3 observations). Soil was sampled by pooling 3 cores per plot (10cm depth) and sampled in August."	Invasive species cover estimated in 25-1m2 quadrats per vegetation type.	NA	"Many native species listed, so listed the first 10.  See text for more vine species, and species that appear in invaded plots"	No
48	48.03	invaded comparison = EXOT	"Neilingding Island National Nature Research Forest, China"	forest	subtropical forest	field study	"Established 5 plots per vegetation type: a) native, b) NA-EXOT (invaded), c) EX-EXOT (invaded), and d) EXOT (3 observations). Soil was sampled by pooling 3 cores per plot (10cm depth) and sampled in August."	Invasive species cover estimated in 25-1m2 quadrats per vegetation type.	NA	"Many native species listed, so listed the first 10.  See text for more vine species, and species that appear in invaded plots"	No
53	53.01	"NA; Note: soil data is presented for each site separately, but each site has just 1 pair of native and invaded plots, so sites need to be aggregated in this study"	"New South Wales, Australia"	shrubland	foredune shrublands	field study	"12 sample transects were taken through each plot in spring and summer.  For N analyses, these samples were pooled into 4 samples. In total, there were 4 sites, each with an invaded and native plot (30x30m) and 4 litter samples per plot."	NA	"Fully expanded and recently abscissed leaves of 4 spp were collected from each field site, pooled by spp into 2 samples"	NA	No
58	58.01	NA	"Konza Prairie, KS, USA"	grassland	tallgrass prairie	field study	"4 invaded 'islands' within grass matrix were selected. Transect 5 m into invasion and 5 m into grasses.  2 1m2 plots in each vegetation type: grasses (native), grass/shrub (intermediate invaded), only 1 plot in shrub (invaded). N minz with buried soil core 4 times during the growing season and 1 time during the winter (61 and 41 day incubations, respectively). Shrub and shrub/grassland plot were pooled by the author"	NA	NA	NA	No
59	59.01	invaded comparison = cluster	"La Copita Research Area, TX, USA"	grassland	subtropical grassland savanna	field study	"6 plots of each community type: a) grassland (native), b) cluster (invaded), c) grove (invaded), d) woodland (invaded). Soil samples (0-10cm, 10-20cm) were taken in July and Jan. Lab N minz incubations for 10days."	NA	Quantified litter C and N%.  No litterpercN or littercn provided for grassland.	"For more details on the plant communities see Archer 1995, Boutton et al 1998"	No
59	59.02	invaded comparison = grove	"La Copita Research Area, TX, USA"	grassland	subtropical grassland savanna	field study	"6 plots of each community type: a) grassland (native), b) cluster (invaded), c) grove (invaded), d) woodland (invaded). Soil samples (0-10cm, 10-20cm) were taken in July and Jan. Lab N minz incubations for 10days."	NA	Quantified litter C and N%.  No litterpercN or littercn provided for grassland.	"For more details on the plant communities see Archer 1995, Boutton et al 1998"	No
59	59.03	invaded comparison = woodland	"La Copita Research Area, TX, USA"	grassland	subtropical grassland savanna	field study	"6 plots of each community type: a) grassland (native), b) cluster (invaded), c) grove (invaded), d) woodland (invaded). Soil samples (0-10cm, 10-20cm) were taken in July and Jan. Lab N minz incubations for 10days."	NA	Quantified litter C and N%.  No litterpercN or littercn provided for grassland.	"For more details on the plant communities see Archer 1995, Boutton et al 1998"	No
62	62.01	"invaded comparison = +B, location = Arne"	"Dorset, England"	shrubland	lowland heath	field study	"Surveyed 9 sites, each with the following vegetation types: a) heath (native), b) +B (invaded), c) +PS (invaded), d) +PA (invaded), e) +R (invaded), f) +U (invaded). Established 10 1m2 quadrats in each area and recorded percent cover of each species as well as took a soil core from the center (21cm depth)"	NA	NA	NA	No
62	62.02	"invaded comparison = +B, location = AHCP"	"Dorset, England"	shrubland	lowland heath	field study	"Surveyed 9 sites, each with the following vegetation types: a) heath (native), b) +B (invaded), c) +PS (invaded), d) +PA (invaded), e) +R (invaded), f) +U (invaded). Established 10 1m2 quadrats in each area and recorded percent cover of each species as well as took a soil core from the center (21cm depth)"	NA	NA	NA	No
62	62.03	"invaded comparison = +B, location = Blackhill"	"Dorset, England"	shrubland	lowland heath	field study	"Surveyed 9 sites, each with the following vegetation types: a) heath (native), b) +B (invaded), c) +PS (invaded), d) +PA (invaded), e) +R (invaded), f) +U (invaded). Established 10 1m2 quadrats in each area and recorded percent cover of each species as well as took a soil core from the center (21cm depth)"	NA	NA	NA	No
62	62.04	"invaded comparison = +B, location = Canford"	"Dorset, England"	shrubland	lowland heath	field study	"Surveyed 9 sites, each with the following vegetation types: a) heath (native), b) +B (invaded), c) +PS (invaded), d) +PA (invaded), e) +R (invaded), f) +U (invaded). Established 10 1m2 quadrats in each area and recorded percent cover of each species as well as took a soil core from the center (21cm depth)"	NA	NA	NA	No
62	62.05	"invaded comparison = +B, location = Higher Hyde"	"Dorset, England"	shrubland	lowland heath	field study	"Surveyed 9 sites, each with the following vegetation types: a) heath (native), b) +B (invaded), c) +PS (invaded), d) +PA (invaded), e) +R (invaded), f) +U (invaded). Established 10 1m2 quadrats in each area and recorded percent cover of each species as well as took a soil core from the center (21cm depth)"	NA	NA	NA	No
62	62.06	"invaded comparison = +B, location = SCH"	"Dorset, England"	shrubland	lowland heath	field study	"Surveyed 9 sites, each with the following vegetation types: a) heath (native), b) +B (invaded), c) +PS (invaded), d) +PA (invaded), e) +R (invaded), f) +U (invaded). Established 10 1m2 quadrats in each area and recorded percent cover of each species as well as took a soil core from the center (21cm depth)"	NA	NA	NA	No
62	62.07	"invaded comparison = +B, location = SR"	"Dorset, England"	shrubland	lowland heath	field study	"Surveyed 9 sites, each with the following vegetation types: a) heath (native), b) +B (invaded), c) +PS (invaded), d) +PA (invaded), e) +R (invaded), f) +U (invaded). Established 10 1m2 quadrats in each area and recorded percent cover of each species as well as took a soil core from the center (21cm depth)"	NA	NA	NA	No
62	62.08	"invaded comparison = +PS, location = Arne"	"Dorset, England"	shrubland	lowland heath	field study	"Surveyed 9 sites, each with the following vegetation types: a) heath (native), b) +B (invaded), c) +PS (invaded), d) +PA (invaded), e) +R (invaded), f) +U (invaded). Established 10 1m2 quadrats in each area and recorded percent cover of each species as well as took a soil core from the center (21cm depth)"	NA	NA	NA	No
62	62.09	"invaded comparison = +PS, location = AHCP"	"Dorset, England"	shrubland	lowland heath	field study	"Surveyed 9 sites, each with the following vegetation types: a) heath (native), b) +B (invaded), c) +PS (invaded), d) +PA (invaded), e) +R (invaded), f) +U (invaded). Established 10 1m2 quadrats in each area and recorded percent cover of each species as well as took a soil core from the center (21cm depth)"	NA	NA	NA	No
62	62.1	"invaded comparison = +PS, location = Blackhill"	"Dorset, England"	shrubland	lowland heath	field study	"Surveyed 9 sites, each with the following vegetation types: a) heath (native), b) +B (invaded), c) +PS (invaded), d) +PA (invaded), e) +R (invaded), f) +U (invaded). Established 10 1m2 quadrats in each area and recorded percent cover of each species as well as took a soil core from the center (21cm depth)"	NA	NA	NA	No
62	62.11	"invaded comparison = +PS, location = Canford"	"Dorset, England"	shrubland	lowland heath	field study	"Surveyed 9 sites, each with the following vegetation types: a) heath (native), b) +B (invaded), c) +PS (invaded), d) +PA (invaded), e) +R (invaded), f) +U (invaded). Established 10 1m2 quadrats in each area and recorded percent cover of each species as well as took a soil core from the center (21cm depth)"	NA	NA	NA	No
62	62.12	"invaded comparison = +PS, location = SCH"	"Dorset, England"	shrubland	lowland heath	field study	"Surveyed 9 sites, each with the following vegetation types: a) heath (native), b) +B (invaded), c) +PS (invaded), d) +PA (invaded), e) +R (invaded), f) +U (invaded). Established 10 1m2 quadrats in each area and recorded percent cover of each species as well as took a soil core from the center (21cm depth)"	NA	NA	NA	No
62	62.13	"invaded comparison = +PS, location = SR"	"Dorset, England"	shrubland	lowland heath	field study	"Surveyed 9 sites, each with the following vegetation types: a) heath (native), b) +B (invaded), c) +PS (invaded), d) +PA (invaded), e) +R (invaded), f) +U (invaded). Established 10 1m2 quadrats in each area and recorded percent cover of each species as well as took a soil core from the center (21cm depth)"	NA	NA	NA	No
62	62.14	"invaded comparison = +PS, location = Trigon"	"Dorset, England"	shrubland	lowland heath	field study	"Surveyed 9 sites, each with the following vegetation types: a) heath (native), b) +B (invaded), c) +PS (invaded), d) +PA (invaded), e) +R (invaded), f) +U (invaded). Established 10 1m2 quadrats in each area and recorded percent cover of each species as well as took a soil core from the center (21cm depth)"	NA	NA	NA	No
62	62.15	"invaded comparison = +PA, location = Arne"	"Dorset, England"	shrubland	lowland heath	field study	"Surveyed 9 sites, each with the following vegetation types: a) heath (native), b) +B (invaded), c) +PS (invaded), d) +PA (invaded), e) +R (invaded), f) +U (invaded). Established 10 1m2 quadrats in each area and recorded percent cover of each species as well as took a soil core from the center (21cm depth)"	NA	NA	NA	No
62	62.16	"invaded comparison = +PA, location = AHCP"	"Dorset, England"	shrubland	lowland heath	field study	"Surveyed 9 sites, each with the following vegetation types: a) heath (native), b) +B (invaded), c) +PS (invaded), d) +PA (invaded), e) +R (invaded), f) +U (invaded). Established 10 1m2 quadrats in each area and recorded percent cover of each species as well as took a soil core from the center (21cm depth)"	NA	NA	NA	No
62	62.17	"invaded comparison = +PA, location = Blackhill"	"Dorset, England"	shrubland	lowland heath	field study	"Surveyed 9 sites, each with the following vegetation types: a) heath (native), b) +B (invaded), c) +PS (invaded), d) +PA (invaded), e) +R (invaded), f) +U (invaded). Established 10 1m2 quadrats in each area and recorded percent cover of each species as well as took a soil core from the center (21cm depth)"	NA	NA	NA	No
62	62.18	"invaded comparison = +PA, location = Canford"	"Dorset, England"	shrubland	lowland heath	field study	"Surveyed 9 sites, each with the following vegetation types: a) heath (native), b) +B (invaded), c) +PS (invaded), d) +PA (invaded), e) +R (invaded), f) +U (invaded). Established 10 1m2 quadrats in each area and recorded percent cover of each species as well as took a soil core from the center (21cm depth)"	NA	NA	NA	No
62	62.19	"invaded comparison = +PA, location = Cranborne"	"Dorset, England"	shrubland	lowland heath	field study	"Surveyed 9 sites, each with the following vegetation types: a) heath (native), b) +B (invaded), c) +PS (invaded), d) +PA (invaded), e) +R (invaded), f) +U (invaded). Established 10 1m2 quadrats in each area and recorded percent cover of each species as well as took a soil core from the center (21cm depth)"	NA	NA	NA	No
62	62.2	"invaded comparison = +PA, location = Higher Hyde"	"Dorset, England"	shrubland	lowland heath	field study	"Surveyed 9 sites, each with the following vegetation types: a) heath (native), b) +B (invaded), c) +PS (invaded), d) +PA (invaded), e) +R (invaded), f) +U (invaded). Established 10 1m2 quadrats in each area and recorded percent cover of each species as well as took a soil core from the center (21cm depth)"	NA	NA	NA	No
62	62.21	"invaded comparison = +PA, location = Trigon"	"Dorset, England"	shrubland	lowland heath	field study	"Surveyed 9 sites, each with the following vegetation types: a) heath (native), b) +B (invaded), c) +PS (invaded), d) +PA (invaded), e) +R (invaded), f) +U (invaded). Established 10 1m2 quadrats in each area and recorded percent cover of each species as well as took a soil core from the center (21cm depth)"	NA	NA	NA	No
62	62.22	"invaded comparison = +PA, location = Winfrith"	"Dorset, England"	shrubland	lowland heath	field study	"Surveyed 9 sites, each with the following vegetation types: a) heath (native), b) +B (invaded), c) +PS (invaded), d) +PA (invaded), e) +R (invaded), f) +U (invaded). Established 10 1m2 quadrats in each area and recorded percent cover of each species as well as took a soil core from the center (21cm depth)"	NA	NA	NA	No
62	62.23	"invaded comparison = +R, location = Arne"	"Dorset, England"	shrubland	lowland heath	field study	"Surveyed 9 sites, each with the following vegetation types: a) heath (native), b) +B (invaded), c) +PS (invaded), d) +PA (invaded), e) +R (invaded), f) +U (invaded). Established 10 1m2 quadrats in each area and recorded percent cover of each species as well as took a soil core from the center (21cm depth)"	NA	NA	NA	No
62	62.24	"invaded comparison = +R, location = AHCP"	"Dorset, England"	shrubland	lowland heath	field study	"Surveyed 9 sites, each with the following vegetation types: a) heath (native), b) +B (invaded), c) +PS (invaded), d) +PA (invaded), e) +R (invaded), f) +U (invaded). Established 10 1m2 quadrats in each area and recorded percent cover of each species as well as took a soil core from the center (21cm depth)"	NA	NA	NA	No
62	62.25	"invaded comparison = +R, location = Blackhill"	"Dorset, England"	shrubland	lowland heath	field study	"Surveyed 9 sites, each with the following vegetation types: a) heath (native), b) +B (invaded), c) +PS (invaded), d) +PA (invaded), e) +R (invaded), f) +U (invaded). Established 10 1m2 quadrats in each area and recorded percent cover of each species as well as took a soil core from the center (21cm depth)"	NA	NA	NA	No
